seqnames	i	seqid	accession	matchnums_seqids_to_bigdf	Entry	Entry Name	Gene Names	Protein names	Organism	Organism (ID)	Reviewed	RefSeq	CDD	Pfam	Gene encoded by	Length	Mass	matchnums_seqids_to_bigdf	Entry	PDBsum	matchnums_seqids_to_bigdf	Entry	PDB	matchnums_seqids_to_bigdf	Entry	AlphaFoldDB	counts_identical_proteins	seqids_wGenBank_codes_txt	seqids_wGenBank_codes_counts
ACL94252_Pseudomonadota_Caulobacter_vibrioides	60	ACL94252	A0A0H3C5K4	44	A0A0H3C5K4	A0A0H3C5K4_CAUVN	motA CCNA_00787	Chemotaxis motA protein	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	565050	unreviewed	WP_010918636.1;YP_002516160.1;		PF01618;PF20560;		288	30897	44	A0A0H3C5K4	A0A0H3C5K4	44	A0A0H3C5K4	A0A0H3C5K4	44	A0A0H3C5K4	A0A0H3C5K4;	10	YP_002516160.1,WP_010918636.1	2
ACL95886_Pseudomonadota_Caulobacter_vibrioides	61	ACL95886	A0A0H3CAE9	45	A0A0H3CAE9	A0A0H3CAE9_CAUVN	exbB CCNA_02421	TonB accessory protein exbB	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	565050	unreviewed	WP_010920195.1;YP_002517794.1;		PF01618;		302	30851	45	A0A0H3CAE9	A0A0H3CAE9	45	A0A0H3CAE9	A0A0H3CAE9	45	A0A0H3CAE9	A0A0H3CAE9;	10	YP_002517794.1,WP_010920195.1	2
ACL96805_Pseudomonadota_Caulobacter_vibrioides	62	ACL96805	A0A0H3CBC4	46	A0A0H3CBC4	A0A0H3CBC4_CAUVN	tolQ CCNA_03341	TolQ protein	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	565050	unreviewed	WP_010921066.1;YP_002518713.1;		PF01618;		232	24881	46	A0A0H3CBC4	A0A0H3CBC4	46	A0A0H3CBC4	A0A0H3CBC4	46	A0A0H3CBC4	A0A0H3CBC4;	10	YP_002518713.1,WP_010921066.1	2
ACO31817_Acidobacteria_Acidobacterium_capsulatum	63	ACO31817	C1F9I1	91	C1F9I1	C1F9I1_ACIC5	ACP_2138	Transporter, MotA/TolQ/ExbB proton channel family	Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / BCRC 80197 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161)	240015	unreviewed	WP_015897237.1;		PF01618;		247	26740	91	C1F9I1	C1F9I1	91	C1F9I1	C1F9I1	91	C1F9I1	C1F9I1;	3	WP_015897237.1	1
ACO32834_Acidobacteria_Acidobacterium_capsulatum	64	ACO32834	C1F105	89	C1F105	C1F105_ACIC5	ACP_0505	Transporter, MotA/TolQ/ExbB proton channel family	Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / BCRC 80197 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161)	240015	unreviewed			PF01618;		254	27240	89	C1F105	C1F105	89	C1F105	C1F105	89	C1F105	C1F105;	3	WP_012680896.1	1
ACO33277_Acidobacteria_Acidobacterium_capsulatum	65	ACO33277	C1F8I4	12	C1F8I4	C1F8I4_ACIC5	motA ACP_0108	Chemotaxis MotA protein	Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / BCRC 80197 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161)	240015	unreviewed	WP_012680516.1;		PF01618;PF20560;		269	28769	12	C1F8I4	C1F8I4	12	C1F8I4	C1F8I4	12	C1F8I4	C1F8I4;	3	WP_012680516.1	1
ACO33337_Acidobacteria_Acidobacterium_capsulatum	66	ACO33337	C1F321	90	C1F321	C1F321_ACIC5	ACP_2713	Putative chemotaxis MotA protein	Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / BCRC 80197 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161)	240015	unreviewed	WP_015897776.1;		PF01618;PF20560;		299	31535	90	C1F321	C1F321	90	C1F321	C1F321	90	C1F321	C1F321;	3	WP_015897776.1	1
ACV38437_Fusobacteria_Leptotrichia_buccalis	67	ACV38437	C7NES6	92	C7NES6	C7NES6_LEPBD	Lebu_0526	MotA/TolQ/ExbB proton channel	Leptotrichia buccalis (strain ATCC 14201 / DSM 1135 / JCM 12969 / NCTC 10249 / C-1013-b)	523794	unreviewed	WP_012806620.1;		PF01618;		208	23117	92	C7NES6	C7NES6	92	C7NES6	C7NES6	92	C7NES6	C7NES6;	2	WP_012806620.1	1
ACX73656_Fibrobacteres_Fibrobacter_succinogenes	68	ACX73656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	WP_012819886.1	1
ACX73657_Fibrobacteres_Fibrobacter_succinogenes	69	ACX73657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	WP_012819887.1	1
ACX73814_Fibrobacteres_Fibrobacter_succinogenes	70	ACX73814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2		0
ACX74512_Fibrobacteres_Fibrobacter_succinogenes	71	ACX74512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	WP_014545653.1	1
ACX74513_Fibrobacteres_Fibrobacter_succinogenes	72	ACX74513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	WP_014545654.1	1
ACX75484_Fibrobacteres_Fibrobacter_succinogenes	73	ACX75484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	WP_014546556.1	1
ADB15652_Planctomycetota_Pirellula_staleyi	74	ADB15652	D2R7F6	98	D2R7F6	D2R7F6_PIRSD	Psta_0967	MotA/TolQ/ExbB proton channel	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	530564	unreviewed			PF01618;		300	31861	98	D2R7F6	D2R7F6	98	D2R7F6	D2R7F6	98	D2R7F6	D2R7F6;	1		0
ADB16663_Planctomycetota_Pirellula_staleyi	75	ADB16663	D2R0R5	93	D2R0R5	D2R0R5_PIRSD	Psta_1989	MotA/TolQ/ExbB proton channel	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	530564	unreviewed	WP_012910926.1;		PF01618;		278	29652	93	D2R0R5	D2R0R5	93	D2R0R5	D2R0R5	93	D2R0R5	D2R0R5;	1		0
ADB17134_Planctomycetota_Pirellula_staleyi	76	ADB17134	D2R4R8	95	D2R4R8	D2R4R8_PIRSD	Psta_2465	MotA/TolQ/ExbB proton channel	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	530564	unreviewed	WP_012911396.1;		PF01618;		274	29519	95	D2R4R8	D2R4R8	95	D2R4R8	D2R4R8	95	D2R4R8	D2R4R8;	1		0
ADB17385_Planctomycetota_Pirellula_staleyi	77	ADB17385	D2R6T5	97	D2R6T5	D2R6T5_PIRSD	Psta_2717	MotA/TolQ/ExbB proton channel	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	530564	unreviewed	WP_012911647.1;		PF01618;		215	23681	97	D2R6T5	D2R6T5	97	D2R6T5	D2R6T5	97	D2R6T5	D2R6T5;	1		0
ADB17458_Planctomycetota_Pirellula_staleyi	78	ADB17458	D2R7N2	99	D2R7N2	D2R7N2_PIRSD	Psta_2792	MotA/TolQ/ExbB proton channel	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	530564	unreviewed			PF01618;		327	34191	99	D2R7N2	D2R7N2	99	D2R7N2	D2R7N2	99	D2R7N2	D2R7N2;	1		0
ADB17547_Planctomycetota_Pirellula_staleyi	79	ADB17547	D2R8K6	100	D2R8K6	D2R8K6_PIRSD	Psta_2882	MotA/TolQ/ExbB proton channel	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	530564	unreviewed	WP_012911809.1;		PF01618;		313	33614	100	D2R8K6	D2R8K6	100	D2R8K6	D2R8K6	100	D2R8K6	D2R8K6;	1		0
ADB18835_Planctomycetota_Pirellula_staleyi	80	ADB18835	D2R3Y6	94	D2R3Y6	D2R3Y6_PIRSD	Psta_4186	MotA/TolQ/ExbB proton channel	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	530564	unreviewed			PF01618;		277	29504	94	D2R3Y6	D2R3Y6	94	D2R3Y6	D2R3Y6	94	D2R3Y6	D2R3Y6;	1		0
ADB18997_Planctomycetota_Pirellula_staleyi	81	ADB18997	D2R535	96	D2R535	D2R535_PIRSD	Psta_4350	MotA/TolQ/ExbB proton channel	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	530564	unreviewed	WP_012913256.1;		PF01618;PF20560;		259	27492	96	D2R535	D2R535	96	D2R535	D2R535	96	D2R535	D2R535;	1		0
ADC89509_Aquificae_Thermocrinis_albus	82	ADC89509	D3SL79	101	D3SL79	D3SL79_THEAH	Thal_0877	MotA/TolQ/ExbB proton channel	Thermocrinis albus (strain DSM 14484 / JCM 11386 / HI 11/12)	638303	unreviewed			PF01618;		203	22201	101	D3SL79	D3SL79	101	D3SL79	D3SL79	101	D3SL79	D3SL79;	1		0
ADC89566_Aquificae_Thermocrinis_albus	83	ADC89566	D3SLD6	102	D3SLD6	D3SLD6_THEAH	Thal_0934	MotA/TolQ/ExbB proton channel	Thermocrinis albus (strain DSM 14484 / JCM 11386 / HI 11/12)	638303	unreviewed	WP_012991972.1;		PF01618;		249	27248	102	D3SLD6	D3SLD6	102	D3SLD6	D3SLD6	102	D3SLD6	D3SLD6;	2	WP_012991972.1	1
ADD67090_Deferribacteres_Denitrovibrio_acetiphilus	84	ADD67090	D4H2M9	103	D4H2M9	D4H2M9_DENA2	Dacet_0290	MotA/TolQ/ExbB proton channel	Denitrovibrio acetiphilus (strain DSM 12809 / NBRC 114555 / N2460)	522772	unreviewed	WP_013009635.1;		PF01618;		254	27368	103	D4H2M9	D4H2M9	103	D4H2M9	D4H2M9	103	D4H2M9	D4H2M9;	4	WP_013009635.1	1
ADD67609_Deferribacteres_Denitrovibrio_acetiphilus	85	ADD67609	D4H5I9	104	D4H5I9	D4H5I9_DENA2	Dacet_0829	MotA/TolQ/ExbB proton channel	Denitrovibrio acetiphilus (strain DSM 12809 / NBRC 114555 / N2460)	522772	unreviewed			PF01618;		207	23201	104	D4H5I9	D4H5I9	104	D4H5I9	D4H5I9	104	D4H5I9	D4H5I9;	1		0
ADD67744_Deferribacteres_Denitrovibrio_acetiphilus	86	ADD67744	D4H698	13	D4H698	D4H698_DENA2	Dacet_0966	MotA/TolQ/ExbB proton channel	Denitrovibrio acetiphilus (strain DSM 12809 / NBRC 114555 / N2460)	522772	unreviewed	WP_013010275.1;		PF01618;		447	48721	13	D4H698	D4H698	13	D4H698	D4H698	13	D4H698	D4H698;	4	WP_013010275.1	1
ADD67874_Deferribacteres_Denitrovibrio_acetiphilus	87	ADD67874	D4H775	105	D4H775	D4H775_DENA2	Dacet_1102	MotA/TolQ/ExbB proton channel	Denitrovibrio acetiphilus (strain DSM 12809 / NBRC 114555 / N2460)	522772	unreviewed	WP_013010398.1;		PF01618;		205	22532	105	D4H775	D4H775	105	D4H775	D4H775	105	D4H775	D4H775;	4	WP_013010398.1	1
ADD68377_Deferribacteres_Denitrovibrio_acetiphilus	88	ADD68377	D4H8M8	14	D4H8M8	D4H8M8_DENA2	Dacet_1611	MotA/TolQ/ExbB proton channel	Denitrovibrio acetiphilus (strain DSM 12809 / NBRC 114555 / N2460)	522772	unreviewed	WP_013010891.1;		PF11932;PF01618;		459	50902	14	D4H8M8	D4H8M8	14	D4H8M8	D4H8M8	14	D4H8M8	D4H8M8;	4	WP_013010891.1	1
ADE86105_Pseudomonadota_Rhodobacter_capsulatus	89	ADE86105	D5ALP4	15	D5ALP4	D5ALP4_RHOCB	exbB RCAP_rcc02375	Biopolymer transport protein ExbB	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	272942	unreviewed			PF01618;		261	26605	15	D5ALP4	D5ALP4	15	D5ALP4	D5ALP4	15	D5ALP4	D5ALP4;	9	WP_013068084.1	1
ADE87210_Pseudomonadota_Rhodobacter_capsulatus	90	ADE87210	D5ASW9	106	D5ASW9	D5ASW9_RHOCB	motA RCAP_rcc03486	Chemotaxis protein MotA	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	272942	unreviewed	WP_013069182.1;		PF01618;PF20560;		289	31507	106	D5ASW9	D5ASW9	106	D5ASW9	D5ASW9	106	D5ASW9	D5ASW9;	11	WP_013069182.1	1
ADG94140_Pseudomonadota_Arcobacter_nitrofigilis	91	ADG94140	D5UZ88	107	D5UZ88	D5UZ88_ARCNC	Arnit_2490	MotA/TolQ/ExbB proton channel	Arcobacter nitrofigilis (strain ATCC 33309 / DSM 7299 / CCUG 15893 / LMG 7604 / NCTC 12251 / CI) (Campylobacter nitrofigilis)	572480	unreviewed	WP_013136285.1;		PF01618;		251	26347	107	D5UZ88	D5UZ88	107	D5UZ88	D5UZ88	107	D5UZ88	D5UZ88;	2	WP_013136285.1	1
ADI15492_Deinococcus-Thermus_Truepera_radiovictrix	92	ADI15492	D7CT29	108	D7CT29	D7CT29_TRURR	Trad_2383	MotA/TolQ/ExbB proton channel	Truepera radiovictrix (strain DSM 17093 / CIP 108686 / LMG 22925 / RQ-24)	649638	unreviewed			PF01618;		243	26084	108	D7CT29	D7CT29	108	D7CT29	D7CT29	108	D7CT29	D7CT29;	3	WP_013178855.1	1
ADL00174_Pseudomonadota_Brevundimonas_subvibrioides	93	ADL00174	D9QMK4	111	D9QMK4	D9QMK4_BRESC	Bresu_0860	Protein TolQ	Brevundimonas subvibrioides (strain ATCC 15264 / DSM 4735 / LMG 14903 / NBRC 16000 / CB 81) (Caulobacter subvibrioides)	633149	unreviewed			PF01618;		255	26776	111	D9QMK4	D9QMK4	111	D9QMK4	D9QMK4	111	D9QMK4	D9QMK4;	3	WP_013268277.1	1
ADL01024_Pseudomonadota_Brevundimonas_subvibrioides	94	ADL01024	D9QH58	110	D9QH58	D9QH58_BRESC	Bresu_1713	MotA/TolQ/ExbB proton channel	Brevundimonas subvibrioides (strain ATCC 15264 / DSM 4735 / LMG 14903 / NBRC 16000 / CB 81) (Caulobacter subvibrioides)	633149	unreviewed	WP_013269126.1;		PF01618;		293	30010	110	D9QH58	D9QH58	110	D9QH58	D9QH58	110	D9QH58	D9QH58;	2	WP_013269126.1	1
ADL02462_Pseudomonadota_Brevundimonas_subvibrioides	95	ADL02462	D9QFE7	109	D9QFE7	D9QFE7_BRESC	Bresu_3156	MotA/TolQ/ExbB proton channel	Brevundimonas subvibrioides (strain ATCC 15264 / DSM 4735 / LMG 14903 / NBRC 16000 / CB 81) (Caulobacter subvibrioides)	633149	unreviewed	WP_013270562.1;		PF01618;PF20560;		289	30536	109	D9QFE7	D9QFE7	109	D9QFE7	D9QFE7	109	D9QFE7	D9QFE7;	3	WP_013270562.1	1
ADL42743_Bacillota_Caldicellulosiruptor_obsidiansis	96	ADL42743	D9TL61	112	D9TL61	D9TL61_CALOO	COB47_1453	MotA/TolQ/ExbB proton channel	Caldicellulosiruptor obsidiansis (strain ATCC BAA-2073 / JCM 16842 / OB47)	608506	unreviewed	WP_013290741.1;		PF01618;PF20560;		265	28296	112	D9TL61	D9TL61	112	D9TL61	D9TL61	112	D9TL61	D9TL61;	2	WP_013290741.1	1
ADN09321_Pseudomonadota_Sulfurimonas_autotrophica	97	ADN09321	E0UTF6	113	E0UTF6	E0UTF6_SULAO	Saut_1273	MotA/TolQ/ExbB proton channel	Sulfurimonas autotrophica (strain ATCC BAA-671 / DSM 16294 / JCM 11897 / OK10)	563040	unreviewed	WP_013327074.1;		PF01618;PF20560;		254	27188	113	E0UTF6	E0UTF6	113	E0UTF6	E0UTF6	113	E0UTF6	E0UTF6;	2	WP_013327074.1	1
ADO44512_Aquificae_Hydrogenobacter_thermophilus	98	ADO44512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	WP_012962751.1	1
ADO68798_Pseudomonadota_Stigmatella_aurantiaca	99	ADO68798	E3FDB9	114	E3FDB9	E3FDB9_STIAD	STAUR_0994	MotA/TolQ/ExbB proton channel family protein	Stigmatella aurantiaca (strain DW4/3-1)	378806	unreviewed			PF01618;		246	26299	114	E3FDB9	E3FDB9	114	E3FDB9	E3FDB9	114	E3FDB9	E3FDB9;	2	WP_013374439.1	1
ADO70054_Pseudomonadota_Stigmatella_aurantiaca	100	ADO70054	Q09CP6	152	Q09CP6	Q09CP6_STIAD	tolQ STAUR_2250 STIAU_2082	TolQ protein	Stigmatella aurantiaca (strain DW4/3-1)	378806	unreviewed	WP_002610345.1;		PF01618;		228	23855	152	Q09CP6	Q09CP6	152	Q09CP6	Q09CP6	152	Q09CP6	Q09CP6;	3	WP_002610345.1	1
ADO72879_Pseudomonadota_Stigmatella_aurantiaca	101	ADO72879	E3FI89	115	E3FI89	E3FI89_STIAD	STAUR_5107	MotA/TolQ/ExbB proton channel family protein	Stigmatella aurantiaca (strain DW4/3-1)	378806	unreviewed	WP_013376621.1;		PF01618;		244	26308	115	E3FI89	E3FI89	115	E3FI89	E3FI89	115	E3FI89	E3FI89;	2	WP_013376621.1	1
ADO73220_Pseudomonadota_Stigmatella_aurantiaca	102	ADO73220	E3FPM5	117	E3FPM5	E3FPM5_STIAD	STAUR_5450	MotA/TolQ/ExbB proton channel family protein	Stigmatella aurantiaca (strain DW4/3-1)	378806	unreviewed	WP_013376807.1;		PF01618;		235	24869	117	E3FPM5	E3FPM5	117	E3FPM5	E3FPM5	117	E3FPM5	E3FPM5;	2	WP_013376807.1	1
ADO74176_Pseudomonadota_Stigmatella_aurantiaca	103	ADO74176	E3FJZ3	116	E3FJZ3	E3FJZ3_STIAD	aglX STAUR_6419	Adventurous gliding motility protein X	Stigmatella aurantiaca (strain DW4/3-1)	378806	unreviewed			PF01618;		234	25050	116	E3FJZ3	E3FJZ3	116	E3FJZ3	E3FJZ3	116	E3FJZ3	E3FJZ3;	1		0
ADO75002_Pseudomonadota_Stigmatella_aurantiaca	104	ADO75002	Q08WZ6	150	Q08WZ6	Q08WZ6_STIAD	STAUR_7246 STIAU_5971	ExbB	Stigmatella aurantiaca (strain DW4/3-1)	378806	unreviewed	WP_002615810.1;		PF01618;		233	24746	150	Q08WZ6	Q08WZ6	150	Q08WZ6	Q08WZ6	150	Q08WZ6	Q08WZ6;	3	WP_002615810.1	1
ADO76074_Pseudomonadota_Stigmatella_aurantiaca	105	ADO76074	Q097C3	151	Q097C3	Q097C3_STIAD	STAUR_8320 STIAU_3087	MotA/TolQ/ExbB proton channel family protein (TolQ protein)	Stigmatella aurantiaca (strain DW4/3-1)	378806	unreviewed	WP_002612624.1;		PF01618;		224	23723	151	Q097C3	Q097C3	151	Q097C3	Q097C3	151	Q097C3	Q097C3;	3	WP_002612624.1	1
ADV60824_Planctomycetota_Isosphaera_pallida	106	ADV60824	E8QWD7	118	E8QWD7	E8QWD7_ISOPI	Isop_0227	MotA/TolQ/ExbB proton channel	Isosphaera pallida (strain ATCC 43644 / DSM 9630 / IS1B)	575540	unreviewed	WP_013563113.1;		PF01618;		345	36730	118	E8QWD7	E8QWD7	118	E8QWD7	E8QWD7	118	E8QWD7	E8QWD7;	2	WP_013563113.1	1
ADV62354_Planctomycetota_Isosphaera_pallida	107	ADV62354	E8R1D7	16	E8R1D7	E8R1D7_ISOPI	Isop_1771	MotA/TolQ/ExbB proton channel domain-containing protein	Isosphaera pallida (strain ATCC 43644 / DSM 9630 / IS1B)	575540	unreviewed	WP_013564642.1;		PF01618;		424	45441	16	E8R1D7	E8R1D7	16	E8R1D7	E8R1D7	16	E8R1D7	E8R1D7;	2	WP_013564642.1	1
ADV63187_Planctomycetota_Isosphaera_pallida	108	ADV63187	E8QZ45	119	E8QZ45	E8QZ45_ISOPI	Isop_2617	MotA/TolQ/ExbB proton channel	Isosphaera pallida (strain ATCC 43644 / DSM 9630 / IS1B)	575540	unreviewed	WP_013565475.1;		PF01618;		292	31022	119	E8QZ45	E8QZ45	119	E8QZ45	E8QZ45	119	E8QZ45	E8QZ45;	2	WP_013565475.1	1
ADV63710_Planctomycetota_Isosphaera_pallida	109	ADV63710	E8R3Y0	120	E8R3Y0	E8R3Y0_ISOPI	Isop_3146	MotA/TolQ/ExbB proton channel	Isosphaera pallida (strain ATCC 43644 / DSM 9630 / IS1B)	575540	unreviewed	WP_013565998.1;		PF01618;		231	25250	120	E8R3Y0	E8R3Y0	120	E8R3Y0	E8R3Y0	120	E8R3Y0	E8R3Y0;	2	WP_013565998.1	1
ADV63892_Planctomycetota_Isosphaera_pallida	110	ADV63892	E8R5Z0	121	E8R5Z0	E8R5Z0_ISOPI	Isop_3330	MotA/TolQ/ExbB proton channel	Isosphaera pallida (strain ATCC 43644 / DSM 9630 / IS1B)	575540	unreviewed			PF01618;		346	36724	121	E8R5Z0	E8R5Z0	121	E8R5Z0	E8R5Z0	121	E8R5Z0	E8R5Z0;	1		0
ADV67905_Deinococcus-Thermus_Deinococcus_maricopensis	111	ADV67905	E8UA16	122	E8UA16	E8UA16_DEIML	Deima_2267	MotA/TolQ/ExbB proton channel	Deinococcus maricopensis (strain DSM 21211 / LMG 22137 / NRRL B-23946 / LB-34)	709986	unreviewed	WP_013557410.1;		PF01618;		222	23183	122	E8UA16	E8UA16	122	E8UA16	E8UA16	122	E8UA16	E8UA16;	2	WP_013557410.1	1
ADY58078_Planctomycetota_Rubinisphaera_brasiliensis	112	ADY58078	F0SS67	128	F0SS67	F0SS67_RUBBR	Plabr_0451	MotA/TolQ/ExbB proton channel	Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / IAM 15109 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis)	756272	unreviewed	WP_013626822.1;		PF01618;		217	23843	128	F0SS67	F0SS67	128	F0SS67	F0SS67	128	F0SS67	F0SS67;	3	WP_013626822.1	1
ADY58081_Planctomycetota_Rubinisphaera_brasiliensis	113	ADY58081	F0SS70	129	F0SS70	F0SS70_RUBBR	Plabr_0454	MotA/TolQ/ExbB proton channel	Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / IAM 15109 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis)	756272	unreviewed	WP_013626825.1;		PF01618;		285	30470	129	F0SS70	F0SS70	129	F0SS70	F0SS70	129	F0SS70	F0SS70;	2	WP_013626825.1	1
ADY58376_Planctomycetota_Rubinisphaera_brasiliensis	114	ADY58376	F0SGU1	125	F0SGU1	F0SGU1_RUBBR	Plabr_0751	MotA/TolQ/ExbB proton channel	Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / IAM 15109 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis)	756272	unreviewed	WP_013627116.1;		PF01618;		276	29892	125	F0SGU1	F0SGU1	125	F0SGU1	F0SGU1	125	F0SGU1	F0SGU1;	4	WP_013627116.1	1
ADY60068_Planctomycetota_Rubinisphaera_brasiliensis	115	ADY60068	F0SNZ2	127	F0SNZ2	F0SNZ2_RUBBR	Plabr_2467	MotA/TolQ/ExbB proton channel	Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / IAM 15109 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis)	756272	unreviewed	WP_013628792.1;		PF01618;		258	27498	127	F0SNZ2	F0SNZ2	127	F0SNZ2	F0SNZ2	127	F0SNZ2	F0SNZ2;	4	WP_013628792.1	1
ADY61978_Planctomycetota_Rubinisphaera_brasiliensis	116	ADY61978	F0SKJ7	126	F0SKJ7	F0SKJ7_RUBBR	Plabr_4405	MotA/TolQ/ExbB proton channel	Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / IAM 15109 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis)	756272	unreviewed	WP_013630683.1;		PF01618;		238	26030	126	F0SKJ7	F0SKJ7	126	F0SKJ7	F0SKJ7	126	F0SKJ7	F0SKJ7;	5	WP_013630683.1	1
ADY81529_Pseudomonadota_Acinetobacter_pittii	117	ADY81529	F0KMB8	123	F0KMB8	F0KMB8_ACIP2	BDGL_000943	MotA/TolQ/ExbB proton channel domain-containing protein	Acinetobacter pittii (strain PHEA-2)	871585	unreviewed	WP_005069550.1;YP_004995211.1;		PF01618;		211	23323	123	F0KMB8	F0KMB8	123	F0KMB8	F0KMB8	123	F0KMB8	F0KMB8;	111	YP_004995211.1,WP_005069550.1	2
ADY81763_Pseudomonadota_Acinetobacter_pittii	118	ADY81763	F0KP95	124	F0KP95	F0KP95_ACIP2	exbB BDGL_001177	Biopolymer transport protein (ExbB-like)	Acinetobacter pittii (strain PHEA-2)	871585	unreviewed	WP_001280218.1;YP_004995445.1;		PF01618;		244	26280	124	F0KP95	F0KP95	124	F0KP95	F0KP95	124	F0KP95	F0KP95;	595	YP_004995445.1,WP_001280218.1	2
ADY81773_Pseudomonadota_Acinetobacter_pittii	119	ADY81773	F0KPA5	17	F0KPA5	F0KPA5_ACIP2	exbB BDGL_001187	Biopolymer transport protein (ExbB-like)	Acinetobacter pittii (strain PHEA-2)	871585	unreviewed	WP_014206768.1;YP_004995455.1;		PF01618;		229	24828	17	F0KPA5	F0KPA5	17	F0KPA5	F0KPA5	17	F0KPA5	F0KPA5;	3	YP_004995455.1,WP_014206768.1	2
AEB12216_Deinococcus-Thermus_Marinithermus_hydrothermalis	120	AEB12216	F2NPD5	130	F2NPD5	F2NPD5_MARHT	Marky_1481	MotA/TolQ/ExbB proton channel	Marinithermus hydrothermalis (strain DSM 14884 / JCM 11576 / T1)	869210	unreviewed	WP_013704263.1;		PF01618;		207	22183	130	F2NPD5	F2NPD5	130	F2NPD5	F2NPD5	130	F2NPD5	F2NPD5;	2	WP_013704263.1	1
AEI15149_Deferribacteres_Flexistipes_sinusarabici	121	AEI15149	F8E8M6	134	F8E8M6	F8E8M6_FLESM	Flexsi_1499	MotA/TolQ/ExbB proton channel	Flexistipes sinusarabici (strain ATCC 49648 / DSM 4947 / MAS 10)	717231	unreviewed	WP_013886630.1;		PF01618;		203	22378	134	F8E8M6	F8E8M6	134	F8E8M6	F8E8M6	134	F8E8M6	F8E8M6;	2	WP_013886630.1	1
AEI88772_Pseudomonadota_Candidatus_Midichloria	122	AEI88772	F7XVS3	132	F7XVS3	F7XVS3_MIDMI	motA midi_00465	Flagellar motor protein MotA duplicate	Midichloria mitochondrii (strain IricVA)	696127	unreviewed			PF01618;PF20560;		255	27870	132	F7XVS3	F7XVS3	132	F7XVS3	F7XVS3	132	F7XVS3	F7XVS3;	2		0
AEI88825_Pseudomonadota_Candidatus_Midichloria	123	AEI88825	F7XVX6	133	F7XVX6	F7XVX6_MIDMI	tolQ midi_00520	Tolq transport protein	Midichloria mitochondrii (strain IricVA)	696127	unreviewed	WP_013951037.1;		PF01618;		245	26997	133	F7XVX6	F7XVX6	133	F7XVX6	F7XVX6	133	F7XVX6	F7XVX6;	16	WP_013951037.1	1
