"i"	"protID"	"spname"	"group"	"assembly"	"symM3"	"symM2"	"symM1"	"sym0"	"sym1"	"sym2"	"sym3"	"strandM3"	"strandM2"	"strandM1"	"strand0"	"strand1"	"strand2"	"strand3"	"accM3"	"accM2"	"accM1"	"acc0"	"acc1"	"acc2"	"acc3"	"nameM3"	"nameM2"	"nameM1"	"name0"	"name1"	"name2"	"name3"	"prot_feature_tables_all_fn"
"106"	"106"	"QEO41299.1"	"Vibrio_cholerae_RFB16_chrom2"	"Gamma-proteo"	"GCA_008369605.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"QEO41296.1"	"QEO41297.1"	"QEO41298.1"	"QEO41299.1"	"QEO41300.1"	"QEO41301.1"	"QEO41302.1"	"ABC transporter permease subunit"	"extracellular solute-binding protein"	"DUF3450 domain-containing protein"	"MotA/TolQ/ExbB proton channel family protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"107"	"107"	"BAC61495.1"	"Vibrio_parahaemolyticus_RIMD_2210633_chrom1"	"Gamma-proteo"	"GCA_000196095.1"	"VPA0149"	"VPA0150"	"VPA0151"	"VPA0152"	"VPA0153"	"VPA0154"	"VPA0155"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"BAC61492.1"	"BAC61493.1"	"BAC61494.1"	"BAC61495.1"	"BAC61496.1"	"BAC61497.1"	"BAC61498.1"	"putative two-component system sensor kinase"	"putative ferrichrome-iron receptor"	"conserved hypothetical protein"	"biopolymer transport protein ExbB-related protein"	"TonB system transport protein ExbB2"	"TonB system transport protein ExbD2"	"TonB2 protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"108"	"108"	"ADG92231.1"	"Arcobacter_nitrofigilis_DSM_7299"	"Epsilon-proteo"	"GCA_000092245.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ADG92234.1"	"ADG92233.1"	"ADG92232.1"	"ADG92231.1"	"ADG92230.1"	"ADG92229.1"	"ADG92228.1"	"conserved hypothetical protein"	"Uncharacterized iron-regulated membrane protein"	"TonB system biopolymer transport component"	"MotA/TolQ/ExbB proton channel"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"109"	"109"	"QAR33784.1"	"Geovibrio_thiophilus_DSM_11263"	NA	"GCA_004087915.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QAR33787.1"	"QAR33786.1"	"QAR33785.1"	"QAR33784.1"	"QAR33783.1"	"QAR33782.1"	"QAR33781.1"	"hypothetical protein"	"DUF4857 domain-containing protein"	"DUF3450 domain-containing protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"110"	"110"	"ADD67744.1"	"Denitrovibrio_acetiphilus_DSM_12809"	NA	"GCA_000025725.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ADD67741.1"	"ADD67742.1"	"ADD67743.1"	"ADD67744.1"	"ADD67745.1"	"ADD67746.1"	"ADD67747.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"111"	"111"	"ACX75484.1"	"Fibrobacter_succinogenes_subsp_Succinogenes_S85"	"Fibrobacteres"	"GCA_000024665.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ACX75481.1"	"ACX75482.1"	"ACX75483.1"	"ACX75484.1"	"ACX75485.1"	"ACX75486.1"	"ACX75487.1"	"OmpA/MotB domain protein"	"TPR repeat-containing protein"	"TPR repeat-containing protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"112"	"112"	"ADB15644.1"	"Pirellula_staleyi_DSM_6068"	"Planctomycetes"	"GCA_000025185.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"+"	"-"	"+"	"+"	"ADB15641.1"	"ADB15642.1"	"ADB15643.1"	"ADB15644.1"	"ADB15645.1"	"ADB15646.1"	"ADB15647.1"	"Glycerophosphodiester phosphodiesterase"	"hypothetical protein"	"DNA topoisomerase (ATP-hydrolyzing)"	"hypothetical protein"	"DNA topoisomerase VI, B subunit"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"113"	"113"	"ABD79618.1"	"Saccharophagus_degradans_2-40"	"Gamma-proteo"	"GCA_000013665.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ABD79615.1"	"ABD79616.1"	"ABD79617.1"	"ABD79618.1"	"ABD79619.1"	"ABD79620.1"	"ABD79621.1"	"dihydrofolate reductase"	"TonB system biopolymer transport component"	"MotA/TolQ/ExbB proton channel"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"TonB-like protein"	"TPR repeat"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"114"	"114"	"MBU2986357.1"	"Saccharophagus_degradans_E3M17"	"Gamma-proteo"	"GCA_018860445.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"MBU2986354.1"	"MBU2986355.1"	"MBU2986356.1"	"MBU2986357.1"	"MBU2986358.1"	"MBU2986359.1"	"MBU2986360.1"	"dihydrofolate reductase"	"DUF3450 domain-containing protein"	"MotA/TolQ/ExbB proton channel family protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"PAS sensor protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"115"	"115"	"QEI18325.1"	"Cellvibrio_japonicus_ADPT1-KOJIBIOSE"	"Gamma-proteo"	"GCA_008120875.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"QEI18322.1"	"QEI18323.1"	"QEI18324.1"	"QEI18325.1"	"QEI18326.1"	"QEI18327.1"	"QEI18328.1"	"dihydrofolate reductase"	"DUF3450 domain-containing protein"	"energy transducer TonB"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"116"	"116"	"ADG92230.1"	"Arcobacter_nitrofigilis_DSM_7299"	"Epsilon-proteo"	"GCA_000092245.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ADG92233.1"	"ADG92232.1"	"ADG92231.1"	"ADG92230.1"	"ADG92229.1"	"ADG92228.1"	"ADG92227.1"	"Uncharacterized iron-regulated membrane protein"	"TonB system biopolymer transport component"	"MotA/TolQ/ExbB proton channel"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"Tetratricopeptide repeat protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"117"	"117"	"QEO41300.1"	"Vibrio_cholerae_RFB16_chrom2"	"Gamma-proteo"	"GCA_008369605.1"	""	""	""	""	""	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"QEO41297.1"	"QEO41298.1"	"QEO41299.1"	"QEO41300.1"	"QEO41301.1"	"QEO41302.1"	"QEO41303.1"	"extracellular solute-binding protein"	"DUF3450 domain-containing protein"	"MotA/TolQ/ExbB proton channel family protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"118"	"118"	"BAC61496.1"	"Vibrio_parahaemolyticus_RIMD_2210633_chrom1"	"Gamma-proteo"	"GCA_000196095.1"	"VPA0150"	"VPA0151"	"VPA0152"	"VPA0153"	"VPA0154"	"VPA0155"	"VPA0156"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"BAC61493.1"	"BAC61494.1"	"BAC61495.1"	"BAC61496.1"	"BAC61497.1"	"BAC61498.1"	"BAC61499.1"	"putative ferrichrome-iron receptor"	"conserved hypothetical protein"	"biopolymer transport protein ExbB-related protein"	"TonB system transport protein ExbB2"	"TonB system transport protein ExbD2"	"TonB2 protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"119"	"119"	"BAC58428.1"	"Vibrio_parahaemolyticus_RIMD_2210633_chrom1"	"Gamma-proteo"	"GCA_000196095.1"	"VP0168"	"VP0167"	"VP0166"	"VP0165"	"VP0164"	"VP0163"	"VP0162"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"BAC58431.1"	"BAC58430.1"	"BAC58429.1"	"BAC58428.1"	"BAC58427.1"	"BAC58426.1"	"BAC58425.1"	"hypothetical protein"	"hypothetical protein"	"putative TolR"	"TonB system transport protein ExbB2"	"TonB system transport protein ExbD2"	"putative TonB2 protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"120"	"120"	"QEI18408.1"	"Cellvibrio_japonicus_ADPT1-KOJIBIOSE"	"Gamma-proteo"	"GCA_008120875.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"QEI18405.1"	"QEI18406.1"	"QEI18407.1"	"QEI18408.1"	"QEI18409.1"	"QEI18410.1"	"QEI21207.1"	"TonB-dependent receptor plug domain-containing protein"	"DUF3450 domain-containing protein"	"MotA/TolQ/ExbB proton channel family protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"tetratricopeptide repeat protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"121"	"121"	"ADD67745.1"	"Denitrovibrio_acetiphilus_DSM_12809"	NA	"GCA_000025725.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ADD67742.1"	"ADD67743.1"	"ADD67744.1"	"ADD67745.1"	"ADD67746.1"	"ADD67747.1"	"ADD67748.1"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"122"	"122"	"QAR33783.1"	"Geovibrio_thiophilus_DSM_11263"	NA	"GCA_004087915.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QAR33786.1"	"QAR33785.1"	"QAR33784.1"	"QAR33783.1"	"QAR33782.1"	"QAR33781.1"	"QAR33780.1"	"DUF4857 domain-containing protein"	"DUF3450 domain-containing protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"123"	"123"	"AHE96346.1"	"Thermocrinis_ruber_DSM_23557"	"Aquificota"	"GCA_000512735.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AHE96349.1"	"AHE96348.1"	"AHE96347.1"	"AHE96346.1"	"AHE96345.1"	"AHE96344.1"	"AHE96343.1"	"class V aminotransferase"	"phosphoglycerate kinase"	"hypothetical protein"	"TolQ"	"biopolymer transporter ExbD"	"membrane protein"	"UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"124"	"124"	"ADC89509.1"	"Thermocrinis_albus_DSM_14484"	"Aquificota"	"GCA_000025605.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ADC89512.1"	"ADC89511.1"	"ADC89510.1"	"ADC89509.1"	"ADC89508.1"	""	"ADC89507.1"	"aminotransferase class V"	"Phosphoglycerate mutase"	"Tetratricopeptide TPR_2 repeat protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	""	"putative circadian clock protein, KaiC"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"125"	"125"	"ADO44512.1"	"Hydrogenobacter_thermophilus_TK-6"	"Aquificota"	"GCA_000164905.1"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"ADO44515.1"	"ADO44514.1"	"ADO44513.1"	"ADO44512.1"	"ADO44511.1"	"ADO44510.1"	"ADO44509.1"	"aminotransferase class V"	"Phosphoglycerate mutase"	"TPR repeat-containing protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"protein of unknown function DUF218"	"dihydroxy-acid dehydratase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"126"	"126"	"AAC07752.1"	"Aquifex_aeolicus_VF5"	"Aquificota"	"GCA_000008625.1"	"htpX"	"pgmA"	""	"tolQ"	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"AAC07747.1"	"AAC07750.1"	"AAC07758.1"	"AAC07752.1"	"AAC07763.1"	"AAC07762.1"	"AAC07761.1"	"heat shock protein X"	"phosphoglycerate mutase"	"putative protein"	"TolQ-like protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"127"	"127"	"QEO43084.1"	"Vibrio_cholerae_RFB16_chrom2"	"Gamma-proteo"	"GCA_008369605.1"	"hutX"	""	""	""	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"QEO43082.1"	"QEO43083.1"	"QEO43762.1"	"QEO43084.1"	"QEO43085.1"	"QEO43086.1"	"QEO43087.1"	"heme utilization cystosolic carrier protein HutX"	"heme anaerobic degradation radical SAM methyltransferase ChuW/HutW"	"energy transducer TonB"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"hemin ABC transporter substrate-binding protein"	"iron ABC transporter permease"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"128"	"128"	"BAC61768.1"	"Vibrio_parahaemolyticus_RIMD_2210633_chrom1"	"Gamma-proteo"	"GCA_000196095.1"	"VPA0428"	"VPA0427"	"VPA0426"	"VPA0425"	"VPA0424"	"VPA0423"	"VPA0422"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"BAC61771.1"	"BAC61770.1"	"BAC61769.1"	"BAC61768.1"	"BAC61767.1"	"BAC61766.1"	"BAC61765.1"	"conserved hypothetical protein"	"coproporphyrinogen oxidase homolog PhuW"	"TonB-like protein"	"ExbB-like protein"	"TonB system transport protein ExbD1"	"hemin ABC transporter, periplasmic hemin-binding protein HutB"	"putative hemin ABC transporter, permease protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"129"	"129"	"ADB17385.1"	"Pirellula_staleyi_DSM_6068"	"Planctomycetes"	"GCA_000025185.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"ADB17388.1"	"ADB17387.1"	"ADB17386.1"	"ADB17385.1"	"ADB17384.1"	"ADB17383.1"	"ADB17382.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"Pyrrolo-quinoline quinone"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"130"	"130"	"QDU94732.1"	"Lignipirellula_cremea_Pla85_3_4"	"Planctomycetes"	"GCA_007751035.1"	"dcd"	"pdg"	""	""	""	""	"bamB_4"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"QDU94735.1"	"QDU94734.1"	"QDU94733.1"	"QDU94732.1"	"QDU94731.1"	"QDU94730.1"	"QDU94729.1"	"Deoxycytidine triphosphate deaminase"	"Ultraviolet N-glycosylase/AP lyase"	"hypothetical protein"	"colicin uptake protein TolQ"	"colicin uptake protein TolR"	"colicin uptake protein TolR"	"Outer membrane protein assembly factor BamB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"131"	"131"	"CAD76944.1"	"Rhodopirellula_baltica_SH_1"	"Planctomycetes"	"GCA_000196115.1"	""	""	""	"tolQ"	""	"exbD"	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"CAD76940.1"	"CAD76941.1"	"CAD76943.1"	"CAD76944.1"	"CAD76945.1"	"CAD76946.1"	"CAD76947.1"	"hypothetical protein-signal peptide and transmembrane prediction"	"hypothetical protein"	"hypothetical protein"	"probable TolQ"	"similar to biopolymer transport exbD2 protein"	"probable biopolymer transport exbD protein"	"similar to serine/threonine protein kinase related protein-putative PQQ-dependent oxidoreductase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"132"	"132"	"QDU27583.1"	"Anatilimnocola_aggregata_ETA_A8"	"Planctomycetes"	"GCA_007747655.1"	""	""	"sasA"	""	""	""	""	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"QDU27586.1"	"QDU27585.1"	"QDU27584.1"	"QDU27583.1"	"QDU27582.1"	"QDU27581.1"	"QDU27580.1"	"hypothetical protein"	"Stress responsive A/B Barrel Domain protein"	"Adaptive-response sensory-kinase SasA"	"colicin uptake protein TolQ"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"133"	"133"	"ADV63710.1"	"Isospaera_pallida_ATCC_43644"	"Planctomycetes"	"GCA_000186345.1"	""	""	""	NA	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"+"	"ADV63713.1"	"ADV63712.1"	"ADV63711.1"	"ADV63710.1"	"ADV63709.1"	"ADV63708.1"	"ADV63707.1"	"phosphoribosylaminoimidazole carboxylase, ATPase subunit"	"5-(carboxyamino)imidazole ribonucleotide mutase"	"response regulator receiver protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"ABC transporter, ATP-binding protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"134"	"134"	"ADY58078.1"	"Rubinispaera_brasiliensis_DSM_5305"	"Planctomycetes"	"GCA_000165715.3"	""	""	""	NA	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"ADY58075.1"	"ADY58076.1"	"ADY58077.1"	"ADY58078.1"	"ADY58079.1"	"ADY58080.1"	"ADY58081.1"	"MATE efflux family protein"	"iojap-like protein"	"prolyl oligopeptidase"	"MotA/TolQ/ExbB proton channel"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"135"	"135"	"ATC62595.1"	"Nibricoccus_aquaticus_HZ-65"	"Verrucomicrobia"	"GCA_002310495.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"ATC62597.1"	"ATC62596.1"	"ATC65906.1"	"ATC62595.1"	"ATC62594.1"	"ATC62593.1"	"ATC62592.1"	"hypothetical protein"	"hypothetical protein"	"dihydroorotate dehydrogenase (quinone)"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"136"	"136"	"AWI09431.1"	"Ereboglobus_luteus_Ho45"	"Verrucomicrobia"	"GCA_003096195.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"AWI09432.1"	"AWI10621.1"	"AWI10620.1"	"AWI09431.1"	"AWI09430.1"	""	"AWI10619.1"	"hypothetical protein"	"EamA family transporter"	"ferrochelatase"	"flagellar motor protein MotA"	"biopolymer transporter ExbD"	"hypothetical protein"	"metallophosphoesterase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"137"	"137"	"ACB77180.1"	"Opitutus_terrae_PB90-1"	"Verrucomicrobia"	"GCA_000019965.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ACB77183.1"	"ACB77182.1"	"ACB77181.1"	"ACB77180.1"	"ACB77179.1"	"ACB77178.1"	"ACB77177.1"	"protein of unknown function UPF0102"	"glucose-6-phosphate 1-dehydrogenase"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"short-chain dehydrogenase/reductase SDR"	"glycoside hydrolase family 43"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"138"	"138"	"QJE97269.1"	"Luteolibacter_luteus_G-1-1-1"	"Verrucomicrobia"	"GCA_012913485.1"	"rsmA"	""	""	""	""	"def"	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"QJE99291.1"	"QJE97267.1"	"QJE97268.1"	"QJE97269.1"	"QJE97270.1"	"QJE97271.1"	"QJE97272.1"	"ribosomal RNA small subunit methyltransferase A"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"peptide deformylase"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"139"	"139"	"ADG92304.1"	"Arcobacter_nitrofigilis_DSM_7299"	"Epsilon-proteo"	"GCA_000092245.1"	""	""	""	NA	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"ADG92307.1"	"ADG92306.1"	"ADG92305.1"	"ADG92304.1"	"ADG92303.1"	"ADG92302.1"	"ADG92301.1"	"Shikimate kinase"	"PAS/PAC sensor signal transduction histidine kinase"	"conserved hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"diguanylate cyclase/phosphodiesterase"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"140"	"140"	"ADG92738.1"	"Arcobacter_nitrofigilis_DSM_7299"	"Epsilon-proteo"	"GCA_000092245.1"	""	""	""	NA	""	""	""	"+"	"+"	"-"	"-"	"-"	"+"	"+"	"ADG92741.1"	"ADG92740.1"	"ADG92739.1"	"ADG92738.1"	"ADG92737.1"	"ADG92736.1"	"ADG92735.1"	"tRNA pseudouridine synthase D TruD"	"AIR synthase related protein"	"TonB family protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"urease accessory protein UreG"	"urease complex component"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"141"	"141"	"ACX75330.1"	"Fibrobacter_succinogenes_subsp_Succinogenes_S85"	"Fibrobacteres"	"GCA_000024665.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ACX75327.1"	"ACX75328.1"	"ACX75329.1"	"ACX75330.1"	"ACX75331.1"	"ACX75332.1"	"ACX75333.1"	"FeoA family protein"	"small GTP-binding protein"	"TonB family protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"exporter of the RND superfamily protein-like protein"	"conserved hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"142"	"142"	"ACV38437.1"	"Leptotrichia_buccalis_DSM_1135"	"Fusobacteria"	"GCA_000023905.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"ACV38434.1"	"ACV38435.1"	"ACV38436.1"	"ACV38437.1"	"ACV38438.1"	"ACV38439.1"	"ACV38440.1"	"tRNA(5-methylaminomethyl-2-thiouridylate)-methyl transferase"	"transposase IS3/IS911 family protein"	"channel protein, hemolysin III family"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"hypothetical protein"	"peptidase M24"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"143"	"143"	"BBM36826.1"	"Pseudoleptotrichia_goodfellowii_JCM16774"	"Fusobacteria"	"GCA_007990505.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"-"	"-"	"-"	"-"	"BBM36829.1"	"BBM36828.1"	"BBM36827.1"	"BBM36826.1"	"BBM36825.1"	"BBM36824.1"	"BBM36823.1"	"methylated-DNA--protein-cysteine methyltransferase"	"phosphoglyceromutase"	"hemolysin III family channel protein"	"MotA/TolQ/ExbB proton channel"	"transport energizing protein, ExbD/TolR family"	"outer membrane insertion signal domain protein"	"ABC-type cobalamin/Fe3+-siderophores transportsystems, permease component"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"144"	"144"	"QQS88496.1"	"Fusobacterium_canifelinum_FDAARGOS_1126"	"Fusobacteria"	"GCA_016724785.1"	""	"rnpB"	""	""	""	""	""	"+"	"+"	"-"	"+"	"+"	"+"	"-"	"QQS88494.1"	""	"QQS88495.1"	"QQS88496.1"	"QQS88497.1"	"QQS88498.1"	"QQS88499.1"	"hypothetical protein"	"RNase P RNA component class A"	"peptide-binding protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"DUF1858 domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"145"	"145"	"AVQ29260.1"	"Fusobacterium_ulcerans_ATCC_49185"	"Fusobacteria"	"GCA_003019675.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"AVQ29257.1"	"AVQ29258.1"	"AVQ29259.1"	"AVQ29260.1"	"AVQ29261.1"	"AVQ29262.1"	"AVQ29263.1"	"TonB-dependent receptor"	"radical SAM protein"	"flavodoxin"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"PTS glucose transporter subunit IIBC"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"146"	"146"	"AVQ29523.1"	"Fusobacterium_ulcerans_ATCC_49185"	"Fusobacteria"	"GCA_003019675.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AVQ29526.1"	"AVQ29525.1"	"AVQ29524.1"	"AVQ29523.1"	"AVQ29522.1"	"AVQ29521.1"	"AVQ29520.1"	"iron ABC transporter"	"iron ABC transporter permease"	"ABC transporter ATP-binding protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"147"	"147"	"AVQ28424.1"	"Fusobacterium_ulcerans_ATCC_49185"	"Fusobacteria"	"GCA_003019675.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"AVQ28421.1"	"AVQ28422.1"	"AVQ28423.1"	"AVQ28424.1"	"AVQ28425.1"	"AVQ28426.1"	"AVQ28427.1"	"DUF116 domain-containing protein"	"tetratricopeptide repeat protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"energy transducer TonB"	"sigma-54-dependent Fis family transcriptional regulator"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
