Download.script?	GenBank.ID	RefSeq	FTP.path	GenBank.accession	Flagellum	Motility	Phylum	Class	Order	Family	Genus	Species	Strain	Reference	Notes	group	spname	strain_name
NA	GCA_000470765.1	GCF_000470765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/470/765/GCA_000470765.1_ASM47076v1	CP004033.1	No	Nonmotile	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydia	pecorum	PV3056/3	NA	NA	Chlamydiae	Chlamydia_pecorum_PV3056-3	Chlamydia pecorum PV3056/3
NA	GCA_002997735.1	GCF_002997735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/997/735/GCA_002997735.1_ASM299773v1	CP027206.1	No	Nonmotile	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydia	muridarum	Nigg isolate CM021	NA	NA	Chlamydiae	Chlamydia_muridarum_Nigg_isolate_CM021	Chlamydia muridarum Nigg isolate CM021
NA	GCA_900093645.1	GCF_900093645.1	https://ftp.ncbi.nlm.nih.gov//genomes/all/GCA/900/093/645/GCA_900093645.1_AB751O23	NA	NA	NA	Chlamydiae	Chlamydiae	Chlamydiales	NA	Chlamydiales bacterium	Chlamydiales bacterium	SCGC AB-751-O23	NA	Flagellated environmental Chlamydias	Chlamydiae	Chlamydiales_bacterium_SCGC_AB-751-O23	Chlamydiales bacterium Chlamydiales bacterium SCGC AB-751-O23
NA	GCA_900093625.1	GCF_900093625.1	https://ftp.ncbi.nlm.nih.gov//genomes/all/GCA/900/093/625/GCA_900093625.1_SCG7109	NA	NA	NA	Chlamydiae	Chlamydiae	Chlamydiales	NA	Chlamydiales bacterium	Chlamydiales bacterium	SCGC AG-110-M15	NA	Flagellated environmental Chlamydias	Chlamydiae	Chlamydiales_bacterium_SCGC_AG-110-M15	Chlamydiales bacterium Chlamydiales bacterium SCGC AG-110-M15
NA	GCA_900093655.1	GCF_900093655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/093/655/GCA_900093655.1_SCG7086	NA	NA	NA	Chlamydiae	Chlamydiae	Chlamydiales	NA	Chlamydiales bacterium	Chlamydiales bacterium	SCGC AG-110-P3	NA	Flagellated environmental Chlamydias	Chlamydiae	Chlamydiales_bacterium_SCGC_AG-110-P3	Chlamydiales bacterium Chlamydiales bacterium SCGC AG-110-P3
Y	GCA_018304665.1	GCF_018304665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/304/665/GCA_018304665.1_ASM1830466v1	CP072632.1	Pilus?	Motile	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Chloracidobacterium	thermophilum	strain B chromosome 1	NA	NA	Acidobacteriota	Chloracidobacterium_thermophilum_strain_B_chrom1	Chloracidobacterium thermophilum strain B chromosome 1
NA	GCA_000020505.1	GCF_000020505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/505/GCA_000020505.1_ASM2050v1	CP001099.1	No	Nonmotile	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	parvum	NCIB 8327	Green sulfur bacteria	NA	Chlorobi	Chlorobaculum_parvum_NCIB_8327	Chlorobaculum parvum NCIB 8327
NA	GCA_000015125.1	GCF_000015125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/125/GCA_000015125.1_ASM1512v1	CP000492.1	No	Nonmotile	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	phaeobacteroides	DSM 266	Green sulfur bacteria	NA	Chlorobi	Chlorobium_phaeobacteroides_DSM_266	Chlorobium phaeobacteroides DSM 266
NA	GCA_000020465.1	GCF_000020465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/465/GCA_000020465.1_ASM2046v1	CP001097.1	No	Nonmotile	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	limicola	DSM 245	Green sulfur bacteria	NA	Chlorobi	Chlorobium_limicola_DSM_245	Chlorobium limicola DSM 245
NA	GCA_000018865.1	GCF_000018865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/865/GCA_000018865.1_ASM1886v1	CP000909.1	No	Nonmotile	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	aurantiacus	J-10-fl	NA	Green non-sulfur bacteria, thermophilic	Chloroflexi	Chloroflexus_aurantiacus_J-10-fl	Chloroflexus aurantiacus J-10-fl
NA	GCA_000020525.1	GCF_000020525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/525/GCA_000020525.1_ASM2052v1	CP001100.1	No	Motile	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton	thalassium	ATCC 35110	Green sulfur bacteria	NA	Chlorobi	Chloroherpeton_thalassium_ATCC_35110	Chloroherpeton thalassium ATCC 35110
NA	GCA_000427095.1	GCF_000427095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/427/095/GCA_000427095.1_T49	HF951689.1	No	Motile	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	calidirosea	T49	Lee et al 2011	Recently described phylum. Thermophyle, NZ	Armatimonadetes	Chthonomonas_calidirosea_T49	Chthonomonas calidirosea T49
NA	GCA_001484725.1	GCF_001484725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/725/GCA_001484725.1_ASM148472v1	CP012395.1	NA	NA	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	autoethanogenum	DSM 10061	NA	Low gc gram+	Firmicutes	Clostridium_autoethanogenum_DSM_10061	Clostridium autoethanogenum DSM 10061
NA	GCA_015097275.1	GCF_015097275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/097/275/GCA_015097275.1_ASM1509727v1	AP023322.1	No	Nonmotile	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	secundus	subsp. similis 2CBH44	NA	NA	Bacteroidota	Coprobacter_secundus_subsp_similis_2CBH44	Coprobacter secundus subsp. similis 2CBH44
NA	GCA_000255295.1	GCF_000255295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/295/GCA_000255295.1_ASM25529v1	CP003389.1	NA	Gliding	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	coralloides	DSM 2259	NA	NA	Delta-proteo	Corallococcus_coralloides_DSM_2259	Corallococcus coralloides DSM 2259
NA	GCA_000023145.1	GCF_000023145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/145/GCA_000023145.1_ASM2314v1	CP001620.1	No	Nonmotile	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	kroppenstedtii	DSM 44385	NA	NA	Actinobacteriota	Corynebacterium_kroppenstedtii_DSM_44385	Corynebacterium kroppenstedtii DSM 44385
NA	GCA_000014145.1	GCF_000014145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/145/GCA_000014145.1_ASM1414v1	CP000383.1	No	Nonmotile	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	hutchinsonii	ATCC 33406	NA	NA	Bacteroidota	Cytophaga_hutchinsonii_ATCC_33406	Cytophaga hutchinsonii ATCC 33406
NA	GCA_000186385.1	GCF_000186385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/385/GCA_000186385.1_ASM18638v1	CP002454.1	No	Nonmotile	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	maricopensis	DSM 21211	NA	NA	Deino_Thermus	Deinococcus_maricopensis_DSM_21211	Deinococcus maricopensis DSM 21211
NA	GCA_000800395.1	GCF_000800395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/395/GCA_000800395.1_ASM80039v1	CP010028.1	Yes	Motile	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	radiopugnans	DY59	NA	NA	Deino_Thermus	Deinococcus_radiopugnans_DY59	Deinococcus radiopugnans DY59
NA	GCA_001507665.1	GCF_001507665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/507/665/GCA_001507665.1_ASM150766v1	CP013910.1	No	Nonmotile	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	actinosclerus	BM2	Joo et al 2016	Isolated from soil in South Korea. They showed strong resistance to gamma radiation	Deino_Thermus	Deinococcus_actinosclerus_BM2	Deinococcus actinosclerus BM2
NA	GCA_000025725.1	GCF_000025725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/725/GCA_000025725.1_ASM2572v1	CP001968.1	Yes	Motile	NA	Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	acetiphilus	DSM 12809	NA	NA	NA	Denitrovibrio_acetiphilus_DSM_12809	Denitrovibrio acetiphilus DSM 12809
NA	GCA_000021925.1	GCF_000021925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/925/GCA_000021925.1_ASM2192v1	CP001336.1	NA	NA	Firmicutes	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfitobacterium	hafniense	DCB-2	NA	Low gc gram+	Firmicutes	Desulfitobacterium_hafniense_DCB-2	Desulfitobacterium hafniense DCB-2
NA	GCA_002009335.2	GCF_002009335.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/009/335/GCA_002009335.2_ASM200933v2	CP019913.2	NA	NA	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfobacteraceae	Desulfococcus	multivorans	DSM 2059	NA	sulfate-reducing bacterium from the genus of Desulfococcus which has been isolated from a sewage digester in Germany	Delta-proteo	Desulfococcus_multivorans_DSM_2059	Desulfococcus multivorans DSM 2059
NA	GCA_000025945.1	GCF_000025945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/945/GCA_000025945.1_ASM2594v1	NA	NA	Motile	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfobacteraceae	Desulfotalea	psychrophila	LSv54	NA	sulphate reducing bacterium from permanently cold Arctic sediments, has the largest of all known flagellin genes	Delta-proteo	Desulfotalea_psychrophila_LSv54	Desulfotalea psychrophila LSv54
NA	GCA_014701235.1	GCF_014701235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/701/235/GCA_014701235.1_ASM1470123v1	AP022873.1	NA	NA	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Dissulfurispiraceae	Dissulfurispira	thermophila	T55J	NA	NA	Nitrospirae	Dissulfurispra_thermophila_T55J	Dissulfurispira thermophila T55J
NA	GCA_900187105.1	GCF_900187105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/105/GCA_900187105.1_50618_F01	LT906482.1	NA	NA	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	corrodens	NCTC10596	NA	NA	Beta-proteo	Eikenella_corrodens_NCTC10596	Eikenella corrodens NCTC10596
NA	GCA_023213235.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/213/235/GCA_023213235.1_ASM2321323v1	CP096137.1	NA	NA	Elusimicrobia	NA	NA	NA	Elusimicrobia	bacterium	isolate JAD_PAG50586_1	NA	NA	Elusimicrobia	Elusimicrobia_bacterium_isolate_JAD_PAG50586_1	Elusimicrobia bacterium isolate JAD_PAG50586_1
NA	GCA_000020145.1	GCF_000020145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/145/GCA_000020145.1_ASM2014v1	CP001055.1	NA	NA	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	minutum	Pei191	NA	NA	Elusimicrobia	Elusimicrobium_minutum_Pei191	Elusimicrobium minutum Pei191
NA	GCA_001027545.1	GCF_001027545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/545/GCA_001027545.1_ASM102754v1	CP009498.1	NA	NA	Elusimicrobia	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium	proavitum	Rsa215	NA	NA	Elusimicrobia	Endomicrobium_proavitum_Rsa215	Endomicrobium proavitum Rsa215
NA	GCA_900474605.1	GCF_900474605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/605/GCA_900474605.1_41594_C01	LS483306.1	NA	NA	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	cecorum	NCTC12421	NA	Low gc gram+	Firmicutes	Enterococcus_cecorum_NCTC12421	Enterococcus cecorum NCTC12421
NA	GCA_003096195.1	GCF_003096195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/195/GCA_003096195.1_ASM309619v1	CP023004.1	No	Nonmotile	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Ereboglobus	luteus	Ho45	NA	NA	Verrucomicrobia	Ereboglobus_luteus_Ho45	Ereboglobus luteus Ho45
NA	GCA_000005845.2	GCF_000005845.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/845/GCA_000005845.2_ASM584v2	U00096.3	Yes	Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	coli	K-12 substr. MG1655	Purple bacteria and relatives	NA	Gamma-proteo	Escherichia_coli_K-12_subMG1655	Escherichia coli K-12 substr. MG1655
NA	GCA_000024665.1	GCF_000024665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/665/GCA_000024665.1_ASM2466v1	CP001792.1	NA	NA	Fibrobacteres	NA	Fibrobacterales	Fibrobacteraceae	Fibrobacter	succinogenes subsp. Succinogenes	S85	NA	NA	Fibrobacteres	Fibrobacter_succinogenes_subsp_Succinogenes_S85	Fibrobacter succinogenes subsp. Succinogenes S85
NA	GCA_016699655.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/655/GCA_016699655.1_ASM1669965v1	CP064986.1	NA	NA	Fibrobacteres	NA	Fibrobacterales	Fibrobacteraceae	Fibrobacter	sp	Fred_18-Q3-R57-64_MAXAC.109_cln	NA	NA	Fibrobacteres	Fibrobacter_spFred_18-Q3-R57-64_MAXAC109_cln	Fibrobacter sp Fred_18-Q3-R57-64_MAXAC.109_cln
NA	GCA_016699655.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/655/GCA_016699655.1_ASM1669965v1	CP064986.1	NA	NA	Fibrobacteres	NA	NA	NA	Fibrobacteres	bacterium	isolate Fred_18-Q3-R57-64_MAXAC.109_cln	NA	NA	Fibrobacteres	Fibrobacteres_bacterium_isolate_Fred_18-Q3-R57-64_MAXAC109_cln	Fibrobacteres bacterium isolate Fred_18-Q3-R57-64_MAXAC.109_cln
NA	GCA_000724625.1	GCF_000724625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/625/GCA_000724625.1_ASM72462v1	CP007139.1	No	Nonmotile	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	ginsengisoli	Gsoil 348	Wan-Taek et al 2012	Recently described phylum	Armatimonadetes	Fimbriimonas_ginsengisoli_Gsoil_348	Fimbriimonas ginsengisoli Gsoil 348
NA	GCA_000218625.1	GCF_000218625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/625/GCA_000218625.1_ASM21862v1	CP002858.1	No	Nonmotile	NA	Deferribacteres	Deferribacterales	Flexistipitaceae	Flexistipes	sinusarabici	DSM 4947	NA	NA	NA	Flexistipes_sinusarabici_DSM_4947	Flexistipes sinusarabici DSM 4947
NA	GCA_003019675.1	GCF_003019675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/675/GCA_003019675.1_ASM301967v1	CP028105.1	NA	NA	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium	ulcerans	ATCC 49185	NA	NA	Fusobacteria	Fusobacterium_ulcerans_ATCC_49185	Fusobacterium ulcerans ATCC 49185
NA	GCA_016724785.1	GCF_016724785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/724/785/GCA_016724785.1_ASM1672478v1	CP068114.1	NA	NA	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium	canifelinum	FDAARGOS_1126	NA	NA	Fusobacteria	Fusobacterium_canifelinum_FDAARGOS_1126	Fusobacterium canifelinum FDAARGOS_1126
NA	GCA_000010305.1	GCF_000010305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/305/GCA_000010305.1_ASM1030v1	AP009153.1	NA	NA	Gemmatimonadetes	NA	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	aurantiaca	T-27	NA	NA	Gemmatimonadetes	Gemmatimonas_aurantiaca_T-27	Gemmatimonas aurantiaca T-27
NA	GCA_000695095.2	GCF_000695095.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/095/GCA_000695095.2_ASM69509v2	CP011454.1	NA	NA	Gemmatimonadetes	NA	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	phototrophica	AP64	NA	NA	Gemmatimonadetes	Gemmatimonas_phototrophica_AP64	Gemmatimonas phototrophica AP64
NA	GCA_013004105.1	GCF_013004105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/004/105/GCA_013004105.1_ASM1300410v1	CP053085.1	NA	NA	Gemmatimonadetes	NA	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	groenlandica	TET16	NA	NA	Gemmatimonadetes	Gemmatimonas_groenlandica_TET16	Gemmatimonas groenlandica TET16
NA	GCA_000007985.2	GCF_000007985.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/985/GCA_000007985.2_ASM798v2	AE017180.2	Yes	Motile	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	sulfurreducens	PCA	NA	Ability to conduct electricity, potential microbial fuel cell (MFC).	Delta-proteo	Geobacter_sulfurreducens_PCA	Geobacter sulfurreducens PCA
NA	GCA_004087915.1	GCF_004087915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/087/915/GCA_004087915.1_ASM408791v1	CP035108.1	Yes	Motile	NA	Deferribacteres	Deferribacterales	Geovibrionaceae	Geovibrio	thiophilus	DSM 11263	NA	NA	NA	Geovibrio_thiophilus_DSM_11263	Geovibrio thiophilus DSM 11263
NA	GCA_000011385.1	GCF_000011385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/385/GCA_000011385.1_ASM1138v1	BA000045.2	No	Nonmotile	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	violaceus	PCC 7421	Blue-green algae	NA	Cyanobacteria	Gloeobacter_violaceus_PCC_7421	Gloeobacter violaceus PCC 7421
NA	GCA_000164905.1	GCF_000164905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/905/GCA_000164905.1_ASM16490v1	CP002221.1	No	Nonmotile	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	thermophilus	TK-6	Zeytun et al. 2011	NA	Aquificota	Hydrogenobacter_thermophilus_TK-6	Hydrogenobacter thermophilus TK-6
NA	GCA_000186345.1	NA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/345/GCA_000186345.1_ASM18634v1	CP002353.1	NA	NA	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	pallida	ATCC 43644	NA	NA	Planctomycetes	Isospaera_pallida_ATCC_43644	Isosphaera pallida ATCC 43644
NA	GCA_000186345.1	NA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/345/GCA_000186345.1_ASM18634v1	CP002354.1	NA	NA	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	pallida	ATCC 43644 pISOP01	NA	NA	Planctomycetes	Isospaera_pallida_ATCC_43644_pISOP01	Isosphaera pallida ATCC 43644 pISOP01
NA	GCA_001017655.1	NA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/017/655/GCA_001017655.1_ASM101765v1	CP010904.1	NA	NA	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	glycovorans	L21-Fru-AB	NA	NA	Kiritimatiellaeota	Kiritimatiella_glycovorans_L21-Fru-AB	Kiritimatiella glycovorans L21-Fru-AB
NA	GCA_019048125.1	GCF_019048125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/048/125/GCA_019048125.1_ASM1904812v1	CP077293.1	NA	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	aerogenes	FDAARGOS 1442	NA	NA	Gamma-proteo	Klebsiella_aerogenes_FDAARGOS_1442	Klebsiella aerogenes FDAARGOS 1442
NA	GCA_000313175.2	GCF_000313175.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/175/GCA_000313175.2_ASM31317v2	CP006694.1	NA	NA	Spirochaetes	NA	Leptospirales	Leptospiraceae	Leptospira	santarosai	serovar Shermani str. LT 821 chromosome 1	NA	NA	Spirochaetes	Leptospra_santarosai_Shermani_LT_821_chrom1	Leptospira santarosai serovar Shermani str. LT 821 chromosome 1
NA	GCA_000313175.2	GCF_000313175.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/175/GCA_000313175.2_ASM31317v2	CP006695.1	NA	NA	Spirochaetes	NA	Leptospirales	Leptospiraceae	Leptospira	santarosai	serovar Shermani str. LT 821 chromosome 2	NA	NA	Spirochaetes	Leptospra_santarosai_Shermani_LT_821_chrom2	Leptospira santarosai serovar Shermani str. LT 821 chromosome 2
NA	GCA_000284315.1	GCF_000284315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/315/GCA_000284315.1_ASM28431v1	AP012342.1	NA	NA	Nitrospirae	NA	Nitrospirales	Nitrospiraceae	Leptospirillum	ferrooxidans	C2-3	NA	NA	Nitrospirae	Leptosprillum_ferrooxidans_C2-3	Leptospirillum ferrooxidans C2-3
NA	GCA_019891175.1	GCF_019891175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/891/175/GCA_019891175.1_ASM1989117v1	CP072600.1	No	Nonmotile	Cyanobacteria	NA	Pseudanabaenales	Leptolyngbyaceae	Leptothermofonsia	sichuanensis	PKUAC-SCTE412	Blue-green algae	NA	Cyanobacteria	Leptothermofonsia_sichuanensis_PKUAC-SCTE412	Leptothermofonsia sichuanensis PKUAC-SCTE412
NA	GCA_000023905.1	GCF_000023905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/905/GCA_000023905.1_ASM2390v1	CP001685.1	NA	NA	Fusobacteria	Fusobacteria	Fusobacteriales	Leptotrichiaceae	Leptotrichia	buccalis	DSM 1135	NA	NA	Fusobacteria	Leptotrichia_buccalis_DSM_1135	Leptotrichia buccalis DSM 1135
NA	GCA_007751035.1	GCF_007751035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/751/035/GCA_007751035.1_ASM775103v1	CP036433.1	NA	NA	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	cremea	Pla85_3_4	NA	NA	Planctomycetes	Lignipirellula_cremea_Pla85_3_4	Lignipirellula cremea Pla85_3_4
NA	GCA_001544015.1	GCF_001544015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/015/GCA_001544015.1_ASM154401v1	AP014924.1	NA	NA	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	pilosa	HC45	NA	NA	Firmicutes	Limnochorda_pilosa_HC45	Limnochorda pilosa HC45
NA	GCA_001544015.1	GCF_001544015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/015/GCA_001544015.1_ASM154401v1	AP014924.1	NA	NA	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	pilosa	HC45	NA	Low gc gram+	Firmicutes	Limnochorda_pilosa_HC45	Limnochorda pilosa HC45
NA	GCA_004636665.2	GCF_004636665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/636/665/GCA_004636665.2_ASM463666v2	CP095724.1	NA	NA	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	innocua	F6217	NA	Low gc gram+	Firmicutes	Listeria_innocua_F6217	Listeria innocua F6217
NA	GCA_012913485.1	GCF_012913485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/913/485/GCA_012913485.1_ASM1291348v1	CP051774.1	No	Nonmotile	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	luteus	G-1-1-1	NA	NA	Verrucomicrobia	Luteolibacter_luteus_G-1-1-1	Luteolibacter luteus G-1-1-1
NA	GCA_000513295.1	GCF_000513295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/295/GCA_000513295.1_MGMSRv2	HG794546.1	NA	NA	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	gryphiswaldense	MSR-1 v2	NA	NA	Alpha-proteo	Magnetosprillum_gryphiswaldense_MSR-1_v2	Magnetospirillum gryphiswaldense MSR-1 v2
NA	GCA_000195335.1	GCF_000195335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/335/GCA_000195335.1_ASM19533v1	CP002630.1	No	Nonmotile	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Marinithermus	hydrothermalis	DSM 14884	NA	NA	Deino_Thermus	Marinithermus_hydrothermalis_DSM_14884	Marinithermus hydrothermalis DSM 14884
NA	GCA_002795805.1	GCF_002795805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/795/805/GCA_002795805.1_ASM279580v1	CP018799.1	NA	NA	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	aestuarium	CP-5	NA	NA	Zeta-proteo	Mariprofundus_aestuarium_CP-5	Mariprofundus aestuarium CP-5
NA	GCA_002795825.1	GCF_002795825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/795/825/GCA_002795825.1_ASM279582v1	CP018800.1	NA	NA	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	ferrinatatus	CP-8	NA	NA	Zeta-proteo	Mariprofundus_ferrinatatus_CP-8	Mariprofundus ferrinatatus CP-8
NA	GCA_017310545.1	GCF_017310545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/310/545/GCA_017310545.1_ASM1731054v1	CP066203.1	NA	NA	Verrucomicrobia	NA	NA	NA	Methylacidimicrobium	sp. B4	NA	NA	NA	Verrucomicrobia	Methylacidimicrobium_sp_B4_NA	Methylacidimicrobium sp. B4 NA
NA	GCA_000757795.1	GCF_000757795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/795/GCA_000757795.1_ASM75779v1	CP003811.1	NA	NA	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	oryzae	CBMB20	NA	NA	Alpha-proteo	Methylobacterium_oryzae_CBMB20	Methylobacterium oryzae CBMB20
