	Download script?	GenBank ID	RefSeq	FTP path	GenBank accession	Flagellum	Motility	Phylum	Class	Order	Family	Genus	Species	Strain	Reference	Notes	Isolation source	Habitat/Lifestyle	flag-1	flag-2	flag-3a	flag-3b	flag-4	flag-5	sum	3ish	3plain	manual	which	spname_in_lit	notes31	group	notes32
		GCA_001027545.1	GCF_001027545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/545/GCA_001027545.1_ASM102754v1	CP009498.1			Elusimicrobia	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium	proavitum	Rsa215																			
		GCA_900474605.1	GCF_900474605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/605/GCA_900474605.1_41594_C01	LS483306.1			Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	cecorum	NCTC12421		Low gc gram+																	
		GCA_003096195.1	GCF_003096195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/195/GCA_003096195.1_ASM309619v1	CP023004.1	No	Nonmotile	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Ereboglobus	luteus	Ho45  																			
		GCA_000005845.2	GCF_000005845.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/845/GCA_000005845.2_ASM584v2	U00096.3	Yes	Motile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	coli	K-12 substr. MG1655	Purple bacteria and relatives																		
		GCA_000024665.1	GCF_000024665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/665/GCA_000024665.1_ASM2466v1	CP001792.1			Fibrobacteres		Fibrobacterales	Fibrobacteraceae	Fibrobacter	succinogenes subsp. Succinogenes	S85																			
		GCA_016699655.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/655/GCA_016699655.1_ASM1669965v1	CP064986.1			Fibrobacteres		Fibrobacterales	Fibrobacteraceae	Fibrobacter	sp	Fred_18-Q3-R57-64_MAXAC.109_cln																			
		GCA_016699655.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/655/GCA_016699655.1_ASM1669965v1	CP064986.1			Fibrobacteres				Fibrobacteres	bacterium	isolate Fred_18-Q3-R57-64_MAXAC.109_cln 																			
		GCA_000724625.1	 GCF_000724625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/625/GCA_000724625.1_ASM72462v1	CP007139.1	No	Nonmotile	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	ginsengisoli	Gsoil 348	Wan-Taek et al 2012	Recently described phylum																	
		GCA_000218625.1	GCF_000218625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/625/GCA_000218625.1_ASM21862v1	CP002858.1	No	Nonmotile		Deferribacteres	Deferribacterales	Flexistipitaceae	Flexistipes	sinusarabici	DSM 4947																			
		GCA_003019675.1	GCF_003019675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/675/GCA_003019675.1_ASM301967v1	CP028105.1			Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium	ulcerans	ATCC 49185																			
		GCA_016724785.1	GCF_016724785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/724/785/GCA_016724785.1_ASM1672478v1	CP068114.1			Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium	canifelinum	FDAARGOS_1126 																			
		GCA_000010305.1	GCF_000010305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/305/GCA_000010305.1_ASM1030v1	AP009153.1			Gemmatimonadetes		Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	aurantiaca	T-27 																			
		GCA_000695095.2	GCF_000695095.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/095/GCA_000695095.2_ASM69509v2	CP011454.1			Gemmatimonadetes		Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	phototrophica	AP64																			
		GCA_013004105.1	GCF_013004105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/004/105/GCA_013004105.1_ASM1300410v1	CP053085.1			Gemmatimonadetes		Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	groenlandica	TET16																			
		GCA_000007985.2	GCF_000007985.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/985/GCA_000007985.2_ASM798v2	AE017180.2	Yes	Motile	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	sulfurreducens	PCA		Ability to conduct electricity, potential microbial fuel cell (MFC).																	
		GCA_004087915.1	GCF_004087915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/087/915/GCA_004087915.1_ASM408791v1	CP035108.1	Yes	Motile		Deferribacteres	Deferribacterales	Geovibrionaceae	Geovibrio	thiophilus	DSM 11263 																			
		GCA_000011385.1	GCF_000011385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/385/GCA_000011385.1_ASM1138v1	BA000045.2	No	Nonmotile	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	violaceus	PCC 7421	Blue-green algae																		
		GCA_000164905.1	GCF_000164905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/905/GCA_000164905.1_ASM16490v1	CP002221.1	No	Nonmotile	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	thermophilus	TK-6	Zeytun et al. 2011																		
		GCA_000186345.1		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/345/GCA_000186345.1_ASM18634v1	CP002353.1			Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	pallida	ATCC 43644																			
		GCA_000186345.1		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/345/GCA_000186345.1_ASM18634v1	CP002354.1			Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	pallida	ATCC 43644 pISOP01																			
		GCA_001017655.1		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/017/655/GCA_001017655.1_ASM101765v1	CP010904.1			Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	glycovorans	L21-Fru-AB																			
		GCA_019048125.1	GCF_019048125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/048/125/GCA_019048125.1_ASM1904812v1	CP077293.1			Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	aerogenes	FDAARGOS 1442 																			
		GCA_000313175.2	GCF_000313175.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/175/GCA_000313175.2_ASM31317v2	CP006694.1			Spirochaetes		Leptospirales	Leptospiraceae	Leptospira	santarosai	serovar Shermani str. LT 821 chromosome 1																			
		GCA_000313175.2	GCF_000313175.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/175/GCA_000313175.2_ASM31317v2	CP006695.1			Spirochaetes		Leptospirales	Leptospiraceae	Leptospira	santarosai	serovar Shermani str. LT 821 chromosome 2																			
		GCA_000284315.1	GCF_000284315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/315/GCA_000284315.1_ASM28431v1	AP012342.1			Nitrospirae		Nitrospirales	Nitrospiraceae	Leptospirillum	ferrooxidans	C2-3																			
		GCA_019891175.1	 GCF_019891175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/891/175/GCA_019891175.1_ASM1989117v1	CP072600.1	No	Nonmotile	Cyanobacteria		Pseudanabaenales	Leptolyngbyaceae	Leptothermofonsia	sichuanensis	PKUAC-SCTE412	Blue-green algae																		
		GCA_000023905.1	GCF_000023905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/905/GCA_000023905.1_ASM2390v1	CP001685.1			Fusobacteria	Fusobacteria	Fusobacteriales	Leptotrichiaceae	Leptotrichia	buccalis	DSM 1135																			
		GCA_007751035.1	GCF_007751035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/751/035/GCA_007751035.1_ASM775103v1	CP036433.1			Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	cremea	Pla85_3_4																			
		GCA_001544015.1	GCF_001544015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/015/GCA_001544015.1_ASM154401v1	AP014924.1			Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	pilosa	HC45																			
		GCA_001544015.1	GCF_001544015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/015/GCA_001544015.1_ASM154401v1	AP014924.1			Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	pilosa	HC45		Low gc gram+																	
		GCA_004636665.2	GCF_004636665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/636/665/GCA_004636665.2_ASM463666v2	CP095724.1			Firmicutes	Bacilli	Bacillales	Listeriaceae 	Listeria 	innocua	F6217		Low gc gram+																	
		GCA_012913485.1	GCF_012913485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/913/485/GCA_012913485.1_ASM1291348v1	CP051774.1	No	Nonmotile	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	luteus	G-1-1-1 																			
		GCA_000513295.1	GCF_000513295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/295/GCA_000513295.1_MGMSRv2	HG794546.1			Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	gryphiswaldense	MSR-1 v2																			
		GCA_000195335.1	GCF_000195335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/335/GCA_000195335.1_ASM19533v1	CP002630.1	No	Nonmotile	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Marinithermus	hydrothermalis	DSM 14884																			
		GCA_002795805.1	GCF_002795805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/795/805/GCA_002795805.1_ASM279580v1	CP018799.1			Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	aestuarium	CP-5																			
		GCA_002795825.1	GCF_002795825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/795/825/GCA_002795825.1_ASM279582v1	CP018800.1			Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	ferrinatatus	CP-8																			
		GCA_017310545.1	GCF_017310545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/310/545/GCA_017310545.1_ASM1731054v1	CP066203.1			Verrucomicrobia				Methylacidimicrobium	sp. B4																				
		GCA_000757795.1	GCF_000757795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/795/GCA_000757795.1_ASM75779v1	CP003811.1			Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	oryzae	CBMB20																			
		GCA_022701275.1	GCF_022701275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/701/275/GCA_022701275.1_ASM2270127v1	CP031740.1	No	Nonmotile	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Microcoleus	vaginatus	PCC 9802 	Blue-green algae																		
		GCA_002874775.1	GCF_002874775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/874/775/GCA_002874775.1_ASM287477v1	CP020991.1			Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Monoglobus	pectinilyticus	14		Low gc gram+																	
		GCA_001874605.1	GCF_001874605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/605/GCA_001874605.1_ASM187460v1	CP017237.1			Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	thermoacetica	DSM 103284 		Low gc gram+																	
		GCA_000487995.2	GCF_000487995.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/995/GCA_000487995.2_ASM48799v2	CP097562.1	Yes	Motile		Deferribacteres	Deferribacterales	Mucispirillaceae	Mucispirillum	schaedleri	ASF457	Herp et al 2021	Inhabit the mammalian gastrointestinal tract																	
		GCA_000195955.2	GCF_000195955.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2	AL123456.3	No	Nonmotile	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	tuberculosis	H37Rv																			
		GCA_000012685.1	GCF_000012685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/685/GCA_000012685.1_ASM1268v1	CP000113.1		Gliding	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	xanthus	DK 1622																			
		GCA_020827275.1	 GCF_020827275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/827/275/GCA_020827275.1_ASM2082727v1			Gliding	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	xanthus	DZ2																			
		GCA_000013165.1	GCF_000013165.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/165/GCA_000013165.1_ASM1316v1	CP000237.1			Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Neorickettsia	sennetsu	Miyayama																			
		GCA_000246855.1	GCF_000246855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/855/GCA_000246855.1_ASM24685v1	CP003178.1	No	Nonmotile	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Niastella	koreensis	GR20-10																			
		GCA_002310495.1	GCF_002310495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/310/495/GCA_002310495.1_ASM231049v1	CP023344.1	Yes	Motile	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Nibricoccus	aquaticus	HZ-65 																			
		GCA_000012725.1	GCF_000012725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/725/GCA_000012725.1_ASM1272v1	CP000115.1			Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Nitrobacter	winogradskyi	Nb-255																			
		GCA_001273775.1	GCF_001273775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/273/775/GCA_001273775.1_ASM127377v1	CP011801.1			Nitrospirae		Nitrospirales	Nitrospiraceae	Nitrospira	moscoviensis	NSP M-1																			
		GCA_900169565.1	GCF_900169565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/169/565/GCA_900169565.1_NSJP_Ch1	LT828648.1			Nitrospirae		Nitrospirales	Nitrospiraceae	Nitrospira	japonica	NJ11																			
		GCA_000019965.1	GCF_000019965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/965/GCA_000019965.1_ASM1996v1	CP001032.1	Yes	Motile	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	terrae	PB90-1																			
		GCA_000010205.1	GCF_000010205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/205/GCA_000010205.1_ASM1020v1	AP008981.1			Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	tsutsugamushi	Ikeda																			
		GCA_012295525.1	GCF_012295525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/295/525/GCA_012295525.1_ASM1229552v1	CP051167.1	No	Nonmotile	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Oxynema	aestuarii	AP17	Blue-green algae																		
	Y	GCA_015277775.1	GCF_015277775.1 	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/277/775/GCA_015277775.1_ASM1527777v1	CP063849.1	No	Nonmotile	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Paludibaculum	fermentans	P105 																			
	Y	GCA_015277775.1	GCF_015277775.1 	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/277/775/GCA_015277775.1_ASM1527777v1	CP063850.1	No	Nonmotile	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Paludibaculum	fermentans	P105 plasmid pPfer1																			
		GCA_000253035.1	 GCF_000253035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/035/GCA_000253035.1_ASM25303v1	FR872580.1	No	Nonmotile	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Parachlamydia	acanthamoebae	UV-7																			
		GCA_000020645.1	GCF_000020645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/645/GCA_000020645.1_ASM2064v1	CP001110.1	No	Nonmotile	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Pelodictyon	phaeoclathratiforme	BU-1	Green sulfur bacteria																		
		GCA_003966975.1	GCF_003966975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/966/975/GCA_003966975.1_ASM396697v1	AP018437.1	No	Nonmotile	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Pelolinea	submarina	MO-CFX1	Imachi et al 2014	Green non-sulfur bacteria																	
		GCA_000025185.1	GCF_000025185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/185/GCA_000025185.1_ASM2518v1	CP001848.1			Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	staleyi	DSM 6068																			
		GCA_000973725.1	 GCF_000973725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/973/725/GCA_000973725.1_ASM97372v1	CP009621.1	Yes	Motile	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Pontibacter	korlensis	X14-1T																			
		GCA_000007925.1	 GCF_000007925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/925/GCA_000007925.1_ASM792v1	AE017126.1	No	Nonmotile	Cyanobacteria		Synechococcales	Prochlorococcaceae	Prochlorococcus	marinus subsp. marinus 	CCMP1375	Blue-green algae																		
		GCA_007990505.1	GCF_007990505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/990/505/GCA_007990505.1_ASM799050v1	AP019822.1			Fusobacteria	Fusobacteria	Fusobacteriales	Leptotrichiaceae	Pseudoleptotrichia	goodfellowii	JCM16774																			
		GCA_000006765.1	GCF_000006765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1	AE004091.2		Motile	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	aeruginosa	PAO1	Purple bacteria and relatives																		
		GCA_002762215.1	GCF_002762215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/762/215/GCA_002762215.1_ASM276221v1	CP024645.1			Proteobacteria	Betaproteobacteria	Burkholderiales		Rhizobacter	gummiphilus	NBRC 109400																			
		GCA_000021865.1	GCF_000021865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/865/GCA_000021865.1_ASM2186v1	CP001312.1			Proteobacteria	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Rhodobacter	capsulatus	SB 1003																			
		GCA_000021865.1	GCF_000021865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/865/GCA_000021865.1_ASM2186v1	CP001313.1			Proteobacteria	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Rhodobacter	capsulatus	SB 1003 plasmid pRCB133																			
		GCA_000021005.1	GCF_000021005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/005/GCF_000021005.1_ASM2100v1				Proteobacteria	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Cereibacter 	sphaeroides	KD131; KCTC 12085		swims with a single, stop-start flagellum, with no reversing (Shah and Sockett, 1995; Shah et al., 2000)																	
		GCA_001955715.1	GCF_001955715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/955/715/GCA_001955715.1_ASM195571v1	CP019239.1			Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	saidenbachensis	DSM 22694																			
		GCA_000196115.1	GCF_000196115.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/115/GCA_000196115.1_ASM19611v1	BX119912.1			Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	baltica	SH 1																			
		GCA_000196115.1		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/115/GCA_000196115.1_ASM19611v1	 BX119912.1			Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	baltica	SH 1																			
		GCA_000225955.1	GCF_000225955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/955/GCA_000225955.1_ASM22595v1	CP003046.1			Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	rubrum	F11																			
		GCA_000007025.1	GCF_000007025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/025/GCA_000007025.1_ASM702v1	AE006914.1			Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	conorii	Malish 7																			
		GCA_000165715.3	  GCF_000165715.2 	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/715/GCA_000165715.3_ASM16571v3	CP002546.1		Motile	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	brasiliensis	DSM 5305																			
		GCA_000165715.3	GCF_000165715.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/715/GCA_000165715.3_ASM16571v3	CP002546.1			Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	brasiliensis	DSM 5305																			
		GCA_018860445.1	GCF_018860445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/860/445/GCA_018860445.1_ASM1886044v1				Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus 	degradans	E3M17																			
		GCA_000013665.1	GCF_000013665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/665/GCA_000013665.1_ASM1366v1	CP000282.1			Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus 	degradans	2-40																			
	Y	GCA_000062885.1	 GCF_000062885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/062/885/GCA_000062885.1_ASM6288v1	AM420293.1	No	Nonmotile	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	erythraea	NRRL2338																			
		GCA_000007545.1	GCF_000007545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/545/GCA_000007545.1_ASM754v1	AE014613.1			Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	enterica subsp. Enterica	serovar Typhi Ty2																			
		GCA_002117005.1	GCF_002117005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/117/005/GCA_002117005.1_ASM211700v1	CP021023.1			Planctomycetes	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Sedimentisphaera	salicampi	ST-PulAB-D4 																			
		GCA_002117005.1		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/117/005/GCA_002117005.1_ASM211700v1	CP021023.1			Planctomycetes	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Sedimentisphaera	salicampi	ST-PulAB-D4																			
		GCA_017298715.1	GCF_017298715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/298/715/GCA_017298715.1_ASM1729871v1				Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	marcescens subsp. marcescens	str. ATCC 13880																			
		GCA_013374815.1	GCF_013374815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/374/815/GCA_013374815.1_ASM1337481v1	CP055292.1			Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	sonnei	SE6-1																			
		GCA_000973085.1	GCF_000973085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/973/085/GCA_000973085.1_ASM97308v1	CP011280.1			Fusobacteria	Fusobacteria	Fusobacteriales	Leptotrichiaceae	Sneathia	vaginalis	SN35 																			
		GCA_004135735.1	GCF_004135735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/135/735/GCA_004135735.1_ASM413573v1			Gliding	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	cellulosum	So ceGT47																			
		GCA_014490665.1	GCF_014490665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/490/665/GCA_014490665.1_ASM1449066v1	CP061038.1			Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	alpina	DSM 22537																			
		GCA_000013425.1	GCF_000013425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/425/GCA_000013425.1_ASM1342v1	CP000253.1			Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	aureus subsp. Aureus	NCTC 8325		Low gc gram+																	
		GCA_000165485.1	GCF_000165485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/485/GCA_000165485.1_ASM16548v1	CP002271.1		Gliding	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	aurantiaca	DW4/3-1																			
		GCA_900637025.1	GCF_900637025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/025/GCA_900637025.1_46338_H01	LR134336.1			Firmicutes	Bacilli	Lactobacillales	Streptococcaceae 	Streptococcus	oralis	NCTC11427		Low gc gram+																	
		GCA_020099395.1	GCF_020099395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/099/395/GCA_020099395.1_ASM2009939v1	CP083590.1	No	Nonmotile	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	mobaraensis	DSM 40587 																			
		GCA_020099395.2	GCF_020099395.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/099/395/GCA_020099395.1_ASM2009939v1	CP083591.1	No	Nonmotile	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	mobaraensis	DSM 40587 plasmid pDSM40587																			
	Y	GCA_017498545.1	GCF_017498545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/498/545/GCA_017498545.1_ASM1749854v1	CP071793.1	No	Nonmotile	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Sulfidibacter	corallicola	M133																			
		GCA_000147355.1	 GCF_000147355.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/355/GCA_000147355.1_ASM14735v1	CP002205.1		Motile	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	autotrophica	DSM 16294																			
		GCA_001723605.1	GCF_001723605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/605/GCA_001723605.1_ASM172360v1	CP017111.1		Motile	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	halorespirans	DSM 13726																			
