fullnames	fns	genome_id	assembly_id	gids	desc	taxon	genus	species	strain
GCA_000196115.1_ASM19611v1_protein|CAD71788.1 probable biopolymer transport protein [Rhodopirellula baltica SH 1]	GCA_000196115.1_ASM19611v1_protein	GCA_000196115.1	ASM19611v1	CAD71788.1	GCA_000196115.1_ASM19611v1_protein|CAD71788.1 probable biopolymer transport protein	Rhodopirellula baltica SH 1	Rhodopirellula	baltica	SH 1
GCA_000008465.1_ASM846v1_protein|AAV83016.1 Possible biopolymer transport protein, ExbB family [Idiomarina loihiensis L2TR]	GCA_000008465.1_ASM846v1_protein	GCA_000008465.1	ASM846v1	AAV83016.1	GCA_000008465.1_ASM846v1_protein|AAV83016.1 Possible biopolymer transport protein, ExbB family	Idiomarina loihiensis L2TR	Idiomarina	loihiensis	L2TR
GCA_000333235.1_ASM33323v1_protein|CCQ11600.1 Possible biopolymer transport protein, ExbB family [Pseudoalteromonas luteoviolacea B = ATCC 29581]	GCA_000333235.1_ASM33323v1_protein	GCA_000333235.1	ASM33323v1	CCQ11600.1	GCA_000333235.1_ASM33323v1_protein|CCQ11600.1 Possible biopolymer transport protein, ExbB family	Pseudoalteromonas luteoviolacea B = ATCC 29581	Pseudoalteromonas	luteoviolacea	B = ATCC 29581
GCA_000172635.2_ASM17263v2_protein|AFS38914.1 biopolymer transport protein, ExbB family [Alteromonas macleodii ATCC 27126]	GCA_000172635.2_ASM17263v2_protein	GCA_000172635.2	ASM17263v2	AFS38914.1	GCA_000172635.2_ASM17263v2_protein|AFS38914.1 biopolymer transport protein, ExbB family	Alteromonas macleodii ATCC 27126	Alteromonas	macleodii	ATCC 27126
GCA_000008125.1_ASM812v1_protein|AAS80673.1 tolQ protein [Thermus thermophilus HB27]	GCA_000008125.1_ASM812v1_protein	GCA_000008125.1	ASM812v1	AAS80673.1	GCA_000008125.1_ASM812v1_protein|AAS80673.1 tolQ protein	Thermus thermophilus HB27	Thermus	thermophilus	HB27
GCA_000315075.1_ASM31507v1_protein|GAC40345.1 transporter, MotA/TolQ/ExbB proton channel family [Paraglaciecola psychrophila 170]	GCA_000315075.1_ASM31507v1_protein	GCA_000315075.1	ASM31507v1	GAC40345.1	GCA_000315075.1_ASM31507v1_protein|GAC40345.1 transporter, MotA/TolQ/ExbB proton channel family	Paraglaciecola psychrophila 170	Paraglaciecola	psychrophila	170
GCA_000219125.2_ASM21912v1_protein|EGO62866.1 MotA/TolQ/ExbB proton channel [Acetonema longum DSM 6540]	GCA_000219125.2_ASM21912v1_protein	GCA_000219125.2	ASM21912v1	EGO62866.1	GCA_000219125.2_ASM21912v1_protein|EGO62866.1 MotA/TolQ/ExbB proton channel	Acetonema longum DSM 6540	Acetonema	longum	DSM 6540
GCA_000172635.2_ASM17263v2_protein|AFS38984.1 hypothetical protein MASE_17470 [Alteromonas macleodii ATCC 27126]	GCA_000172635.2_ASM17263v2_protein	GCA_000172635.2	ASM17263v2	AFS38984.1	GCA_000172635.2_ASM17263v2_protein|AFS38984.1 hypothetical protein MASE_17470	Alteromonas macleodii ATCC 27126	Alteromonas	macleodii	ATCC 27126
GCA_000333235.1_ASM33323v1_protein|CCQ11587.1 hypothetical protein PALB_24880 [Pseudoalteromonas luteoviolacea B = ATCC 29581]	GCA_000333235.1_ASM33323v1_protein	GCA_000333235.1	ASM33323v1	CCQ11587.1	GCA_000333235.1_ASM33323v1_protein|CCQ11587.1 hypothetical protein PALB_24880	Pseudoalteromonas luteoviolacea B = ATCC 29581	Pseudoalteromonas	luteoviolacea	B = ATCC 29581
GCA_025402875.1_ASM2540287v1_protein|UXK10160.1 MotA/TolQ/ExbB proton channel family protein [Shewanella putrefaciens]	GCA_025402875.1_ASM2540287v1_protein	GCA_025402875.1	ASM2540287v1	UXK10160.1	GCA_025402875.1_ASM2540287v1_protein|UXK10160.1 MotA/TolQ/ExbB proton channel family protein	Shewanella putrefaciens	Shewanella	putrefaciens	
GCA_000025185.1_ASM2518v1_protein|ADB18690.1 hypothetical protein Psta_4037 [Pirellula staleyi DSM 6068]	GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1	ASM2518v1	ADB18690.1	GCA_000025185.1_ASM2518v1_protein|ADB18690.1 hypothetical protein Psta_4037	Pirellula staleyi DSM 6068	Pirellula	staleyi	DSM 6068
GCA_000025185.1_ASM2518v1_protein|ADB15801.1 hypothetical protein Psta_1118 [Pirellula staleyi DSM 6068]	GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1	ASM2518v1	ADB15801.1	GCA_000025185.1_ASM2518v1_protein|ADB15801.1 hypothetical protein Psta_1118	Pirellula staleyi DSM 6068	Pirellula	staleyi	DSM 6068
GCA_000013705.1_ASM1370v1_protein|ABE48388.1 outer membrane transport energization protein ExbB [Methylobacillus flagellatus KT]	GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1	ASM1370v1	ABE48388.1	GCA_000013705.1_ASM1370v1_protein|ABE48388.1 outer membrane transport energization protein ExbB	Methylobacillus flagellatus KT	Methylobacillus	flagellatus	KT
GCA_000023705.1_ASM2370v1_protein|ACT47185.1 MotA/TolQ/ExbB proton channel [Methylotenera mobilis JLW8]	GCA_000023705.1_ASM2370v1_protein	GCA_000023705.1	ASM2370v1	ACT47185.1	GCA_000023705.1_ASM2370v1_protein|ACT47185.1 MotA/TolQ/ExbB proton channel	Methylotenera mobilis JLW8	Methylotenera	mobilis	JLW8
GCA_001729505.1_ASM172950v1_protein|AOP58524.1 biopolymer transporter ExbD [Pseudomonas aeruginosa]	GCA_001729505.1_ASM172950v1_protein	GCA_001729505.1	ASM172950v1	AOP58524.1	GCA_001729505.1_ASM172950v1_protein|AOP58524.1 biopolymer transporter ExbD	Pseudomonas aeruginosa	Pseudomonas	aeruginosa	
GCA_000012885.1_ASM1288v1_protein|ABA88899.1 biopolymer transport membrane proton channel, TolQ-related protein [Syntrophotalea carbinolica DSM 2380]	GCA_000012885.1_ASM1288v1_protein	GCA_000012885.1	ASM1288v1	ABA88899.1	GCA_000012885.1_ASM1288v1_protein|ABA88899.1 biopolymer transport membrane proton channel, TolQ-related protein	Syntrophotalea carbinolica DSM 2380	Syntrophotalea	carbinolica	DSM 2380
GCA_000196115.1_ASM19611v1_protein|CAD77532.1 hypothetical protein-transmembrane prediction [Rhodopirellula baltica SH 1]	GCA_000196115.1_ASM19611v1_protein	GCA_000196115.1	ASM19611v1	CAD77532.1	GCA_000196115.1_ASM19611v1_protein|CAD77532.1 hypothetical protein-transmembrane prediction	Rhodopirellula baltica SH 1	Rhodopirellula	baltica	SH 1
GCA_000284375.1_ASM28437v1_protein|BAL09319.1 hypothetical protein BJ6T_40450 [Bradyrhizobium japonicum USDA 6]	GCA_000284375.1_ASM28437v1_protein	GCA_000284375.1	ASM28437v1	BAL09319.1	GCA_000284375.1_ASM28437v1_protein|BAL09319.1 hypothetical protein BJ6T_40450	Bradyrhizobium japonicum USDA 6	Bradyrhizobium	japonicum	USDA 6
GCA_000219125.2_ASM21912v1_protein|EGO62865.1 hypothetical protein ALO_15957 [Acetonema longum DSM 6540]	GCA_000219125.2_ASM21912v1_protein	GCA_000219125.2	ASM21912v1	EGO62865.1	GCA_000219125.2_ASM21912v1_protein|EGO62865.1 hypothetical protein ALO_15957	Acetonema longum DSM 6540	Acetonema	longum	DSM 6540
GCA_000025185.1_ASM2518v1_protein|ADB15644.1 hypothetical protein Psta_0959 [Pirellula staleyi DSM 6068]	GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1	ASM2518v1	ADB15644.1	GCA_000025185.1_ASM2518v1_protein|ADB15644.1 hypothetical protein Psta_0959	Pirellula staleyi DSM 6068	Pirellula	staleyi	DSM 6068
GCA_000024465.1_ASM2446v1_protein|ADE40525.1 hypothetical protein SAR116_2282 [Candidatus Puniceispirillum marinum IMCC1322]	GCA_000024465.1_ASM2446v1_protein	GCA_000024465.1	ASM2446v1	ADE40525.1	GCA_000024465.1_ASM2446v1_protein|ADE40525.1 hypothetical protein SAR116_2282	Candidatus Puniceispirillum marinum IMCC1322	Candidatus	Puniceispirillum	marinum IMCC1322
GCA_900142135.1_IMG-taxon_2585428156_annotated_assembly_protein|SHJ99666.1 hypothetical protein SAMN02745216_02669 [Desulfatibacillum alkenivorans DSM 16219]	GCA_900142135.1_IMG-taxon_2585428156_annotated_assembly_protein	GCA_900142135.1	IMG-taxon	SHJ99666.1	GCA_900142135.1_IMG-taxon_2585428156_annotated_assembly_protein|SHJ99666.1 hypothetical protein SAMN02745216_02669	Desulfatibacillum alkenivorans DSM 16219	Desulfatibacillum	alkenivorans	DSM 16219
GCA_000024325.1_ASM2432v1_protein|ACV68673.1 hypothetical protein Dret_1386 [Desulfohalobium retbaense DSM 5692]	GCA_000024325.1_ASM2432v1_protein	GCA_000024325.1	ASM2432v1	ACV68673.1	GCA_000024325.1_ASM2432v1_protein|ACV68673.1 hypothetical protein Dret_1386	Desulfohalobium retbaense DSM 5692	Desulfohalobium	retbaense	DSM 5692
GCA_000006965.1_ASM696v1_protein|CAC47356.1 Hypothetical transmembrane protein [Sinorhizobium meliloti 1021]	GCA_000006965.1_ASM696v1_protein	GCA_000006965.1	ASM696v1	CAC47356.1	GCA_000006965.1_ASM696v1_protein|CAC47356.1 Hypothetical transmembrane protein	Sinorhizobium meliloti 1021	Sinorhizobium	meliloti	1021
GCA_000239255.1_ASM23925v1_protein|EHM48204.1 hemY protein [Hafnia alvei ATCC 51873]	GCA_000239255.1_ASM23925v1_protein	GCA_000239255.1	ASM23925v1	EHM48204.1	GCA_000239255.1_ASM23925v1_protein|EHM48204.1 hemY protein	Hafnia alvei ATCC 51873	Hafnia	alvei	ATCC 51873
GCA_000013705.1_ASM1370v1_protein|ABE50703.1 hypothetical protein Mfla_2438 [Methylobacillus flagellatus KT]	GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1	ASM1370v1	ABE50703.1	GCA_000013705.1_ASM1370v1_protein|ABE50703.1 hypothetical protein Mfla_2438	Methylobacillus flagellatus KT	Methylobacillus	flagellatus	KT
GCA_000878365.1_ASM87836v1_protein|KIU32529.1 protoheme IX biogenesis protein [Atlantibacter hermannii]	GCA_000878365.1_ASM87836v1_protein	GCA_000878365.1	ASM87836v1	KIU32529.1	GCA_000878365.1_ASM87836v1_protein|KIU32529.1 protoheme IX biogenesis protein	Atlantibacter hermannii	Atlantibacter	hermannii	
GCA_000006945.2_ASM694v2_protein|AAL23082.1 putative methyl-accepting chemotaxis protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	GCA_000006945.2_ASM694v2_protein	GCA_000006945.2	ASM694v2	AAL23082.1	GCA_000006945.2_ASM694v2_protein|AAL23082.1 putative methyl-accepting chemotaxis protein	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella	enterica	subsp. enterica serovar Typhimurium str. LT2
GCA_001586165.1_ASM158616v1_protein|AMO79970.1 protoheme IX biogenesis protein [Obesumbacterium proteus]	GCA_001586165.1_ASM158616v1_protein	GCA_001586165.1	ASM158616v1	AMO79970.1	GCA_001586165.1_ASM158616v1_protein|AMO79970.1 protoheme IX biogenesis protein	Obesumbacterium proteus	Obesumbacterium	proteus	
GCA_000006745.1_ASM674v1_protein|AAF94457.1 methyl-accepting chemotaxis protein [Vibrio cholerae O1 biovar El Tor str. N16961]	GCA_000006745.1_ASM674v1_protein	GCA_000006745.1	ASM674v1	AAF94457.1	GCA_000006745.1_ASM674v1_protein|AAF94457.1 methyl-accepting chemotaxis protein	Vibrio cholerae O1 biovar El Tor str. N16961	Vibrio	cholerae	O1 biovar El Tor str. N16961
GCA_001476295.1_ASM147629v1_protein|KTR99923.1 protoheme IX biogenesis protein [Pantoea dispersa]	GCA_001476295.1_ASM147629v1_protein	GCA_001476295.1	ASM147629v1	KTR99923.1	GCA_001476295.1_ASM147629v1_protein|KTR99923.1 protoheme IX biogenesis protein	Pantoea dispersa	Pantoea	dispersa	
GCA_000007405.1_ASM740v1_protein|AAP16897.1 hypothetical protein S1516 [Shigella flexneri 2a str. 2457T]	GCA_000007405.1_ASM740v1_protein	GCA_000007405.1	ASM740v1	AAP16897.1	GCA_000007405.1_ASM740v1_protein|AAP16897.1 hypothetical protein S1516	Shigella flexneri 2a str. 2457T	Shigella	flexneri	2a str. 2457T
GCA_000005845.2_ASM584v2_protein|AAC74895.1 uncharacterized protein YebO [Escherichia coli str. K-12 substr. MG1655]	GCA_000005845.2_ASM584v2_protein	GCA_000005845.2	ASM584v2	AAC74895.1	GCA_000005845.2_ASM584v2_protein|AAC74895.1 uncharacterized protein YebO	Escherichia coli str. K-12 substr. MG1655	Escherichia	coli	str. K-12 substr. MG1655
GCA_000166295.1_ASM16629v1_protein|ADP97132.1 membrane protein containing DUF1049 [Marinobacter adhaerens HP15]	GCA_000166295.1_ASM16629v1_protein	GCA_000166295.1	ASM16629v1	ADP97132.1	GCA_000166295.1_ASM16629v1_protein|ADP97132.1 membrane protein containing DUF1049	Marinobacter adhaerens HP15	Marinobacter	adhaerens	HP15
GCA_000235625.2_ASM23562v1_protein|EHJ05076.1 hypothetical protein KYE_07874 [Marinobacter manganoxydans MnI7-9]	GCA_000235625.2_ASM23562v1_protein	GCA_000235625.2	ASM23562v1	EHJ05076.1	GCA_000235625.2_ASM23562v1_protein|EHJ05076.1 hypothetical protein KYE_07874	Marinobacter manganoxydans MnI7-9	Marinobacter	manganoxydans	MnI7-9
GCA_000284375.1_ASM28437v1_protein|BAL13576.1 hypothetical protein BJ6T_83330 [Bradyrhizobium japonicum USDA 6]	GCA_000284375.1_ASM28437v1_protein	GCA_000284375.1	ASM28437v1	BAL13576.1	GCA_000284375.1_ASM28437v1_protein|BAL13576.1 hypothetical protein BJ6T_83330	Bradyrhizobium japonicum USDA 6	Bradyrhizobium	japonicum	USDA 6
GCA_000027205.1_ASM2720v1_protein|CBJ44852.1 Porphyrin biosynthetic protein [Erwinia amylovora ATCC 49946]	GCA_000027205.1_ASM2720v1_protein	GCA_000027205.1	ASM2720v1	CBJ44852.1	GCA_000027205.1_ASM2720v1_protein|CBJ44852.1 Porphyrin biosynthetic protein	Erwinia amylovora ATCC 49946	Erwinia	amylovora	ATCC 49946
GCA_000025185.1_ASM2518v1_protein|ADB16223.1 hypothetical protein Psta_1548 [Pirellula staleyi DSM 6068]	GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1	ASM2518v1	ADB16223.1	GCA_000025185.1_ASM2518v1_protein|ADB16223.1 hypothetical protein Psta_1548	Pirellula staleyi DSM 6068	Pirellula	staleyi	DSM 6068
GCA_000755055.1_YEG_1_protein|KGA70479.1 yebO-like family protein [Yersinia enterocolitica]	GCA_000755055.1_YEG_1_protein	GCA_000755055.1	YEG	KGA70479.1	GCA_000755055.1_YEG_1_protein|KGA70479.1 yebO-like family protein	Yersinia enterocolitica	Yersinia	enterocolitica	
GCA_000319285.1_ASM31928v1_protein|CCJ71957.1 Uncharacterized protein yqiC [Cronobacter condimenti 1330]	GCA_000319285.1_ASM31928v1_protein	GCA_000319285.1	ASM31928v1	CCJ71957.1	GCA_000319285.1_ASM31928v1_protein|CCJ71957.1 Uncharacterized protein yqiC	Cronobacter condimenti 1330	Cronobacter	condimenti	1330
GCA_000005845.2_ASM584v2_protein|AAC76805.1 protein HemY [Escherichia coli str. K-12 substr. MG1655]	GCA_000005845.2_ASM584v2_protein	GCA_000005845.2	ASM584v2	AAC76805.1	GCA_000005845.2_ASM584v2_protein|AAC76805.1 protein HemY	Escherichia coli str. K-12 substr. MG1655	Escherichia	coli	str. K-12 substr. MG1655
GCA_000007405.1_ASM740v1_protein|AAP18887.1 HemY protein [Shigella flexneri 2a str. 2457T]	GCA_000007405.1_ASM740v1_protein	GCA_000007405.1	ASM740v1	AAP18887.1	GCA_000007405.1_ASM740v1_protein|AAP18887.1 HemY protein	Shigella flexneri 2a str. 2457T	Shigella	flexneri	2a str. 2457T
GCA_000007785.1_ASM778v1_protein|AAO82321.1 ATP synthase F0, B subunit [Enterococcus faecalis V583]	GCA_000007785.1_ASM778v1_protein	GCA_000007785.1	ASM778v1	AAO82321.1	GCA_000007785.1_ASM778v1_protein|AAO82321.1 ATP synthase F0, B subunit	Enterococcus faecalis V583	Enterococcus	faecalis	V583
GCA_014653055.1_ASM1465305v1_protein|GHD91783.1 UPF0283 membrane protein YcjF [Pseudocitrobacter faecalis]	GCA_014653055.1_ASM1465305v1_protein	GCA_014653055.1	ASM1465305v1	GHD91783.1	GCA_014653055.1_ASM1465305v1_protein|GHD91783.1 UPF0283 membrane protein YcjF	Pseudocitrobacter faecalis	Pseudocitrobacter	faecalis	
GCA_000024465.1_ASM2446v1_protein|ADE39184.1 sugar (and other) transporter [Candidatus Puniceispirillum marinum IMCC1322]	GCA_000024465.1_ASM2446v1_protein	GCA_000024465.1	ASM2446v1	ADE39184.1	GCA_000024465.1_ASM2446v1_protein|ADE39184.1 sugar (and other) transporter	Candidatus Puniceispirillum marinum IMCC1322	Candidatus	Puniceispirillum	marinum IMCC1322
GCA_000021725.1_ASM2172v1_protein|ACM92886.1 histidine kinase [Nautilia profundicola AmH]	GCA_000021725.1_ASM2172v1_protein	GCA_000021725.1	ASM2172v1	ACM92886.1	GCA_000021725.1_ASM2172v1_protein|ACM92886.1 histidine kinase	Nautilia profundicola AmH	Nautilia	profundicola	AmH
GCA_002918555.1_ASM291855v1_protein|POT59305.1 hypothetical protein C3432_00815 [Citrobacter amalonaticus]	GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1	ASM291855v1	POT59305.1	GCA_002918555.1_ASM291855v1_protein|POT59305.1 hypothetical protein C3432_00815	Citrobacter amalonaticus	Citrobacter	amalonaticus	
GCA_000319285.1_ASM31928v1_protein|CCJ72349.1 Homolog of E. coli HemY protein [Cronobacter condimenti 1330]	GCA_000319285.1_ASM31928v1_protein	GCA_000319285.1	ASM31928v1	CCJ72349.1	GCA_000319285.1_ASM31928v1_protein|CCJ72349.1 Homolog of E. coli HemY protein	Cronobacter condimenti 1330	Cronobacter	condimenti	1330
GCA_000235625.2_ASM23562v1_protein|EHJ02753.1 MotA/TolQ/ExbB proton channel family protein [Marinobacter manganoxydans MnI7-9]	GCA_000235625.2_ASM23562v1_protein	GCA_000235625.2	ASM23562v1	EHJ02753.1	GCA_000235625.2_ASM23562v1_protein|EHJ02753.1 MotA/TolQ/ExbB proton channel family protein	Marinobacter manganoxydans MnI7-9	Marinobacter	manganoxydans	MnI7-9
GCA_001023305.1_ASM102330v1_protein|KLR16320.1 hypothetical protein ABR26_18775 [Enterobacter bugandensis]	GCA_001023305.1_ASM102330v1_protein	GCA_001023305.1	ASM102330v1	KLR16320.1	GCA_001023305.1_ASM102330v1_protein|KLR16320.1 hypothetical protein ABR26_18775	Enterobacter bugandensis	Enterobacter	bugandensis	
GCA_000006945.2_ASM694v2_protein|AAL20754.1 putative periplasmic or exported protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	GCA_000006945.2_ASM694v2_protein	GCA_000006945.2	ASM694v2	AAL20754.1	GCA_000006945.2_ASM694v2_protein|AAL20754.1 putative periplasmic or exported protein	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella	enterica	subsp. enterica serovar Typhimurium str. LT2
GCA_001022965.1_ASM102296v1_protein|KLP58712.1 protoheme IX biogenesis protein [Enterobacter genomosp. O]	GCA_001022965.1_ASM102296v1_protein	GCA_001022965.1	ASM102296v1	KLP58712.1	GCA_001022965.1_ASM102296v1_protein|KLP58712.1 protoheme IX biogenesis protein	Enterobacter genomosp. O	Enterobacter	genomosp.	O
GCA_002278205.1_ASM227820v1_protein|PAN74171.1 hypothetical protein CIW69_14465 [Enterobacter cloacae]	GCA_002278205.1_ASM227820v1_protein	GCA_002278205.1	ASM227820v1	PAN74171.1	GCA_002278205.1_ASM227820v1_protein|PAN74171.1 hypothetical protein CIW69_14465	Enterobacter cloacae	Enterobacter	cloacae	
GCA_002192835.1_ASM219283v1_protein|OWF75605.1 hypothetical protein B4903_19570 [Yersinia frederiksenii]	GCA_002192835.1_ASM219283v1_protein	GCA_002192835.1	ASM219283v1	OWF75605.1	GCA_002192835.1_ASM219283v1_protein|OWF75605.1 hypothetical protein B4903_19570	Yersinia frederiksenii	Yersinia	frederiksenii	
GCA_000020365.1_ASM2036v1_protein|ACN17369.1 conserved hypothetical protein [Desulforapulum autotrophicum HRM2]	GCA_000020365.1_ASM2036v1_protein	GCA_000020365.1	ASM2036v1	ACN17369.1	GCA_000020365.1_ASM2036v1_protein|ACN17369.1 conserved hypothetical protein	Desulforapulum autotrophicum HRM2	Desulforapulum	autotrophicum	HRM2
GCA_000092025.1_ASM9202v1_protein|AAK89659.2 conserved hypothetical protein [Agrobacterium fabrum str. C58]	GCA_000092025.1_ASM9202v1_protein	GCA_000092025.1	ASM9202v1	AAK89659.2	GCA_000092025.1_ASM9202v1_protein|AAK89659.2 conserved hypothetical protein	Agrobacterium fabrum str. C58	Agrobacterium	fabrum	str. C58
GCA_004344785.1_ASM434478v1_protein|TCZ30521.1 carbohydrate ABC transporter permease [Pantoea agglomerans]	GCA_004344785.1_ASM434478v1_protein	GCA_004344785.1	ASM434478v1	TCZ30521.1	GCA_004344785.1_ASM434478v1_protein|TCZ30521.1 carbohydrate ABC transporter permease	Pantoea agglomerans	Pantoea	agglomerans	
GCA_000319285.1_ASM31928v1_protein|CCJ71779.1 FIG00554161: hypothetical protein [Cronobacter condimenti 1330]	GCA_000319285.1_ASM31928v1_protein	GCA_000319285.1	ASM31928v1	CCJ71779.1	GCA_000319285.1_ASM31928v1_protein|CCJ71779.1 FIG00554161: hypothetical protein	Cronobacter condimenti 1330	Cronobacter	condimenti	1330
GCA_000166295.1_ASM16629v1_protein|ADP99806.1 MotA/TolQ/ExbB proton channel family protein [Marinobacter adhaerens HP15]	GCA_000166295.1_ASM16629v1_protein	GCA_000166295.1	ASM16629v1	ADP99806.1	GCA_000166295.1_ASM16629v1_protein|ADP99806.1 MotA/TolQ/ExbB proton channel family protein	Marinobacter adhaerens HP15	Marinobacter	adhaerens	HP15
GCA_000092025.1_ASM9202v1_protein|AAK88538.1 protease heat shock protein [Agrobacterium fabrum str. C58]	GCA_000092025.1_ASM9202v1_protein	GCA_000092025.1	ASM9202v1	AAK88538.1	GCA_000092025.1_ASM9202v1_protein|AAK88538.1 protease heat shock protein	Agrobacterium fabrum str. C58	Agrobacterium	fabrum	str. C58
GCA_002278205.1_ASM227820v1_protein|PAN70486.1 protoheme IX biogenesis protein HemY [Enterobacter cloacae]	GCA_002278205.1_ASM227820v1_protein	GCA_002278205.1	ASM227820v1	PAN70486.1	GCA_002278205.1_ASM227820v1_protein|PAN70486.1 protoheme IX biogenesis protein HemY	Enterobacter cloacae	Enterobacter	cloacae	
GCA_000315075.1_ASM31507v1_protein|GAC39757.1 hypothetical protein GPSY_4146 [Paraglaciecola psychrophila 170]	GCA_000315075.1_ASM31507v1_protein	GCA_000315075.1	ASM31507v1	GAC39757.1	GCA_000315075.1_ASM31507v1_protein|GAC39757.1 hypothetical protein GPSY_4146	Paraglaciecola psychrophila 170	Paraglaciecola	psychrophila	170
GCA_001022965.1_ASM102296v1_protein|KLP57378.1 hypothetical protein ABR39_03875 [Enterobacter genomosp. O]	GCA_001022965.1_ASM102296v1_protein	GCA_001022965.1	ASM102296v1	KLP57378.1	GCA_001022965.1_ASM102296v1_protein|KLP57378.1 hypothetical protein ABR39_03875	Enterobacter genomosp. O	Enterobacter	genomosp.	O
GCA_000006945.2_ASM694v2_protein|AAL22780.1 protein for a late step of protoheme IX synthesis [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	GCA_000006945.2_ASM694v2_protein	GCA_000006945.2	ASM694v2	AAL22780.1	GCA_000006945.2_ASM694v2_protein|AAL22780.1 protein for a late step of protoheme IX synthesis	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella	enterica	subsp. enterica serovar Typhimurium str. LT2
GCA_000013045.1_ASM1304v1_protein|ABC45316.1 hypothetical protein SRU_2252 [Salinibacter ruber DSM 13855]	GCA_000013045.1_ASM1304v1_protein	GCA_000013045.1	ASM1304v1	ABC45316.1	GCA_000013045.1_ASM1304v1_protein|ABC45316.1 hypothetical protein SRU_2252	Salinibacter ruber DSM 13855	Salinibacter	ruber	DSM 13855
GCA_000773965.1_ASM77396v1_protein|KGT89029.1 protoheme IX biogenesis protein [Enterobacter cancerogenus]	GCA_000773965.1_ASM77396v1_protein	GCA_000773965.1	ASM77396v1	KGT89029.1	GCA_000773965.1_ASM77396v1_protein|KGT89029.1 protoheme IX biogenesis protein	Enterobacter cancerogenus	Enterobacter	cancerogenus	
GCA_000239255.1_ASM23925v1_protein|EHM44110.1 hypothetical protein HMPREF0454_01629 [Hafnia alvei ATCC 51873]	GCA_000239255.1_ASM23925v1_protein	GCA_000239255.1	ASM23925v1	EHM44110.1	GCA_000239255.1_ASM23925v1_protein|EHM44110.1 hypothetical protein HMPREF0454_01629	Hafnia alvei ATCC 51873	Hafnia	alvei	ATCC 51873
GCA_001276415.1_ASM127641v1_protein|KOQ95435.1 protoheme IX biogenesis protein [Pluralibacter gergoviae]	GCA_001276415.1_ASM127641v1_protein	GCA_001276415.1	ASM127641v1	KOQ95435.1	GCA_001276415.1_ASM127641v1_protein|KOQ95435.1 protoheme IX biogenesis protein	Pluralibacter gergoviae	Pluralibacter	gergoviae	
GCA_000196115.1_ASM19611v1_protein|CAD77106.1 probable RNA-polymerase sigma-E factor [Rhodopirellula baltica SH 1]	GCA_000196115.1_ASM19611v1_protein	GCA_000196115.1	ASM19611v1	CAD77106.1	GCA_000196115.1_ASM19611v1_protein|CAD77106.1 probable RNA-polymerase sigma-E factor	Rhodopirellula baltica SH 1	Rhodopirellula	baltica	SH 1
GCA_014653055.1_ASM1465305v1_protein|GHD90601.1 hypothetical protein GCM10011445_06570 [Pseudocitrobacter faecalis]	GCA_014653055.1_ASM1465305v1_protein	GCA_014653055.1	ASM1465305v1	GHD90601.1	GCA_014653055.1_ASM1465305v1_protein|GHD90601.1 hypothetical protein GCM10011445_06570	Pseudocitrobacter faecalis	Pseudocitrobacter	faecalis	
GCA_000168855.1_ASM16885v1_protein|EED70437.1 urea ABC transporter, permease protein UrtC [Comamonas testosteroni KF-1]	GCA_000168855.1_ASM16885v1_protein	GCA_000168855.1	ASM16885v1	EED70437.1	GCA_000168855.1_ASM16885v1_protein|EED70437.1 urea ABC transporter, permease protein UrtC	Comamonas testosteroni KF-1	Comamonas	testosteroni	KF-1
GCA_001023305.1_ASM102330v1_protein|KLR26878.1 protoheme IX biogenesis protein [Enterobacter bugandensis]	GCA_001023305.1_ASM102330v1_protein	GCA_001023305.1	ASM102330v1	KLR26878.1	GCA_001023305.1_ASM102330v1_protein|KLR26878.1 protoheme IX biogenesis protein	Enterobacter bugandensis	Enterobacter	bugandensis	
GCA_001729505.1_ASM172950v1_protein|AOP57773.1 two-component sensor histidine kinase [Pseudomonas aeruginosa]	GCA_001729505.1_ASM172950v1_protein	GCA_001729505.1	ASM172950v1	AOP57773.1	GCA_001729505.1_ASM172950v1_protein|AOP57773.1 two-component sensor histidine kinase	Pseudomonas aeruginosa	Pseudomonas	aeruginosa	
GCA_000196115.1_ASM19611v1_protein|CAD71475.1 conserved hypothetical protein [Rhodopirellula baltica SH 1]	GCA_000196115.1_ASM19611v1_protein	GCA_000196115.1	ASM19611v1	CAD71475.1	GCA_000196115.1_ASM19611v1_protein|CAD71475.1 conserved hypothetical protein	Rhodopirellula baltica SH 1	Rhodopirellula	baltica	SH 1
