fullnames	fns	genome_id	assembly_id	gids	desc	taxon	genus	species	strain
AAS69506.1 biopolymer transport exbB-like protein [Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130]|GCA_000007685.1_ASM768v1_protein	GCA_000007685.1_ASM768v1_protein	GCA_000007685.1	ASM768v1	AAS69506.1	AAS69506.1 biopolymer transport exbB-like protein	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	Leptospira	interrogans	serovar Copenhageni str. Fiocruz L1-130
ACL73103.1 MotA/TolQ/ExbB proton channel [Thioalkalivibrio sulfidiphilus HL-EbGr7]|GCA_000021985.1_ASM2198v1_protein	GCA_000021985.1_ASM2198v1_protein	GCA_000021985.1	ASM2198v1	ACL73103.1	ACL73103.1 MotA/TolQ/ExbB proton channel	Thioalkalivibrio sulfidiphilus HL-EbGr7	Thioalkalivibrio	sulfidiphilus	HL-EbGr7
AVQ87684.1 flagellar motor stator protein MotA [Plesiomonas shigelloides]|GCA_003019855.1_ASM301985v1_protein	GCA_003019855.1_ASM301985v1_protein	GCA_003019855.1	ASM301985v1	AVQ87684.1	AVQ87684.1 flagellar motor stator protein MotA	Plesiomonas shigelloides	Plesiomonas	shigelloides	
EGW23523.1 MotA/TolQ/ExbB proton channel [Methylobacter tundripaludum SV96]|GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3	ASM19075v3	EGW23523.1	EGW23523.1 MotA/TolQ/ExbB proton channel	Methylobacter tundripaludum SV96	Methylobacter	tundripaludum	SV96
GAA03428.1 motA/TolQ/ExbB proton channel family protein [Photobacterium leiognathi subsp. mandapamensis svers.1.1.]|GCA_000211495.1_ASM21149v1_protein	GCA_000211495.1_ASM21149v1_protein	GCA_000211495.1	ASM21149v1	GAA03428.1	GAA03428.1 motA/TolQ/ExbB proton channel family protein	Photobacterium leiognathi subsp. mandapamensis svers.1.1.	Photobacterium	leiognathi	subsp. mandapamensis svers.1.1.
CAJ49708.1 biopolymer transport protein [Bordetella avium 197N]|GCA_000070465.1_ASM7046v1_protein	GCA_000070465.1_ASM7046v1_protein	GCA_000070465.1	ASM7046v1	CAJ49708.1	CAJ49708.1 biopolymer transport protein	Bordetella avium 197N	Bordetella	avium	197N
BAH75114.1 chemotaxis protein MotA [Solidesulfovibrio magneticus RS-1]|GCA_000010665.1_ASM1066v1_protein	GCA_000010665.1_ASM1066v1_protein	GCA_000010665.1	ASM1066v1	BAH75114.1	BAH75114.1 chemotaxis protein MotA	Solidesulfovibrio magneticus RS-1	Solidesulfovibrio	magneticus	RS-1
AAY35209.1 outer membrane transport energization protein ExbB [Pseudomonas syringae pv. syringae B728a]|GCA_000012245.1_ASM1224v1_protein	GCA_000012245.1_ASM1224v1_protein	GCA_000012245.1	ASM1224v1	AAY35209.1	AAY35209.1 outer membrane transport energization protein ExbB	Pseudomonas syringae pv. syringae B728a	Pseudomonas	syringae	pv. syringae B728a
ADB17458.1 MotA/TolQ/ExbB proton channel [Pirellula staleyi DSM 6068]|GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1	ASM2518v1	ADB17458.1	ADB17458.1 MotA/TolQ/ExbB proton channel	Pirellula staleyi DSM 6068	Pirellula	staleyi	DSM 6068
GAC24086.1 biopolymer transport protein ExbB [Paraglaciecola mesophila KMM 241]|GCA_000315015.1_ASM31501v1_protein	GCA_000315015.1_ASM31501v1_protein	GCA_000315015.1	ASM31501v1	GAC24086.1	GAC24086.1 biopolymer transport protein ExbB	Paraglaciecola mesophila KMM 241	Paraglaciecola	mesophila	KMM 241
TCV98947.1 outer membrane transport energization protein ExbB [Biostraticola tofi]|GCA_004343195.1_ASM434319v1_protein	GCA_004343195.1_ASM434319v1_protein	GCA_004343195.1	ASM434319v1	TCV98947.1	TCV98947.1 outer membrane transport energization protein ExbB	Biostraticola tofi	Biostraticola	tofi	
ADP99515.1 MotA/TolQ/ExbB proton channel [Marinobacter adhaerens HP15]|GCA_000166295.1_ASM16629v1_protein	GCA_000166295.1_ASM16629v1_protein	GCA_000166295.1	ASM16629v1	ADP99515.1	ADP99515.1 MotA/TolQ/ExbB proton channel	Marinobacter adhaerens HP15	Marinobacter	adhaerens	HP15
ACV75203.1 chemotaxis MotA protein [Zymomonas mobilis subsp. mobilis NCIMB 11163]|GCA_000024245.1_ASM2424v1_protein	GCA_000024245.1_ASM2424v1_protein	GCA_000024245.1	ASM2424v1	ACV75203.1	ACV75203.1 chemotaxis MotA protein	Zymomonas mobilis subsp. mobilis NCIMB 11163	Zymomonas	mobilis	subsp. mobilis NCIMB 11163
ABI59754.1 MotA/TolQ/ExbB proton channel [Nitrosomonas eutropha C91]|GCA_000014765.1_ASM1476v1_protein	GCA_000014765.1_ASM1476v1_protein	GCA_000014765.1	ASM1476v1	ABI59754.1	ABI59754.1 MotA/TolQ/ExbB proton channel	Nitrosomonas eutropha C91	Nitrosomonas	eutropha	C91
ABM17156.1 MotA/TolQ/ExbB proton channel [Marinobacter nauticus VT8]|GCA_000015365.1_ASM1536v1_protein	GCA_000015365.1_ASM1536v1_protein	GCA_000015365.1	ASM1536v1	ABM17156.1	ABM17156.1 MotA/TolQ/ExbB proton channel	Marinobacter nauticus VT8	Marinobacter	nauticus	VT8
CCG93539.1 Polar sodium-driven flagellar motor component (Chemotaxis motA protein) [Marinobacter nauticus ATCC 49840]|GCA_000284615.1_ASM28461v1_protein	GCA_000284615.1_ASM28461v1_protein	GCA_000284615.1	ASM28461v1	CCG93539.1	CCG93539.1 Polar sodium-driven flagellar motor component (Chemotaxis motA protein)	Marinobacter nauticus ATCC 49840	Marinobacter	nauticus	ATCC 49840
CAG18503.1 Hypothetical MotA flagellar motor transmembrane protein [Photobacterium profundum SS9]|GCA_000196255.1_ASM19625v1_protein	GCA_000196255.1_ASM19625v1_protein	GCA_000196255.1	ASM19625v1	CAG18503.1	CAG18503.1 Hypothetical MotA flagellar motor transmembrane protein	Photobacterium profundum SS9	Photobacterium	profundum	SS9
ACT11209.1 MotA/TolQ/ExbB proton channel [Pectobacterium carotovorum subsp. carotovorum PC1]|GCA_000023605.1_ASM2360v1_protein	GCA_000023605.1_ASM2360v1_protein	GCA_000023605.1	ASM2360v1	ACT11209.1	ACT11209.1 MotA/TolQ/ExbB proton channel	Pectobacterium carotovorum subsp. carotovorum PC1	Pectobacterium	carotovorum	subsp. carotovorum PC1
CAD74695.1 probable TolQ-type transport protein [Rhodopirellula baltica SH 1]|GCA_000196115.1_ASM19611v1_protein	GCA_000196115.1_ASM19611v1_protein	GCA_000196115.1	ASM19611v1	CAD74695.1	CAD74695.1 probable TolQ-type transport protein	Rhodopirellula baltica SH 1	Rhodopirellula	baltica	SH 1
AAS97570.1 tolQ protein [Desulfovibrio vulgaris str. Hildenborough]|GCA_000195755.1_ASM19575v1_protein	GCA_000195755.1_ASM19575v1_protein	GCA_000195755.1	ASM19575v1	AAS97570.1	AAS97570.1 tolQ protein	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio	vulgaris	str. Hildenborough
ABC35881.1 chemotaxis MotA protein [Burkholderia thailandensis E264]|GCA_000012365.1_ASM1236v1_protein	GCA_000012365.1_ASM1236v1_protein	GCA_000012365.1	ASM1236v1	ABC35881.1	ABC35881.1 chemotaxis MotA protein	Burkholderia thailandensis E264	Burkholderia	thailandensis	E264
AEP31741.1 adventurous gliding motility protein R [Glaciecola nitratireducens FR1064]|GCA_000226565.1_ASM22656v1_protein	GCA_000226565.1_ASM22656v1_protein	GCA_000226565.1	ASM22656v1	AEP31741.1	AEP31741.1 adventurous gliding motility protein R	Glaciecola nitratireducens FR1064	Glaciecola	nitratireducens	FR1064
ABE49145.1 outer membrane transport energization protein ExbB [Methylobacillus flagellatus KT]|GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1	ASM1370v1	ABE49145.1	ABE49145.1 outer membrane transport energization protein ExbB	Methylobacillus flagellatus KT	Methylobacillus	flagellatus	KT
ABE49289.1 outer membrane transport energization protein ExbB [Methylobacillus flagellatus KT]|GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1	ASM1370v1	ABE49289.1	ABE49289.1 outer membrane transport energization protein ExbB	Methylobacillus flagellatus KT	Methylobacillus	flagellatus	KT
ABZ99622.1 Putative MotA/TolQ/ExbB proton channel protein [Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)']|GCA_000017685.1_ASM1768v1_protein	GCA_000017685.1_ASM1768v1_protein	GCA_000017685.1	ASM1768v1	ABZ99622.1	ABZ99622.1 Putative MotA/TolQ/ExbB proton channel protein	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	Leptospira	biflexa	serovar Patoc strain 'Patoc 1 (Paris)'
ABA56675.1 Cell division and transport-associated protein TolQ [Nitrosococcus oceani ATCC 19707]|GCA_000012805.1_ASM1280v1_protein	GCA_000012805.1_ASM1280v1_protein	GCA_000012805.1	ASM1280v1	ABA56675.1	ABA56675.1 Cell division and transport-associated protein TolQ	Nitrosococcus oceani ATCC 19707	Nitrosococcus	oceani	ATCC 19707
EAS78267.1 flagellar motor protein [Vibrio alginolyticus 12G01]|GCA_000153505.1_ASM15350v1_protein	GCA_000153505.1_ASM15350v1_protein	GCA_000153505.1	ASM15350v1	EAS78267.1	EAS78267.1 flagellar motor protein	Vibrio alginolyticus 12G01	Vibrio	alginolyticus	12G01
ACV75590.1 MotA/TolQ/ExbB proton channel [Zymomonas mobilis subsp. mobilis NCIMB 11163]|GCA_000024245.1_ASM2424v1_protein	GCA_000024245.1_ASM2424v1_protein	GCA_000024245.1	ASM2424v1	ACV75590.1	ACV75590.1 MotA/TolQ/ExbB proton channel	Zymomonas mobilis subsp. mobilis NCIMB 11163	Zymomonas	mobilis	subsp. mobilis NCIMB 11163
AAQ60658.1 chemotaxis lafT protein [Chromobacterium violaceum ATCC 12472]|GCA_000007705.1_ASM770v1_protein	GCA_000007705.1_ASM770v1_protein	GCA_000007705.1	ASM770v1	AAQ60658.1	AAQ60658.1 chemotaxis lafT protein	Chromobacterium violaceum ATCC 12472	Chromobacterium	violaceum	ATCC 12472
RPH29430.1 flagellar motor stator protein MotA [Buttiauxella warmboldiae]|GCA_003818135.1_ASM381813v1_protein	GCA_003818135.1_ASM381813v1_protein	GCA_003818135.1	ASM381813v1	RPH29430.1	RPH29430.1 flagellar motor stator protein MotA	Buttiauxella warmboldiae	Buttiauxella	warmboldiae	
ARU98537.1 biopolymer transporter ExbB [Tatumella citrea]|GCA_002163605.1_ASM216360v1_protein	GCA_002163605.1_ASM216360v1_protein	GCA_002163605.1	ASM216360v1	ARU98537.1	ARU98537.1 biopolymer transporter ExbB	Tatumella citrea	Tatumella	citrea	
AGC50118.1 MotA/TolQ/ExbB proton channel [Lawsonia intracellularis N343]|GCA_000331715.1_ASM33171v1_protein	GCA_000331715.1_ASM33171v1_protein	GCA_000331715.1	ASM33171v1	AGC50118.1	AGC50118.1 MotA/TolQ/ExbB proton channel	Lawsonia intracellularis N343	Lawsonia	intracellularis	N343
ABZ99085.1 Biopolymer transport ExbB protein; putative membrane protein [Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)']|GCA_000017685.1_ASM1768v1_protein	GCA_000017685.1_ASM1768v1_protein	GCA_000017685.1	ASM1768v1	ABZ99085.1	ABZ99085.1 Biopolymer transport ExbB protein; putative membrane protein	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	Leptospira	biflexa	serovar Patoc strain 'Patoc 1 (Paris)'
ACT47011.1 MotA/TolQ/ExbB proton channel [Methylotenera mobilis JLW8]|GCA_000023705.1_ASM2370v1_protein	GCA_000023705.1_ASM2370v1_protein	GCA_000023705.1	ASM2370v1	ACT47011.1	ACT47011.1 MotA/TolQ/ExbB proton channel	Methylotenera mobilis JLW8	Methylotenera	mobilis	JLW8
EGW21661.1 MotA/TolQ/ExbB proton channel [Methylobacter tundripaludum SV96]|GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3	ASM19075v3	EGW21661.1	EGW21661.1 MotA/TolQ/ExbB proton channel	Methylobacter tundripaludum SV96	Methylobacter	tundripaludum	SV96
ADZ91331.1 MotA/TolQ/ExbB proton channel [Marinomonas mediterranea MMB-1]|GCA_000192865.1_ASM19286v1_protein	GCA_000192865.1_ASM19286v1_protein	GCA_000192865.1	ASM19286v1	ADZ91331.1	ADZ91331.1 MotA/TolQ/ExbB proton channel	Marinomonas mediterranea MMB-1	Marinomonas	mediterranea	MMB-1
GHD92256.1 chemotaxis protein MotA [Pseudocitrobacter faecalis]|GCA_014653055.1_ASM1465305v1_protein	GCA_014653055.1_ASM1465305v1_protein	GCA_014653055.1	ASM1465305v1	GHD92256.1	GHD92256.1 chemotaxis protein MotA	Pseudocitrobacter faecalis	Pseudocitrobacter	faecalis	
ADP97633.1 biopolymer transport protein [Marinobacter adhaerens HP15]|GCA_000166295.1_ASM16629v1_protein	GCA_000166295.1_ASM16629v1_protein	GCA_000166295.1	ASM16629v1	ADP97633.1	ADP97633.1 biopolymer transport protein	Marinobacter adhaerens HP15	Marinobacter	adhaerens	HP15
POT58639.1 flagellar motor stator protein MotA [Citrobacter amalonaticus]|GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1	ASM291855v1	POT58639.1	POT58639.1 flagellar motor stator protein MotA	Citrobacter amalonaticus	Citrobacter	amalonaticus	
ADZ89749.1 MotA/TolQ/ExbB proton channel [Marinomonas mediterranea MMB-1]|GCA_000192865.1_ASM19286v1_protein	GCA_000192865.1_ASM19286v1_protein	GCA_000192865.1	ASM19286v1	ADZ89749.1	ADZ89749.1 MotA/TolQ/ExbB proton channel	Marinomonas mediterranea MMB-1	Marinomonas	mediterranea	MMB-1
EGW23455.1 MotA/TolQ/ExbB proton channel [Methylobacter tundripaludum SV96]|GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3	ASM19075v3	EGW23455.1	EGW23455.1 MotA/TolQ/ExbB proton channel	Methylobacter tundripaludum SV96	Methylobacter	tundripaludum	SV96
EGW23398.1 MotA/TolQ/ExbB proton channel [Methylobacter tundripaludum SV96]|GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3	ASM19075v3	EGW23398.1	EGW23398.1 MotA/TolQ/ExbB proton channel	Methylobacter tundripaludum SV96	Methylobacter	tundripaludum	SV96
CBJ47630.1 biopolymer transport protein [Erwinia amylovora ATCC 49946]|GCA_000027205.1_ASM2720v1_protein	GCA_000027205.1_ASM2720v1_protein	GCA_000027205.1	ASM2720v1	CBJ47630.1	CBJ47630.1 biopolymer transport protein	Erwinia amylovora ATCC 49946	Erwinia	amylovora	ATCC 49946
ACL71953.1 MotA/TolQ/ExbB proton channel [Thioalkalivibrio sulfidiphilus HL-EbGr7]|GCA_000021985.1_ASM2198v1_protein	GCA_000021985.1_ASM2198v1_protein	GCA_000021985.1	ASM2198v1	ACL71953.1	ACL71953.1 MotA/TolQ/ExbB proton channel	Thioalkalivibrio sulfidiphilus HL-EbGr7	Thioalkalivibrio	sulfidiphilus	HL-EbGr7
ARU96960.1 tonB-system energizer ExbB [Tatumella citrea]|GCA_002163605.1_ASM216360v1_protein	GCA_002163605.1_ASM216360v1_protein	GCA_002163605.1	ASM216360v1	ARU96960.1	ARU96960.1 tonB-system energizer ExbB	Tatumella citrea	Tatumella	citrea	
BAH75058.1 chemotaxis protein MotA [Solidesulfovibrio magneticus RS-1]|GCA_000010665.1_ASM1066v1_protein	GCA_000010665.1_ASM1066v1_protein	GCA_000010665.1	ASM1066v1	BAH75058.1	BAH75058.1 chemotaxis protein MotA	Solidesulfovibrio magneticus RS-1	Solidesulfovibrio	magneticus	RS-1
ACN15951.1 MotA2 [Desulforapulum autotrophicum HRM2]|GCA_000020365.1_ASM2036v1_protein	GCA_000020365.1_ASM2036v1_protein	GCA_000020365.1	ASM2036v1	ACN15951.1	ACN15951.1 MotA2	Desulforapulum autotrophicum HRM2	Desulforapulum	autotrophicum	HRM2
ABC39136.1 MotA/TolQ/ExbB proton channel family protein [Burkholderia thailandensis E264]|GCA_000012365.1_ASM1236v1_protein	GCA_000012365.1_ASM1236v1_protein	GCA_000012365.1	ASM1236v1	ABC39136.1	ABC39136.1 MotA/TolQ/ExbB proton channel family protein	Burkholderia thailandensis E264	Burkholderia	thailandensis	E264
CAG37703.1 related to transport protein TolQ [Desulfotalea psychrophila LSv54]|GCA_000025945.1_ASM2594v1_protein	GCA_000025945.1_ASM2594v1_protein	GCA_000025945.1	ASM2594v1	CAG37703.1	CAG37703.1 related to transport protein TolQ	Desulfotalea psychrophila LSv54	Desulfotalea	psychrophila	LSv54
AGC49899.1 motA/TolQ/ExbB proton channel family protein [Lawsonia intracellularis N343]|GCA_000331715.1_ASM33171v1_protein	GCA_000331715.1_ASM33171v1_protein	GCA_000331715.1	ASM33171v1	AGC49899.1	AGC49899.1 motA/TolQ/ExbB proton channel family protein	Lawsonia intracellularis N343	Lawsonia	intracellularis	N343
AAS72242.1 ExbB [Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130]|GCA_000007685.1_ASM768v1_protein	GCA_000007685.1_ASM768v1_protein	GCA_000007685.1	ASM768v1	AAS72242.1	AAS72242.1 ExbB	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	Leptospira	interrogans	serovar Copenhageni str. Fiocruz L1-130
POT56764.1 biopolymer transporter ExbB [Citrobacter amalonaticus]|GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1	ASM291855v1	POT56764.1	POT56764.1 biopolymer transporter ExbB	Citrobacter amalonaticus	Citrobacter	amalonaticus	
KGT88661.1 biopolymer transporter ExbB [Enterobacter cancerogenus]|GCA_000773965.1_ASM77396v1_protein	GCA_000773965.1_ASM77396v1_protein	GCA_000773965.1	ASM77396v1	KGT88661.1	KGT88661.1 biopolymer transporter ExbB	Enterobacter cancerogenus	Enterobacter	cancerogenus	
GHD95986.1 biopolymer transporter ExbB [Pseudocitrobacter faecalis]|GCA_014653055.1_ASM1465305v1_protein	GCA_014653055.1_ASM1465305v1_protein	GCA_014653055.1	ASM1465305v1	GHD95986.1	GHD95986.1 biopolymer transporter ExbB	Pseudocitrobacter faecalis	Pseudocitrobacter	faecalis	
ABI75725.1 putative chemotaxis MotA protein [Hyphomonas neptunium ATCC 15444]|GCA_000013025.1_ASM1302v1_protein	GCA_000013025.1_ASM1302v1_protein	GCA_000013025.1	ASM1302v1	ABI75725.1	ABI75725.1 putative chemotaxis MotA protein	Hyphomonas neptunium ATCC 15444	Hyphomonas	neptunium	ATCC 15444
ADB18835.1 MotA/TolQ/ExbB proton channel [Pirellula staleyi DSM 6068]|GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1	ASM2518v1	ADB18835.1	ADB18835.1 MotA/TolQ/ExbB proton channel	Pirellula staleyi DSM 6068	Pirellula	staleyi	DSM 6068
ABI77898.1 protein TolQ [Hyphomonas neptunium ATCC 15444]|GCA_000013025.1_ASM1302v1_protein	GCA_000013025.1_ASM1302v1_protein	GCA_000013025.1	ASM1302v1	ABI77898.1	ABI77898.1 protein TolQ	Hyphomonas neptunium ATCC 15444	Hyphomonas	neptunium	ATCC 15444
AAU49703.1 MotA/TolQ/ExbB proton channel family protein [Burkholderia mallei ATCC 23344]|GCA_000011705.1_ASM1170v1_protein	GCA_000011705.1_ASM1170v1_protein	GCA_000011705.1	ASM1170v1	AAU49703.1	AAU49703.1 MotA/TolQ/ExbB proton channel family protein	Burkholderia mallei ATCC 23344	Burkholderia	mallei	ATCC 23344
CAH36950.1 putative transport-related membrane protein [Burkholderia pseudomallei K96243]|GCA_000011545.1_ASM1154v1_protein	GCA_000011545.1_ASM1154v1_protein	GCA_000011545.1	ASM1154v1	CAH36950.1	CAH36950.1 putative transport-related membrane protein	Burkholderia pseudomallei K96243	Burkholderia	pseudomallei	K96243
AAC76042.1 Ton complex subunit ExbB [Escherichia coli str. K-12 substr. MG1655]|GCA_000005845.2_ASM584v2_protein	GCA_000005845.2_ASM584v2_protein	GCA_000005845.2	ASM584v2	AAC76042.1	AAC76042.1 Ton complex subunit ExbB	Escherichia coli str. K-12 substr. MG1655	Escherichia	coli	str. K-12 substr. MG1655
AAP18341.1 enterochelin transporter (uptake) [Shigella flexneri 2a str. 2457T]|GCA_000007405.1_ASM740v1_protein	GCA_000007405.1_ASM740v1_protein	GCA_000007405.1	ASM740v1	AAP18341.1	AAP18341.1 enterochelin transporter (uptake)	Shigella flexneri 2a str. 2457T	Shigella	flexneri	2a str. 2457T
ADB17547.1 MotA/TolQ/ExbB proton channel [Pirellula staleyi DSM 6068]|GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1	ASM2518v1	ADB17547.1	ADB17547.1 MotA/TolQ/ExbB proton channel	Pirellula staleyi DSM 6068	Pirellula	staleyi	DSM 6068
EGW21193.1 MotA/TolQ/ExbB proton channel [Methylobacter tundripaludum SV96]|GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3	ASM19075v3	EGW21193.1	EGW21193.1 MotA/TolQ/ExbB proton channel	Methylobacter tundripaludum SV96	Methylobacter	tundripaludum	SV96
ABE49827.1 outer membrane transport energization protein ExbB [Methylobacillus flagellatus KT]|GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1	ASM1370v1	ABE49827.1	ABE49827.1 outer membrane transport energization protein ExbB	Methylobacillus flagellatus KT	Methylobacillus	flagellatus	KT
ORN00568.1 tonB-system energizer ExbB [Pantoea septica]|GCA_002095575.1_ASM209557v1_protein	GCA_002095575.1_ASM209557v1_protein	GCA_002095575.1	ASM209557v1	ORN00568.1	ORN00568.1 tonB-system energizer ExbB	Pantoea septica	Pantoea	septica	
RPH30908.1 biopolymer transporter ExbB [Buttiauxella warmboldiae]|GCA_003818135.1_ASM381813v1_protein	GCA_003818135.1_ASM381813v1_protein	GCA_003818135.1	ASM381813v1	RPH30908.1	RPH30908.1 biopolymer transporter ExbB	Buttiauxella warmboldiae	Buttiauxella	warmboldiae	
AAL22033.1 uptake of enterochelin [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]|GCA_000006945.2_ASM694v2_protein	GCA_000006945.2_ASM694v2_protein	GCA_000006945.2	ASM694v2	AAL22033.1	AAL22033.1 uptake of enterochelin	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella	enterica	subsp. enterica serovar Typhimurium str. LT2
AAK85982.1 biopolymer transport protein [Agrobacterium fabrum str. C58]|GCA_000092025.1_ASM9202v1_protein	GCA_000092025.1_ASM9202v1_protein	GCA_000092025.1	ASM9202v1	AAK85982.1	AAK85982.1 biopolymer transport protein	Agrobacterium fabrum str. C58	Agrobacterium	fabrum	str. C58
KIU31457.1 biopolymer transporter ExbB [Atlantibacter hermannii]|GCA_000878365.1_ASM87836v1_protein	GCA_000878365.1_ASM87836v1_protein	GCA_000878365.1	ASM87836v1	KIU31457.1	KIU31457.1 biopolymer transporter ExbB	Atlantibacter hermannii	Atlantibacter	hermannii	
ABI59859.1 outer membrane transport energization protein ExbB [Nitrosomonas eutropha C91]|GCA_000014765.1_ASM1476v1_protein	GCA_000014765.1_ASM1476v1_protein	GCA_000014765.1	ASM1476v1	ABI59859.1	ABI59859.1 outer membrane transport energization protein ExbB	Nitrosomonas eutropha C91	Nitrosomonas	eutropha	C91
ABE50669.1 outer membrane transport energization protein ExbB [Methylobacillus flagellatus KT]|GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1	ASM1370v1	ABE50669.1	ABE50669.1 outer membrane transport energization protein ExbB	Methylobacillus flagellatus KT	Methylobacillus	flagellatus	KT
AAZ96665.1 MotA/TolQ/ExbB proton channel family protein [Thiobacillus denitrificans ATCC 25259]|GCA_000012745.1_ASM1274v1_protein	GCA_000012745.1_ASM1274v1_protein	GCA_000012745.1	ASM1274v1	AAZ96665.1	AAZ96665.1 MotA/TolQ/ExbB proton channel family protein	Thiobacillus denitrificans ATCC 25259	Thiobacillus	denitrificans	ATCC 25259
AAY35278.1 outer membrane transport energization protein ExbB [Pseudomonas syringae pv. syringae B728a]|GCA_000012245.1_ASM1224v1_protein	GCA_000012245.1_ASM1224v1_protein	GCA_000012245.1	ASM1224v1	AAY35278.1	AAY35278.1 outer membrane transport energization protein ExbB	Pseudomonas syringae pv. syringae B728a	Pseudomonas	syringae	pv. syringae B728a
CCJ73991.1 MotA/TolQ/ExbB proton channel family protein [Cronobacter condimenti 1330]|GCA_000319285.1_ASM31928v1_protein	GCA_000319285.1_ASM31928v1_protein	GCA_000319285.1	ASM31928v1	CCJ73991.1	CCJ73991.1 MotA/TolQ/ExbB proton channel family protein	Cronobacter condimenti 1330	Cronobacter	condimenti	1330
KTR97245.1 biopolymer transporter ExbB [Pantoea dispersa]|GCA_001476295.1_ASM147629v1_protein	GCA_001476295.1_ASM147629v1_protein	GCA_001476295.1	ASM147629v1	KTR97245.1	KTR97245.1 biopolymer transporter ExbB	Pantoea dispersa	Pantoea	dispersa	
KGA69320.1 tonB-system energizer ExbB [Yersinia enterocolitica]|GCA_000755055.1_YEG_1_protein	GCA_000755055.1_YEG_1_protein	GCA_000755055.1	YEG	KGA69320.1	KGA69320.1 tonB-system energizer ExbB	Yersinia enterocolitica	Yersinia	enterocolitica	
CAD77369.1 probable tolQ-type transport protein [Rhodopirellula baltica SH 1]|GCA_000196115.1_ASM19611v1_protein	GCA_000196115.1_ASM19611v1_protein	GCA_000196115.1	ASM19611v1	CAD77369.1	CAD77369.1 probable tolQ-type transport protein	Rhodopirellula baltica SH 1	Rhodopirellula	baltica	SH 1
KOR01485.1 biopolymer transporter ExbB [Pluralibacter gergoviae]|GCA_001276415.1_ASM127641v1_protein	GCA_001276415.1_ASM127641v1_protein	GCA_001276415.1	ASM127641v1	KOR01485.1	KOR01485.1 biopolymer transporter ExbB	Pluralibacter gergoviae	Pluralibacter	gergoviae	
TCV98891.1 outer membrane transport energization protein ExbB [Biostraticola tofi]|GCA_004343195.1_ASM434319v1_protein	GCA_004343195.1_ASM434319v1_protein	GCA_004343195.1	ASM434319v1	TCV98891.1	TCV98891.1 outer membrane transport energization protein ExbB	Biostraticola tofi	Biostraticola	tofi	
CFQ35944.1 MotA/TolQ/ExbB proton channel family protein [Yersinia bercovieri]|GCA_001319955.1_5139_5_3_protein	GCA_001319955.1_5139_5_3_protein	GCA_001319955.1	5139	CFQ35944.1	CFQ35944.1 MotA/TolQ/ExbB proton channel family protein	Yersinia bercovieri	Yersinia	bercovieri	
KLR17658.1 biopolymer transporter ExbB [Enterobacter bugandensis]|GCA_001023305.1_ASM102330v1_protein	GCA_001023305.1_ASM102330v1_protein	GCA_001023305.1	ASM102330v1	KLR17658.1	KLR17658.1 biopolymer transporter ExbB	Enterobacter bugandensis	Enterobacter	bugandensis	
ACN16726.1 MotA3 [Desulforapulum autotrophicum HRM2]|GCA_000020365.1_ASM2036v1_protein	GCA_000020365.1_ASM2036v1_protein	GCA_000020365.1	ASM2036v1	ACN16726.1	ACN16726.1 MotA3	Desulforapulum autotrophicum HRM2	Desulforapulum	autotrophicum	HRM2
