genomeID	domain	phylum	class	order	family	genus	species1	species2	locus_tag	location	ssu_len	contig_len
RS_GCF_001900245.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	pullorum	[locus_tag=NZ_CP017813.1]	[location=516843..518347]	[ssu_len=1505]	[contig_len=1007172]
RS_GCF_000969765.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	synoviae	[locus_tag=NZ_CP011096.1]	[location=700432..701934]	[ssu_len=1503]	[contig_len=846495]
RS_GCF_000701485.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	sturni	[locus_tag=NZ_JNIZ01000005.1]	[location=1739..3240]	[ssu_len=1502]	[contig_len=3301]
RS_GCF_000526955.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	cricetuli	[locus_tag=NZ_JAHB01000012.1]	[location=2..1433]	[ssu_len=1432]	[contig_len=20837]
RS_GCF_900660675.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	columboralis	[locus_tag=NZ_LR215039.1]	[location=831563..833066]	[ssu_len=1504]	[contig_len=949548]
RS_GCF_900660645.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	citelli	[locus_tag=NZ_LR215036.1]	[location=66301..67804]	[ssu_len=1504]	[contig_len=1242365]
RS_GCF_900660495.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	gallinacea	[locus_tag=NZ_LR214950.1]	[location=339653..341160]	[ssu_len=1508]	[contig_len=1074838]
RS_GCF_012220205.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	gallinacea_A	[locus_tag=NZ_CP047225.1]	[location=361786..363293]	[ssu_len=1508]	[contig_len=1183913]
RS_GCF_006228185.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	nasistruthionis	[locus_tag=NZ_CP040825.1]	[location=580249..581753]	[ssu_len=1505]	[contig_len=803230]
RS_GCF_030718845.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	seminis	[locus_tag=NZ_CP132191.1-			
RS_GCF_900167035.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	verecunda	[locus_tag=NZ_FUXF01000001.1]	[location=51..1554]	[ssu_len=1504]	[contig_len=1630]
RS_GCF_000622205.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	leonicaptivi	[locus_tag=NZ_JHWE01000010.1]	[location=16702..18203]	[ssu_len=1502]	[contig_len=27673]
RS_GCF_900660515.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	bovirhinis	[locus_tag=NZ_LR214972.1]	[location=821443..822948]	[ssu_len=1506]	[contig_len=901941]
RS_GCF_900660545.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	cynos	[locus_tag=NZ_LR214980.1]	[location=9683..11189]	[ssu_len=1507]	[contig_len=11852]
RS_GCF_001553195.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	canis	[locus_tag=NZ_CP014281.1]	[location=49103..50608]	[ssu_len=1506]	[contig_len=897443]
RS_GCF_900476105.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	edwardii	[locus_tag=NZ_LS991951.1]	[location=827078..828581]	[ssu_len=1504]	[contig_len=832213]
RS_GCF_004365095.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	mustelae	[locus_tag=NZ_SOCN01000007.1]	[location=190..1691]	[ssu_len=1502]	[contig_len=1737]
RS_GCF_000733865.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	buteonis	[locus_tag=NZ_JPOK01000003.1]	[location=1201..1691]	[ssu_len=491]	[contig_len=1715]
RS_GCF_900660635.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	gallopavonis	[locus_tag=NZ_LR215032.1]	[location=313776..315279]	[ssu_len=1504]	[contig_len=409935]
RS_GCF_900660605.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	glycophila	[locus_tag=NZ_LR215024.1]	[location=220464..221968]	[ssu_len=1505]	[contig_len=973410]
RS_GCF_004335975.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasma_K	s__Mycoplasma_K	marinum	[locus_tag=NZ_PSZO01000002.1]	[location=3566..5094]	[ssu_len=1529]	[contig_len=91812]
RS_GCF_004335995.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasma_K	s__Mycoplasma_K	todarodis	[locus_tag=NZ_PSZP01000043.1]	[location=10..1536]	[ssu_len=1527]	[contig_len=5025]
RS_GCF_030550815.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasma_O	s__Mycoplasma_O	mahonii	[locus_tag=NZ_CP114583.1]	[location=638239..639751]	[ssu_len=1513]	[contig_len=796768]
GB_GCA_027925225.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Hepatoplasmataceae	g__Hepatoplasma	s__Hepatoplasma	vulgare	[locus_tag=AP027131.1]	[location=483585..485102]	[ssu_len=1518]	[contig_len=662108]
RS_GCF_000582535.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Hepatoplasmataceae	g__Hepatoplasma	s__Hepatoplasma	crinochetorum	[locus_tag=NZ_CP006932.1]	[location=105586..107119]	[ssu_len=1534]	[contig_len=657101]
GB_GCA_027925325.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Hepatoplasmataceae	g__Hepatoplasma	s__Hepatoplasma	scabrum	[locus_tag=AP027133.1]	[location=100063..101590]	[ssu_len=1528]	[contig_len=606194]
GB_GCA_001179805.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Hepatoplasmataceae	g__Hepatoplasma	s__Hepatoplasma	crinochetorum_A	[locus_tag=CWGI01000001.1]	[location=478700..480247]	[ssu_len=1548]	[contig_len=614035]
GB_GCA_027943885.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Hepatoplasmataceae	g__Tyloplasma	s__Tyloplasma	litorale	[locus_tag=AP027078.1-			
RS_GCF_001272835.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__Mycoplasmoides	pneumoniae	[locus_tag=NZ_CP010546.1]	[location=118285..119797]	[ssu_len=1513]	[contig_len=817207]
RS_GCF_000027325.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__Mycoplasmoides	genitalium	[locus_tag=NC_000908.2]	[location=170015..171529]	[ssu_len=1515]	[contig_len=580076]
RS_GCF_000518305.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__Mycoplasmoides	imitans	[locus_tag=NZ_JADI01000004.1]	[location=1..1170]	[ssu_len=1170]	[contig_len=111966]
RS_GCF_900476085.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__Mycoplasmoides	gallisepticum	[locus_tag=NZ_LS991952.1]	[location=841705..843218]	[ssu_len=1514]	[contig_len=981408]
RS_GCF_014068355.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__Mycoplasmoides	tullyi	[locus_tag=NZ_CP059674.1]	[location=261024..262537]	[ssu_len=1514]	[contig_len=867815]
RS_GCF_000687795.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__Mycoplasmoides	testudinis	[locus_tag=NZ_JHXT01000002.1]	[location=101170..102682]	[ssu_len=1513]	[contig_len=103312]
GB_GCA_000723365.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__Mycoplasmoides	amphoriforme	[locus_tag=HG937516.1]	[location=822963..824474]	[ssu_len=1512]	[contig_len=1029022]
RS_GCF_000701785.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__Mycoplasmoides	alvi	[locus_tag=NZ_JNJU01000007.1]	[location=50726..52238]	[ssu_len=1513]	[contig_len=67647]
RS_GCF_000685905.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__Mycoplasmoides	pirum	[locus_tag=NZ_JMKZ01000001.1]	[location=41459..42972]	[ssu_len=1514]	[contig_len=600706]
GB_GCA_009884515.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasma_L	s__Mycoplasma_L	liparidae	[locus_tag=RHHX01000001.1]	[location=803..2306]	[ssu_len=1504]	[contig_len=429213]
GB_GCA_018883815.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__Ureaplasma	intestinipullorum	[locus_tag=JAHLFM010000042.1]	[location=2..379]	[ssu_len=378]	[contig_len=5150]
RS_GCF_025780085.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__Ureaplasma	miroungigenitalium	[locus_tag=NZ_JAOXHL010000006.1]	[location=36..1550]	[ssu_len=1515]	[contig_len=4918]
RS_GCF_025780055.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__Ureaplasma	zalophigenitalium	[locus_tag=NZ_JAOXHJ010000011.1]	[location=3363..4877]	[ssu_len=1515]	[contig_len=4953]
RS_GCF_000712165.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__Ureaplasma	canigenitalium	[locus_tag=NZ_JONZ01000004.1]	[location=2..409]	[ssu_len=408]	[contig_len=261112]
RS_GCF_000731915.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__Ureaplasma	diversum	[locus_tag=NZ_JFDP01000004.1]	[location=42..1554]	[ssu_len=1513]	[contig_len=4939]
RS_GCF_000169535.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__Ureaplasma	urealyticum	[locus_tag=NZ_AAYN02000002.1]	[location=340422..341930]	[ssu_len=1509]	[contig_len=873729]
RS_GCF_000019345.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__Ureaplasma	parvum	[locus_tag=NC_010503.1]	[location=343968..345480]	[ssu_len=1513]	[contig_len=751679]
RS_GCF_900660615.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Malacoplasma	s__Malacoplasma	iowae	[locus_tag=NZ_LR215023.1]	[location=141124..142634]	[ssu_len=1511]	[contig_len=1278574]
RS_GCF_000011225.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Malacoplasma	s__Malacoplasma	penetrans	[locus_tag=NC_004432.1]	[location=1236491..1237999]	[ssu_len=1509]	[contig_len=1358633]
GB_GCA_000770195.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Malacoplasma_A	s__Malacoplasma_A	girerdii	[locus_tag=CP007711.1]	[location=404572..406079]	[ssu_len=1508]	[contig_len=618983]
RS_GCF_024498275.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasma_N	s__Mycoplasma_N	fastidiosum	[locus_tag=NZ_CP101809.1]	[location=696210..697718]	[ssu_len=1509]	[contig_len=1221951]
RS_GCF_000508245.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A	ovis	[locus_tag=NC_023062.1]	[location=550409..551893]	[ssu_len=1485]	[contig_len=702511]
RS_GCF_000277795.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A	wenyonii	[locus_tag=NC_018149.1]	[location=50815..52294]	[ssu_len=1480]	[contig_len=650228]
RS_GCF_003265155.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A	wenyonii_C	[locus_tag=NZ_QKVO01000005.1]	[location=4231..5707]	[ssu_len=1477]	[contig_len=34033]
RS_GCF_000477415.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A	parvum	[locus_tag=NC_022575.1]	[location=174520..176020]	[ssu_len=1501]	[contig_len=564395]
RS_GCF_000179035.2	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A	suis	[locus_tag=NC_015155.1]	[location=484421..485921]	[ssu_len=1501]	[contig_len=742431]
RS_GCF_000281235.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A	haematolamae	[locus_tag=NC_018219.1]	[location=520731..522221]	[ssu_len=1491]	[contig_len=756845]
RS_GCF_000319365.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A	haematominutum	[locus_tag=NC_021007.1]	[location=304791..306279]	[ssu_len=1489]	[contig_len=513880]
RS_GCF_902712995.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_B	s__Eperythrozoon_B	haemohominis	[locus_tag=NZ_CACTIB010000021.1]	[location=25656..27116]	[ssu_len=1461]	[contig_len=106535]
RS_GCF_001645765.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_B	s__Eperythrozoon_B	haematobovis	[locus_tag=NZ_LWUJ01000012.1]	[location=135645..137111]	[ssu_len=1467]	[contig_len=212034]
RS_GCF_000200735.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_B	s__Eperythrozoon_B	haemofelis	[locus_tag=NC_014970.1]	[location=548373..549836]	[ssu_len=1464]	[contig_len=1147259]
RS_GCF_000238995.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_B	s__Eperythrozoon_B	haemocanis	[locus_tag=NC_016638.1]	[location=452221..453684]	[ssu_len=1464]	[contig_len=919992]
GB_GCA_002135175.2	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__MT37	g__Spiroplasma_C	s__Spiroplasma_C	holothuricola	[locus_tag=CP022928.1]	[location=62453..63992]	[ssu_len=1540]	[contig_len=280592]
RS_GCF_002441935.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Edwardiiplasma	s__Edwardiiplasma	lactucae	[locus_tag=NZ_CP023668.1]	[location=568015..569535]	[ssu_len=1521]	[contig_len=837471]
RS_GCF_000702725.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Tullyiplasma	s__Tullyiplasma	photuris	[locus_tag=NZ_JNJI01000002.1]	[location=372393..373475]	[ssu_len=1083]	[contig_len=373475]
RS_GCF_000483165.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Tullyiplasma	s__Tullyiplasma	multilocale	[locus_tag=NZ_AXXW01000011.1]	[location=2039..2922]	[ssu_len=884]	[contig_len=2923]
RS_GCF_002843565.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Tullyiplasma	s__Tullyiplasma	syrphidae	[locus_tag=NZ_CP025257.1]	[location=325388..326910]	[ssu_len=1523]	[contig_len=908214]
RS_GCF_000518725.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Tullyiplasma	s__Tullyiplasma	seiffertii	[locus_tag=NZ_KI912486.1]	[location=286432..287277]	[ssu_len=846]	[contig_len=287278]
RS_GCF_000327395.2	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__Mycoplasma	feriruminatoris	[locus_tag=NZ_CP091032.1-			
RS_GCF_000012765.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__Mycoplasma	capricolum	[locus_tag=NC_007633.1]	[location=464434..465952]	[ssu_len=1519]	[contig_len=1010023]
RS_GCF_000183365.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__Mycoplasma	leachii	[locus_tag=NC_014751.1]	[location=953783..955301]	[ssu_len=1519]	[contig_len=1008951]
RS_GCF_018389705.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__Mycoplasma	capri	[locus_tag=NZ_CP065581.1]	[location=426387..427905]	[ssu_len=1519]	[contig_len=1035494]
GB_GCA_000011445.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__Mycoplasma	mycoides	[locus_tag=BX293980.2-			
RS_GCF_000224105.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__Mycoplasma	putrefaciens	[locus_tag=NC_015946.1]	[location=304092..305610]	[ssu_len=1519]	[contig_len=832603]
RS_GCF_030815295.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__Mycoplasma	yeatsii	[locus_tag=NZ_JAUSWP010000019.1]	[location=1..1271]	[ssu_len=1271]	[contig_len=1771]
RS_GCF_024918975.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__Mycoplasma	cottewii	[locus_tag=NZ_CP103424.1]	[location=267286..268805]	[ssu_len=1520]	[contig_len=1016659]
RS_GCF_002930155.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Entomoplasma	s__Entomoplasma	ellychniae	[locus_tag=NZ_PHND01000001.1]	[location=195054..196574]	[ssu_len=1521]	[contig_len=888009]
RS_GCF_002290085.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mesoplasma	s__Mesoplasma	chauliocola	[locus_tag=NZ_CP023173.1]	[location=209518..211038]	[ssu_len=1521]	[contig_len=854780]
RS_GCF_002804105.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mesoplasma	s__Mesoplasma	melaleucae	[locus_tag=NZ_CP024964.1]	[location=515847..517367]	[ssu_len=1521]	[contig_len=845295]
RS_GCF_000701525.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mesoplasma	s__Mesoplasma	grammopterae	[locus_tag=NZ_JNJC01000005.1]	[location=118..1638]	[ssu_len=1521]	[contig_len=57601]
RS_GCF_000008305.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mesoplasma	s__Mesoplasma	florum	[locus_tag=NC_006055.1]	[location=191855..193375]	[ssu_len=1521]	[contig_len=793224]
RS_GCF_002804025.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mesoplasma	s__Mesoplasma	tabanidae	[locus_tag=NZ_CP024969.1]	[location=524894..526414]	[ssu_len=1521]	[contig_len=846907]
RS_GCF_002804245.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mesoplasma	s__Mesoplasma	coleopterae	[locus_tag=NZ_CP024968.1]	[location=204254..205774]	[ssu_len=1521]	[contig_len=800407]
RS_GCF_002804125.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mesoplasma	s__Mesoplasma	entomophilum	[locus_tag=NZ_CP024966.1]	[location=192811..194331]	[ssu_len=1521]	[contig_len=847966]
RS_GCF_002804005.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Williamsoniiplasma	s__Williamsoniiplasma	somnilux	[locus_tag=NZ_CP024965.1]	[location=298307..299828]	[ssu_len=1522]	[contig_len=868413]
RS_GCF_002804205.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Williamsoniiplasma	s__Williamsoniiplasma	freundtii	[locus_tag=NZ_CP024962.1]	[location=602243..603765]	[ssu_len=1523]	[contig_len=838114]
RS_GCF_002803985.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Williamsoniiplasma	s__Williamsoniiplasma	luminosum	[locus_tag=NZ_CP024963.1]	[location=489129..490648]	[ssu_len=1520]	[contig_len=1031560]
RS_GCF_000518285.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Williamsoniiplasma	s__Williamsoniiplasma	lucivorax	[locus_tag=NZ_JADH01000001.1]	[location=128129..129650]	[ssu_len=1522]	[contig_len=155838]
RS_GCF_003363775.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Spiroplasma_B	s__Spiroplasma_B	alleghenense	[locus_tag=NZ_CP031376.1]	[location=656690..658207]	[ssu_len=1518]	[contig_len=1336077]
RS_GCF_000565215.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Spiroplasma_B	s__Spiroplasma_B	sabaudiense	[locus_tag=NZ_CP006934.1]	[location=624506..626023]	[ssu_len=1518]	[contig_len=1075953]
RS_GCF_001267155.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Spiroplasma_A	s__Spiroplasma_A	litorale	[locus_tag=NZ_CP012357.1]	[location=261227..262744]	[ssu_len=1518]	[contig_len=1225519]
RS_GCF_001262715.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Spiroplasma_A	s__Spiroplasma_A	turonicum	[locus_tag=NZ_CP012328.1]	[location=253503..255020]	[ssu_len=1518]	[contig_len=1261374]
RS_GCF_002237575.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Spiroplasma_A	s__Spiroplasma_A	corruscae	[locus_tag=NZ_CP022535.1]	[location=257073..258590]	[ssu_len=1518]	[contig_len=1175400]
RS_GCF_000439435.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Spiroplasma_A	s__Spiroplasma_A	taiwanense	[locus_tag=NC_021846.1]	[location=862683..864200]	[ssu_len=1518]	[contig_len=1075140]
RS_GCF_002813555.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Spiroplasma_A	s__Spiroplasma_A	floricola	[locus_tag=NZ_CP025057.1]	[location=978107..979624]	[ssu_len=1518]	[contig_len=1284130]
RS_GCF_001281045.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Spiroplasma_A	s__Spiroplasma_A	cantharicola	[locus_tag=NZ_CP012622.1]	[location=929203..930720]	[ssu_len=1518]	[contig_len=1179577]
RS_GCF_000439455.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Mycoplasmataceae	g__Spiroplasma_A	s__Spiroplasma_A	diminutum	[locus_tag=NC_021833.1]	[location=714221..715738]	[ssu_len=1518]	[contig_len=945296]
