	i	protID	spname	symM3	symM2	symM1	sym0	sym1	sym2	sym3	strandM3	strandM2	strandM1	strand0	strand1	strand2	strand3	accM3	accM2	accM1	acc0	acc1	acc2	acc3	nameM3	nameM2	nameM1	name0	name1	name2	name3	genome_dir	gene_order_table_fn
97	124	AEO47577.1	Rhodospirillum rubrum F11						rpmE		-	-	-	-	-	-	-	AEO47580.1	AEO47579.1	AEO47578.1	AEO47577.1	AEO47576.1	AEO47575.1	AEO47574.1	elongation factor P	inositol monophosphatase	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	50S ribosomal protein L31	adenylate/guanylate cyclase	GCA_000225955.1_ASM22595v1	genomes/GCA_000225955.1_ASM22595v1/GCA_000225955.1_ASM22595v1_feature_table.txt
98	125	AIQ93688.1	Methylobacterium oryzae CBMB20								+	+	+	+	+	+	-	AIQ93685.1	AIQ93686.1	AIQ93687.1	AIQ93688.1	AIQ93689.1	AIQ93690.1	AIQ93691.1	protein of unassigned function	5-formyltetrahydrofolate cyclo-ligase	Metallophosphoesterase	protein of unassigned function	OmpA/MotB domain-containing protein	Methyl-accepting chemotaxis sensory transducer	Lipid ABC transporter ATPase/inner membrane protein	GCA_000757795.1_ASM75779v1	genomes/GCA_000757795.1_ASM75779v1/GCA_000757795.1_ASM75779v1_feature_table.txt
99	127	ACO34195.1	Acidobacterium capsulatum ATCC 51196	plsY	gpsA		ftsY	ribD	ribE		+	+	+	+	+	+	-	ACO31793.1	ACO34644.1	ACO34317.1	ACO34195.1	ACO32700.1	ACO33086.1	ACO32146.1	acyl-phosphate glycerol 3-phosphate acyltransferase	glycerol-3-phosphate dehydrogenase (NAD(+))	HD domain protein	signal recognition particle-docking protein FtsY	riboflavin biosynthesis protein RibD	"riboflavin synthase, alpha subunit"	pyridoxal-phosphate dependent enzyme family protein	GCA_000022565.1_ASM2256v1	genomes/GCA_000022565.1_ASM2256v1/GCA_000022565.1_ASM2256v1_feature_table.txt
100	128	AEV97736.1	Niastella koreensis GR20-10	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	+	+	-	AEV97739.1	AEV97738.1	AEV97737.1	AEV97736.1	AEV97735.1	AEV97734.1	AEV97733.1	hypothetical protein	hypothetical protein	alkaline phosphatase	OmpA/MotB domain protein	Sel1 domain protein repeat-containing protein	hypothetical protein	"transcriptional regulator, AraC family"	GCA_000246855.1_ASM24685v1	genomes/GCA_000246855.1_ASM24685v1/GCA_000246855.1_ASM24685v1_feature_table.txt
101	129	ADV62354.1	Isosphaera pallida ATCC 43644	NA	NA	NA	NA	NA	NA	NA	+	-	-	-	-	+	+	ADV62357.1	ADV62356.1	ADV62355.1	ADV62354.1	ADV62353.1	ADV62352.1	ADV62351.1	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	GCA_000186345.1_ASM18634v1	genomes/GCA_000186345.1_ASM18634v1/GCA_000186345.1_ASM18634v1_feature_table.txt
102	131	BAM05883.1	Leptospirillum ferrooxidans C2-3								+	+	-	-	-	+	-	BAM05886.1	BAM05885.1	BAM05884.1	BAM05883.1	BAM05882.1	BAM05881.1	BAM05880.1	"ABC transporter, ATP-binding protein"	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	transposase	hypothetical protein	GCA_000284315.1_ASM28431v1	genomes/GCA_000284315.1_ASM28431v1/GCA_000284315.1_ASM28431v1_feature_table.txt
103	132	BAH37227.1	Gemmatimonas aurantiaca T-27								+	+	-	+	+	+	+	BAH37224.1	BAH37225.1	BAH37226.1	BAH37227.1	BAH37228.1	BAH37229.1	BAH37230.1	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical membrane protein	hypothetical protein	hypothetical protein	helicase	GCA_000010305.1_ASM1030v1	genomes/GCA_000010305.1_ASM1030v1/GCA_000010305.1_ASM1030v1_feature_table.txt
104	133	QIZ70514.1	Oxynema aestuarii AP17								+	+	-	-	-	-	-	QIZ70516.1	QIZ70515.1	QIZ73655.1	QIZ70514.1	QIZ70513.1	QIZ70512.1	QIZ70511.1	AmpG family muropeptide MFS transporter	alcohol dehydrogenase catalytic domain-containing protein	hypothetical protein	hypothetical protein	OmpA family protein	hypothetical protein	Rpn family recombination-promoting nuclease/putative transposase	GCA_012295525.1_ASM1229552v1	genomes/GCA_012295525.1_ASM1229552v1/GCA_012295525.1_ASM1229552v1_feature_table.txt
105	135	ADY59818.1	Rubinisphaera brasiliensis DSM 5305	NA	NA	NA	NA	NA	NA	NA	-	+	+	+	+	+	+	ADY59815.1	ADY59816.1	ADY59817.1	ADY59818.1	ADY59819.1	ADY59820.1	ADY59821.1	hypothetical protein	hypothetical protein	methionine biosynthesis protein MetW	hypothetical protein	hypothetical protein	hypothetical protein	squalene-associated FAD-dependent desaturase	GCA_000165715.3_ASM16571v3	genomes/GCA_000165715.3_ASM16571v3/GCA_000165715.3_ASM16571v3_feature_table.txt
106	137	ALU35076.1	Clostridium autoethanogenum DSM 10061								-	-	-	-	-	-	-	ALU35079.1	ALU35078.1	ALU35077.1	ALU35076.1	ALU35075.1	ALU35074.1	ALU35073.1	NADP-binding oxido reductase	putative secreted protein containing bacterial Ig-like domain	ABC-type molybdenum transport system periplasmic molybdate-binding protein	MotA/TolQ/ExbB proton channel	putative membrane protein DUF2149	putative membrane protein DUF2149	Glycyl-radical enzyme pyruvate formate-lyase 2	GCA_001484725.1_ASM148472v1	genomes/GCA_001484725.1_ASM148472v1/GCA_001484725.1_ASM148472v1_feature_table.txt
107	138	BCB95963.1	Dissulfurispira thermophila								+	+	+	+	-	+	-	BCB95960.1	BCB95961.1	BCB95962.1	BCB95963.1	BCB95964.1	BCB95965.1	BCB95966.1	TonB-dependent receptor	hypothetical protein	hypothetical protein	flagellar motor protein MotA	hypothetical protein	hypothetical protein	hypothetical protein	GCA_014701235.1_ASM1470123v1	genomes/GCA_014701235.1_ASM1470123v1/GCA_014701235.1_ASM1470123v1_feature_table.txt
108	140	APW42573.1	Rhodoferax saidenbachensis								+	+	+	+	+	+	+	APW42570.1	APW42571.1	APW42572.1	APW42573.1	APW42574.1	APW44767.1	APW42575.1	hypothetical protein	cobaltochelatase subunit CobN	hypothetical protein	biopolymer transporter ExbD	hypothetical protein	hypothetical protein	hemin-degrading factor	GCA_001955715.1_ASM195571v1	genomes/GCA_001955715.1_ASM195571v1/GCA_001955715.1_ASM195571v1_feature_table.txt
109	142	QVL34843.1	Telmatocola sphagniphila								-	-	-	-	-	-	+	QVL33204.1	QVL33203.1	QVL33202.1	QVL34843.1	QVL33201.1	QVL33200.1	QVL33199.1	DUF1559 domain-containing protein	hypothetical protein	cobaltochelatase subunit CobN	MotA/TolQ/ExbB proton channel family protein	DUF2149 domain-containing protein	DUF1328 domain-containing protein	AAA family ATPase	GCA_018398935.1_ASM1839893v1	genomes/GCA_018398935.1_ASM1839893v1/GCA_018398935.1_ASM1839893v1_feature_table.txt
110	143	ADY61698.1	Rubinisphaera brasiliensis DSM 5305	NA	NA	NA	NA	NA	NA	NA	-	-	-	+	+	+	-	ADY61695.1	ADY61696.1	ADY61697.1	ADY61698.1	ADY61699.1	ADY61700.1		hypothetical protein	hypothetical protein	"type I secretion system ATPase, PrtD"	MotA/TolQ/ExbB proton channel	Protein of unknown function DUF2149	Magnesium chelatase		GCA_000165715.3_ASM16571v3	genomes/GCA_000165715.3_ASM16571v3/GCA_000165715.3_ASM16571v3_feature_table.txt
111	144	ADV63425.1	Isosphaera pallida ATCC 43644	NA	NA	NA	NA	NA	NA	NA	+	-	+	+	+	-	-		ADV63423.1	ADV63424.1	ADV63425.1	ADV63426.1	ADV63427.1	ADV63428.1		hypothetical protein	hypothetical protein	hypothetical protein	Ig family protein	hypothetical protein	hypothetical protein	GCA_000186345.1_ASM18634v1	genomes/GCA_000186345.1_ASM18634v1/GCA_000186345.1_ASM18634v1_feature_table.txt
112	145	QIZ73618.1	Oxynema aestuarii AP17							pyk	+	-	-	+	+	+	+	QIZ73617.1	QIZ70112.1	QIZ70113.1	QIZ73618.1	QIZ70114.1	QIZ70115.1	QIZ70116.1	hypothetical protein	protein kinase	DUF3352 domain-containing protein	flagellar motor protein MotA	hypothetical protein	hypothetical protein	pyruvate kinase	GCA_012295525.1_ASM1229552v1	genomes/GCA_012295525.1_ASM1229552v1/GCA_012295525.1_ASM1229552v1_feature_table.txt
113	146	QDU28596.1	Anatilimnocola aggregata	pstS	ybgC	ftsK					+	+	+	-	-	-	-	QDU28599.1	QDU28598.1	QDU28597.1	QDU28596.1	QDU28595.1	QDU28594.1	QDU28593.1	Phosphate-binding protein PstS precursor	Acyl-CoA thioester hydrolase YbgC	DNA translocase FtsK	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	GCA_007747655.1_ASM774765v1	genomes/GCA_007747655.1_ASM774765v1/GCA_007747655.1_ASM774765v1_feature_table.txt
114	147	ADB15801.1	Pirellula staleyi DSM 6068								+	+	+	+	+	+	-	ADB15798.1	ADB15799.1	ADB15800.1	ADB15801.1	ADB15802.1	ADB15803.1	ADB15804.1	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	alpha-glucan phosphorylase	GCA_000025185.1_ASM2518v1	genomes/GCA_000025185.1_ASM2518v1/GCA_000025185.1_ASM2518v1_feature_table.txt
115	148	QTD50492.1	Sulfidibacter corallicola								+	+	+	+	+	+	+	QTD50489.1	QTD50490.1	QTD50491.1	QTD50492.1	QTD50493.1	QTD50494.1	QTD50495.1	hypothetical protein	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	hypothetical protein	hypothetical protein	GCA_017498545.1_ASM1749854v1	genomes/GCA_017498545.1_ASM1749854v1/GCA_017498545.1_ASM1749854v1_feature_table.txt
116	149	QOY89286.1	Paludibaculum fermentans								+	+	-	-	-	-	-	QOY89289.1	QOY89288.1	QOY89287.1	QOY89286.1	QOY89285.1	QOY89284.1	QOY89283.1	protein kinase	hypothetical protein	FHA domain-containing protein	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	FHA domain-containing protein	serine/threonine-protein phosphatase	GCA_015277775.1_ASM1527777v1	genomes/GCA_015277775.1_ASM1527777v1/GCA_015277775.1_ASM1527777v1_feature_table.txt
117	150	QVL33268.1	Telmatocola sphagniphila								-	-	+	-	-	-	-	QVL33271.1	QVL33270.1	QVL33269.1	QVL33268.1	QVL33267.1	QVL33266.1	QVL33265.1	molybdopterin oxidoreductase family protein	SGNH/GDSL hydrolase family protein	VCBS repeat-containing protein	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	VWA domain-containing protein	hypothetical protein	GCA_018398935.1_ASM1839893v1	genomes/GCA_018398935.1_ASM1839893v1/GCA_018398935.1_ASM1839893v1_feature_table.txt
118	151	QTD52802.1	Sulfidibacter corallicola								+	+	+	+	+	+	+	QTD52799.1	QTD52800.1	QTD52801.1	QTD52802.1	QTD52803.1	QTD52804.1	QTD52805.1	hypothetical protein	SUMF1/EgtB/PvdO family nonheme iron enzyme	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	VWA domain-containing protein	hypothetical protein	GCA_017498545.1_ASM1749854v1	genomes/GCA_017498545.1_ASM1749854v1/GCA_017498545.1_ASM1749854v1_feature_table.txt
119	152	CAB12348.1	Bacillus subtilis subsp. subtilis str. 168	ydfG	ydzP	ydzQ	ydfH	ydfI	ydfJ	cesA	-	-	-	+	+	+	-	CAB12347.1	CAX52558.1	CAX52559.1	CAB12348.1	CAB12349.1	CAB12350.1	CAB12351.1	conserved hypothetical protein	hypothetical protein	hypothetical protein	two-component sensor histidine kinase [YdfI]	two-component response regulator [YdfH]	putative proton metabolite efflux transporter	carboxylesterase NP	GCA_000009045.1_ASM904v1	genomes/GCA_000009045.1_ASM904v1/GCA_000009045.1_ASM904v1_feature_table.txt
120	153	UAK41219.1	Bacteroides nordii								+	-	+	+	-	-	-	UAK41216.1	UAK41217.1	UAK41218.1	UAK41219.1	UAK41220.1	UAK41221.1	UAK41222.1	GH92 family glycosyl hydrolase	metallophosphatase family protein	RNA degradosome polyphosphate kinase	inorganic phosphate transporter	hypothetical protein	glycoside hydrolase family 88 protein	T9SS type A sorting domain-containing protein	GCA_019930665.1_ASM1993066v1	genomes/GCA_019930665.1_ASM1993066v1/GCA_019930665.1_ASM1993066v1_feature_table.txt
121	154	ADB15644.1	Pirellula staleyi DSM 6068								+	-	-	+	-	+	+	ADB15641.1	ADB15642.1	ADB15643.1	ADB15644.1	ADB15645.1	ADB15646.1	ADB15647.1	Glycerophosphodiester phosphodiesterase	hypothetical protein	DNA topoisomerase (ATP-hydrolyzing)	hypothetical protein	"DNA topoisomerase VI, B subunit"	hypothetical protein	hypothetical protein	GCA_000025185.1_ASM2518v1	genomes/GCA_000025185.1_ASM2518v1/GCA_000025185.1_ASM2518v1_feature_table.txt
122	155	QTD51577.1	Sulfidibacter corallicola								-	-	+	-	-	-	-	QTD51580.1	QTD51579.1	QTD51578.1	QTD51577.1	QTD51576.1	QTD51575.1	QTD51574.1	serine/threonine protein kinase	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	cysteine synthase A	DUF3050 domain-containing protein	chemotaxis protein CheA	GCA_017498545.1_ASM1749854v1	genomes/GCA_017498545.1_ASM1749854v1/GCA_017498545.1_ASM1749854v1_feature_table.txt
123	157	AKF24681.1	Sulfurovum lithotrophicum	aspS							-	-	+	+	+	-	-	AKF24678.1	AKF24679.1	AKF24680.1	AKF24681.1	AKF24682.1			aspartate--tRNA ligase	nicotinate phosphoribosyltransferase	hypothetical protein	hypothetical protein	hypothetical protein			GCA_000987835.1_ASM98783v1	genomes/GCA_000987835.1_ASM98783v1/GCA_000987835.1_ASM98783v1_feature_table.txt
124	158	ALF47932.1	Campylobacter concisus	nth	peb4	fbaA			acd	hisD	+	-	-	-	-	-	-	ALF47935.1	ALF47934.1	ALF47933.1	ALF47932.1	ALF47931.1	ALF47930.1	ALF47929.1	endonuclease III	SurA-like chaperone / peptidyl-prolyl cis-trans isomerase	"fructose-bisphosphate aldolase, class IIA"	putative membrane protein	putative OmpA/MotB domain protein	1-aminocyclopropane-1-carboxylate deaminase	histidinal dehydrogenase / histidinol dehydrogenase	GCA_001298465.1_ASM129846v1	genomes/GCA_001298465.1_ASM129846v1/GCA_001298465.1_ASM129846v1_feature_table.txt
125	159	CAL34744.1	Campylobacter jejuni subsp. jejuni NCTC 11168 	nth	peb4-cbf2	fba					-	+	+	+	+	+	-	CAL34741.1	CAL34742.1	CAL34743.1	CAL34744.1	CAL34745.1	CAL34746.1	CAL34747.1	endonuclease III	major antigenic peptide PEB-cell binding factor	fructose-bisphosphate aldolase	putative membrane protein	putative OmpA family membrane protein	hypothetical protein Cj0600	putative sodium-dependent transmembrane transport protein	GCA_000009085.1_ASM908v1	genomes/GCA_000009085.1_ASM908v1/GCA_000009085.1_ASM908v1_feature_table.txt
126	160	AOO65010.1	Sulfurospirillum halorespirans DSM 13726								+	+	+	-	-	+	-	AOO65013.1	AOO65012.1	AOO65011.1	AOO65010.1	AOO65009.1	AOO65008.1	AOO65007.1	putative acetyltransferase	putative metal-dependent hydrolase	CHAD domain-containing protein	membrane protein	putative outer membrane protein	periplasmic protein	GGDEF/EAL domain-containing signaling protein	GCA_001723605.1_ASM172360v1	genomes/GCA_001723605.1_ASM172360v1/GCA_001723605.1_ASM172360v1_feature_table.txt
127	161	QTD49844.1	Sulfidibacter corallicola								+	-	+	-	+	-	+	QTD49847.1	QTD49846.1	QTD49845.1	QTD49844.1	QTD49843.1	QTD49842.1	QTD49841.1	response regulator	transporter substrate-binding domain-containing protein	VWA domain-containing protein	hypothetical protein	hypothetical protein	DUF2442 domain-containing protein	non-ribosomal peptide synthase/polyketide synthase	GCA_017498545.1_ASM1749854v1	genomes/GCA_017498545.1_ASM1749854v1/GCA_017498545.1_ASM1749854v1_feature_table.txt
128	163	AEO48101.1	Rhodospirillum rubrum F11						rpsB	tsf	+	+	+	+	+	+	+	AEO48098.1	AEO48099.1	AEO48100.1	AEO48101.1	AEO48102.1	AEO48103.1	AEO48104.1	GCN5-related N-acetyltransferase	DNA polymerase III subunit alpha	chemotaxis sensory transducer	chemotaxis sensory transducer	putative depolymerase	30S ribosomal protein S2	elongation factor Ts	GCA_000225955.1_ASM22595v1	genomes/GCA_000225955.1_ASM22595v1/GCA_000225955.1_ASM22595v1_feature_table.txt
129	164	AEO48100.1	Rhodospirillum rubrum F11							rpsB	+	+	+	+	+	+	+	AEO48097.1	AEO48098.1	AEO48099.1	AEO48100.1	AEO48101.1	AEO48102.1	AEO48103.1	GCN5-related N-acetyltransferase	GCN5-related N-acetyltransferase	DNA polymerase III subunit alpha	chemotaxis sensory transducer	chemotaxis sensory transducer	putative depolymerase	30S ribosomal protein S2	GCA_000225955.1_ASM22595v1	genomes/GCA_000225955.1_ASM22595v1/GCA_000225955.1_ASM22595v1_feature_table.txt
130	165	QVL33094.1	Telmatocola sphagniphila								+	-	-	-	-	-	-	QVL33097.1	QVL33096.1	QVL33095.1	QVL33094.1	QVL33093.1	QVL33092.1	QVL33091.1	class I SAM-dependent methyltransferase	hypothetical protein	acyl-CoA thioesterase	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	hypothetical protein	hypothetical protein	GCA_018398935.1_ASM1839893v1	genomes/GCA_018398935.1_ASM1839893v1/GCA_018398935.1_ASM1839893v1_feature_table.txt
131	166	AIZ45138.1	Deinococcus radiopugnans								-	-	-	+	+	-	+	AIZ45135.1	AIZ45136.1	AIZ45137.1	AIZ45138.1	AIZ45139.1		AIZ45140.1	hypothetical protein	hypothetical protein	von Willebrand factor A	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	GCA_000800395.1_ASM80039v1	genomes/GCA_000800395.1_ASM80039v1/GCA_000800395.1_ASM80039v1_feature_table.txt
132	167	QTD54135.1	Sulfidibacter corallicola			nadE					-	-	-	-	-	-	-	QTD54138.1	QTD54137.1	QTD54136.1	QTD54135.1	QTD54134.1	QTD54133.1	QTD54132.1	HAMP domain-containing protein	PilZ domain-containing protein	NAD(+) synthase	hypothetical protein	OmpA family protein	hypothetical protein	serine/threonine protein kinase	GCA_017498545.1_ASM1749854v1	genomes/GCA_017498545.1_ASM1749854v1/GCA_017498545.1_ASM1749854v1_feature_table.txt
133	173	ADB18690.1	Pirellula staleyi DSM 6068								-	+	-	-	-	-	+	ADB18693.1	ADB18692.1	ADB18691.1	ADB18690.1	ADB18689.1	ADB18688.1	ADB18687.1	Non-specific serine/threonine protein kinase	methyltransferase small	hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	GCA_000025185.1_ASM2518v1	genomes/GCA_000025185.1_ASM2518v1/GCA_000025185.1_ASM2518v1_feature_table.txt
134	177	ACF43024.1	Pelodictyon phaeoclathratiforme BU-1	NA	NA	NA	NA	NA	NA	NA	+	+	-	+	+	+	+	ACF43021.1	ACF43022.1	ACF43023.1	ACF43024.1	ACF43025.1	ACF43026.1	ACF43027.1	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	Glycine hydroxymethyltransferase	DNA primase	MotA/TolQ/ExbB proton channel	conserved hypothetical protein	Biopolymer transport protein ExbD/TolR	TonB family protein	GCA_000020645.1_ASM2064v1	genomes/GCA_000020645.1_ASM2064v1/GCA_000020645.1_ASM2064v1_feature_table.txt
135	178	ACD90995.1	Chlorobium limicola DSM 245	NA	NA	NA	NA	NA	NA	NA	-	-	+	-	-	-	-	ACD90998.1	ACD90997.1	ACD90996.1	ACD90995.1	ACD90994.1	ACD90993.1	ACD90992.1	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	Glycine hydroxymethyltransferase	DNA primase	MotA/TolQ/ExbB proton channel	conserved hypothetical protein	Biopolymer transport protein ExbD/TolR	TonB family protein	GCA_000020465.1_ASM2046v1	genomes/GCA_000020465.1_ASM2046v1/GCA_000020465.1_ASM2046v1_feature_table.txt
136	180	ABG59284.1	Cytophaga hutchinsonii ATCC 33406	dps		paaH	exbB			tonB	-	+	+	-	-	-	-	ABG59287.1	ABG59286.1	ABG59285.1	ABG59284.1	ABG59283.1	ABG59282.1	ABG59281.1	DNA-binding protein; DPS family protein	conserved hypothetical protein	3-hydroxybutyryl-CoA dehydrogenase	outer membrane transport energization protein ExbB	outer membrane transport energization protein ExbD	outer membrane transport energization protein ExbD	outer membrane transport energization protein TonB	GCA_000014145.1_ASM1414v1	genomes/GCA_000014145.1_ASM1414v1/GCA_000014145.1_ASM1414v1_feature_table.txt
137	181	AKD02510.1	Pontibacter korlensis								-	-	+	+	+	+	+	AKD02507.1	AKD02508.1	AKD02509.1	AKD02510.1	AKD02511.1	AKD02512.1	AKD02513.1	cysteine desulfurase	phosphoglucosamine mutase	pyrophosphatase	flagellar motor protein MotA	biopolymer transporter ExbD	biopolymer transporter ExbD	energy transducer TonB	GCA_000973725.1_ASM97372v1	genomes/GCA_000973725.1_ASM97372v1/GCA_000973725.1_ASM97372v1_feature_table.txt
138	182	UAK41566.1	Bacteroides nordii			rrf					-	-	-	-	-	-	-				UAK41566.1	UAK41565.1	UAK41564.1	UAK41563.1	tRNA-Ala	23S ribosomal RNA	5S ribosomal RNA	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	TonB family protein	GCA_019930665.1_ASM1993066v1	genomes/GCA_019930665.1_ASM1993066v1/GCA_019930665.1_ASM1993066v1_feature_table.txt
139	183	BCI63438.1	Coprobacter secundus subsp. similis								+	+	+	-	-	-	-	BCI63441.1	BCI63440.1	BCI63439.1	BCI63438.1	BCI63437.1	BCI63436.1	BCI63435.1	multidrug transporter AcrB	cation efflux system protein	hypothetical protein	flagellar motor protein MotA	biopolymer transporter ExbD	biopolymer transporter ExbD	cell envelope biogenesis protein TonB	GCA_015097275.1_ASM1509727v1	genomes/GCA_015097275.1_ASM1509727v1/GCA_015097275.1_ASM1509727v1_feature_table.txt
140	186	ADE86105.1	Rhodobacter capsulatus SB 1003				exbB	exbD1	tonB		-	-	+	+	+	+	-	ADE86102.1	ADE86103.1	ADE86104.1	ADE86105.1	ADE86106.1	ADE86107.1	ADE86108.1	"monosacharide ABC transporter, ATP-binding protein"	"monosacharide ABC transporter, periplasmic monosacharide-binding protein"	"transcriptional regulator, LacI family"	biopolymer transport protein ExbB	biopolymer transport protein ExbD-1	protein TonB	conserved hypothetical protein	GCA_000021865.1_ASM2186v1	genomes/GCA_000021865.1_ASM2186v1/GCA_000021865.1_ASM2186v1_feature_table.txt
141	187	ABA05559.1	Nitrobacter winogradskyi Nb-255								-	+	-	+	+	+	-	ABA05556.1	ABA05557.1	ABA05558.1	ABA05559.1	ABA05560.1	ABA05561.1	ABA05562.1	Siderophore synthetase component	Fec I like protein	hypothetical protein	outer membrane transport energization protein ExbB	outer membrane transport energization protein ExbD	outer membrane transport energization protein TonB	conserved hypothetical protein	GCA_000012725.1_ASM1272v1	genomes/GCA_000012725.1_ASM1272v1/GCA_000012725.1_ASM1272v1_feature_table.txt
142	190	ABA03969.1	Nitrobacter winogradskyi Nb-255								+	+	+	+	+	+	+	ABA03966.1	ABA03967.1	ABA03968.1	ABA03969.1	ABA03970.1	ABA03971.1	ABA03972.1	TonB-dependent receptor	2OG-Fe(II) oxygenase	FMN-dependent alpha-hydroxy acid dehydrogenase	outer membrane transport energization protein ExbB	outer membrane transport energization protein ExbD	TonB protein	invasion associated locus B	GCA_000012725.1_ASM1272v1	genomes/GCA_000012725.1_ASM1272v1/GCA_000012725.1_ASM1272v1_feature_table.txt
143	191	AJJ56099.1	Yersinia pseudotuberculosis IP 32953		yghB	metC	exbB	exbD			+	-	-	+	+	-	-	AJJ56545.1	AJJ53740.1	AJJ56787.1	AJJ56099.1	AJJ54906.1	AJJ53488.1	AJJ54169.1	helix-turn-helix domain protein	inner membrane protein YghB	cystathionine beta-lyase	tonB-system energizer ExbB	TonB system transport protein ExbD	hypothetical protein	von Willebrand factor type A domain protein	GCA_000834295.1_ASM83429v1	genomes/GCA_000834295.1_ASM83429v1/GCA_000834295.1_ASM83429v1_feature_table.txt
144	192	AJJ31614.1	Yersinia pestis		yghB	metC	exbB	exbD			-	+	+	-	-	+	+	AJJ29945.1	AJJ33248.1	AJJ31216.1	AJJ31614.1	AJJ33284.1	AJJ32721.1	AJJ30169.1	helix-turn-helix domain protein	inner membrane protein YghB	cystathionine beta-lyase	tonB-system energizer ExbB	TonB system transport protein ExbD	hypothetical protein	von Willebrand factor type A domain protein	GCA_000834775.1_ASM83477v1	genomes/GCA_000834775.1_ASM83477v1/GCA_000834775.1_ASM83477v1_feature_table.txt
145	193	QXB09426.1	Klebsiella aerogenes			metC	exbB	exbD		yghU	-	+	+	-	-	-	+	QXB09429.1	QXB09428.1	QXB09427.1	QXB09426.1	QXB09425.1	QXB09424.1	QXB09423.1	AraC family transcriptional regulator	DedA family protein	cystathionine beta-lyase	tol-pal system-associated acyl-CoA thioesterase	TonB system transport protein ExbD	TIGR00645 family protein	glutathione-dependent disulfide-bond oxidoreductase	GCA_019048125.1_ASM1904812v1	genomes/GCA_019048125.1_ASM1904812v1/GCA_019048125.1_ASM1904812v1_feature_table.txt
146	194	QKY94846.1	Shigella sonnei	yqhC		metC	exbB	exbD	yghA		+	-	-	+	+	-	+	QKY94843.1	QKY94844.1	QKY94845.1	QKY94846.1	QKY94847.1	QKY94848.1	QKY94849.1	DNA-binding transcriptional regulator YqhC	DedA family protein	cystathionine beta-lyase	tol-pal system-associated acyl-CoA thioesterase	TonB system transport protein ExbD	NADP(+)-dependent aldehyde reductase	TIGR00645 family protein	GCA_013374815.1_ASM1337481v1	genomes/GCA_013374815.1_ASM1337481v1/GCA_013374815.1_ASM1337481v1_feature_table.txt
147	195	AAC76042.1	Escherichia coli str. K-12 substr. MG1655	yqhC	yghB	metC	exbB	exbD	yghA	yqhA	-	+	+	-	-	+	-	AAC76046.2	AAC76045.1	AAC76044.1	AAC76042.1	AAC76041.1	AAC76039.1	AAC76038.1	DNA-binding transcriptional activator YqhC	DedA family protein YghB	cystathionine beta-lyase/L-cysteine desulfhydrase/alanine racemase	Ton complex subunit ExbB	Ton complex subunit ExbD	NADP(+)-dependent aldehyde reductase	UPF0114 family protein YqhA	GCA_000005845.2_ASM584v2	genomes/GCA_000005845.2_ASM584v2/GCA_000005845.2_ASM584v2_feature_table.txt
148	196	CDK97637.1	Magnetospirillum gryphiswaldense MSR-1 v2		hmuV		exbB	exbD			-	-	-	-	-	-	-	CDK97640.1	CDK97639.1	CDK97638.1	CDK97637.1	CDK97636.1	CDK97635.1	CDK97634.1	ABC transporter permease protein	Hemin import ATP-binding protein HmuV	conserved protein of unknown function	membrane spanning protein in TonB-ExbB-ExbD complex	Biopolymer transport protein exbD	"putative periplasmic protein TonB, links inner and outer membranes"	Putative transcriptional regulator	GCA_000513295.1_MGMSRv2	genomes/GCA_000513295.1_MGMSRv2/GCA_000513295.1_MGMSRv2_feature_table.txt
149	197	ABQ60495.1	Brucella ovis ATCC 25840					exbD			-	-	-	+	+	+	-	ABQ60693.1	ABQ61806.1	ABQ61861.1	ABQ60495.1	ABQ61090.1	ABQ61566.1	ABQ60744.1	conserved hypothetical protein	conserved hypothetical protein	hypothetical protein	ExbB	TonB system transport protein ExbD	TonB protein	conserved hypothetical protein	GCA_000016845.1_ASM1684v1	genomes/GCA_000016845.1_ASM1684v1/GCA_000016845.1_ASM1684v1_feature_table.txt
