assembly	organism	refAccession	refStart	refEnd	refStrand	refDesc	senseMinusThreeAccession	senseMinusThreeStart	senseMinusThreeEnd	senseMinusThreeStrand	senseMinusThreeDesc	senseMinusTwoAccession	senseMinusTwoStart	senseMinusTwoEnd	senseMinusTwoStrand	senseMinusTwoDesc	senseMinusOneAccession	senseMinusOneStart	senseMinusOneEnd	senseMinusOneStrand	senseMinusOneDesc	sensePlusOneAccession	sensePlusOneStart	sensePlusOneEnd	sensePlusOneStrand	sensePlusOneDesc	sensePlusTwoAccession	sensePlusTwoStart	sensePlusTwoEnd	sensePlusTwoStrand	sensePlusTwoDesc	sensePlusThreeAccession	sensePlusThreeStart	sensePlusThreeEnd	sensePlusThreeStrand	sensePlusThreeDesc	antisenseMinusThreeAccession	antisenseMinusThreeStart	antisenseMinusThreeEnd	antisenseMinusThreeStrand	antisenseMinusThreeDesc	antisenseMinusTwoAccession	antisenseMinusTwoStart	antisenseMinusTwoEnd	antisenseMinusTwoStrand	antisenseMinusTwoDesc	antisenseMinusOneAccession	antisenseMinusOneStart	antisenseMinusOneEnd	antisenseMinusOneStrand	antisenseMinusOneDesc	antisensePlusOneAccession	antisensePlusOneStart	antisensePlusOneEnd	antisensePlusOneStrand	antisensePlusOneDesc	antisensePlusTwoAccession	antisensePlusTwoStart	antisensePlusTwoEnd	antisensePlusTwoStrand	antisensePlusTwoDesc	antisensePlusThreeAccession	antisensePlusThreeStart	antisensePlusThreeEnd	antisensePlusThreeStrand	antisensePlusThreeDesc
GCA_000025185.1_ASM2518v1	Pirellula staleyi DSM 6068 (bacteria)	ADB17385	3512799	3513446	-	MotA/TolQ/ExbB proton channel	ADB17397	3532302	3533741	-	protein of unknown function DUF1501	ADB17387	3514677	3516359	-	hypothetical protein	ADB17386	3513623	3514435	-	hypothetical protein	ADB17384	3512229	3512705	-	Biopolymer transport protein ExbD/TolR	ADB17383	3511225	3512115	-	Biopolymer transport protein ExbD/TolR	ADB17382	3507349	3511116	-	Pyrrolo-quinoline quinone	ADB17379	3501843	3503279	+	serine/threonine protein kinase	ADB17378	3500733	3501425	+	pseudouridine synthase	ADB17373	3495131	3497041	+	histidine kinase	ADB17388	3516880	3519186	+	hypothetical protein	ADB17389	3519268	3520425	+	hypothetical protein	ADB17390	3520470	3521798	+	Glycosyl hydrolase family 98 putative carbohydrate binding module
GCA_000025185.1_ASM2518v1	Pirellula staleyi DSM 6068 (bacteria)	ADB17458	3609291	3610274	-	MotA/TolQ/ExbB proton channel	ADB17461	3620912	3622171	-	protein of unknown function DUF1501	ADB17460	3618116	3620485	-	Tetratricopeptide domain protein	ADB17459	3610350	3617987	-	Tetratricopeptide TPR_2 repeat protein	ADB17457	3608820	3609254	-	Biopolymer transport protein ExbD/TolR	ADB17456	3608356	3608757	-	Biopolymer transport protein ExbD/TolR	ADB17455	3607790	3608305	-	hypothetical protein	ADB17451	3601177	3602850	+	Na+/solute symporter	ADB17450	3600885	3601187	+	conserved hypothetical protein	ADB17444	3594094	3594312	+	conserved hypothetical protein	ADB17464	3625722	3627371	+	metal dependent phosphohydrolase	ADB17465	3627422	3627919	+	hypothetical protein	ADB17466	3628011	3629477	+	peptidase C14 caspase catalytic subunit p20
GCA_000025185.1_ASM2518v1	Pirellula staleyi DSM 6068 (bacteria)	ADB17547	3735233	3736174	+	MotA/TolQ/ExbB proton channel	ADB17546	3731895	3735125	+	Tetratricopeptide TPR_2 repeat protein	ADB17544	3729885	3730343	+	Antibiotic biosynthesis monooxygenase	ADB17543	3727559	3729781	+	conserved hypothetical protein	ADB17548	3736268	3736684	+	Biopolymer transport protein ExbD/TolR	ADB17549	3736729	3741765	+	hypothetical protein	ADB17552	3744049	3744873	+	hypothetical protein	ADB17553	3744914	3745375	-	amino acid-binding ACT domain protein	ADB17551	3743180	3743875	-	hypothetical protein	ADB17550	3741807	3743138	-	metal dependent phosphohydrolase	ADB17545	3730379	3731362	-	NAD-dependent epimerase/dehydratase	ADB17542	3725878	3727251	-	hypothetical protein	ADB17541	3724964	3725854	-	hypothetical protein
GCA_000025185.1_ASM2518v1	Pirellula staleyi DSM 6068 (bacteria)	ADB18835	5475639	5476472	+	MotA/TolQ/ExbB proton channel	ADB18834	5474105	5475151	+	hypothetical protein	ADB18833	5470710	5473976	+	hypothetical protein	ADB18832	5467884	5470214	+	von Willebrand factor type A	ADB18836	5476623	5477069	+	Biopolymer transport protein ExbD/TolR	ADB18837	5477157	5477645	+	Biopolymer transport protein ExbD/TolR	ADB18839	5479633	5480616	+	UDP-glucose 4-epimerase	ADB18842	5484678	5485283	-	Superoxide dismutase	ADB18841	5482006	5484612	-	conserved hypothetical protein	ADB18838	5478451	5479395	-	integrase family protein	ADB18830	5464986	5466731	-	hypothetical protein	ADB18829	5463200	5464822	-	hypothetical protein	ADB18822	5453896	5454219	-	DNA-binding protein
GCA_000025185.1_ASM2518v1	Pirellula staleyi DSM 6068 (bacteria)	ADB18997	5675995	5676774	+	MotA/TolQ/ExbB proton channel	ADB18996	5675734	5675967	+	flagellar FlbD family protein	ADB18995	5673095	5675542	+	flagellar basal body FlaE domain protein	ADB18994	5672487	5672924	+	flagellar hook capping protein	ADB18998	5676777	5677562	+	OmpA/MotB domain protein	ADB18999	5677726	5678226	+	flagellar basal body-associated protein FliL	ADB19000	5678316	5678954	+	flagellar motor switch protein FliN	ADB19016	5694907	5695482	-	hypothetical protein	ADB19009	5686967	5687791	-	short-chain dehydrogenase/reductase SDR	ADB19006	5683408	5684589	-	hypothetical protein	ADB18978	5656377	5656529	-	hypothetical protein	ADB18976	5653151	5654620	-	protein of unknown function DUF980	ADB18975	5652243	5652998	-	hypothetical protein
GCA_000025605.1_ASM2560v1	Thermocrinis albus DSM 14484 (aquificales)	ADC89509	827768	828379	-	MotA/TolQ/ExbB proton channel	ADC89512	831522	832643	-	aminotransferase class V	ADC89511	830893	831528	-	Phosphoglycerate mutase	ADC89510	828366	830918	-	Tetratricopeptide TPR_2 repeat protein	ADC89508	827382	827771	-	Biopolymer transport protein ExbD/TolR	ADC89507	825794	826660	-	"putative circadian clock protein, KaiC"	ADC89493	816078	817196	-	major facilitator superfamily MFS_1	ADC89506	825217	825807	+	Queuosine synthesis-like protein	ADC89505	825008	825220	+	conserved hypothetical protein	ADC89504	824095	824988	+	methionyl-tRNA formyltransferase	ADC89513	832678	833502	+	protein of unknown function DUF6 transmembrane	ADC89516	834621	835466	+	Linocin_M18 bacteriocin protein	ADC89518	836073	836663	+	glutamine amidotransferase of anthranilate synthase
GCA_000025605.1_ASM2560v1	Thermocrinis albus DSM 14484 (aquificales)	ADC89566	881881	882630	+	MotA/TolQ/ExbB proton channel	ADC89561	876900	877991	+	prephenate dehydratase	ADC89560	876474	876899	+	hypothetical protein	ADC89559	875825	876481	+	biotin/lipoate A/B protein ligase	ADC89567	882627	883358	+	OmpA/MotB domain protein	ADC89568	883361	883780	+	protein of unknown function UPF0079	ADC89569	883755	885182	+	Carbamoyl-phosphate synthase L chain ATP- binding protein	ADC89572	886549	886983	-	Rubrerythrin	ADC89571	885912	886499	-	conserved hypothetical protein	ADC89570	885170	885925	-	hypothetical protein	ADC89565	880652	881836	-	tryptophanyl-tRNA synthetase	ADC89564	879654	880655	-	hypothetical protein	ADC89563	878797	879657	-	band 7 protein
GCA_000025725.1_ASM2572v1	Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67090	312168	312932	+	MotA/TolQ/ExbB proton channel	ADD67089	309447	311936	+	fagellar hook-basal body protein	ADD67088	308748	309446	+	flagellar hook capping protein	ADD67087	307558	308724	+	flagellar hook-length control protein	ADD67091	312980	313723	+	OmpA/MotB domain protein	ADD67092	313728	314261	+	flagellar basal body-associated protein FliL	ADD67093	314271	314558	+	surface presentation of antigens (SPOA) protein	ADD67100	318446	319012	-	phospholipase D/Transphosphatidylase	ADD67099	318190	318435	-	"quinohemoprotein amine dehydrogenase, 60 kDa subunit"	ADD67098	317661	318188	-	Conserved protein/domain typically associated with flavoprotein oxygenase DIM6/NTAB family-like protein	ADD67080	302184	302432	-	"regulatory protein, FmdB family"	ADD67078	301208	301651	-	SsrA-binding protein	ADD67077	300588	301139	-	NAD(P)H dehydrogenase (quinone)
GCA_000025725.1_ASM2572v1	Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67609	851772	852395	-	MotA/TolQ/ExbB proton channel	ADD67612	855434	858025	-	"UTP-GlnB uridylyltransferase, GlnD"	ADD67611	854014	855453	-	putative PAS/PAC sensor protein	ADD67610	852755	853933	-	conserved hypothetical protein	ADD67608	851384	851785	-	Biopolymer transport protein ExbD/TolR	ADD67607	850699	851394	-	TonB family protein	ADD67606	850526	850684	-	hypothetical protein	ADD67595	838930	840774	+	periplasmic/7TM domain sensor diguanylate cyclase	ADD67593	837125	838012	+	protein of unknown function DUF6 transmembrane	ADD67592	835392	836792	+	transposase IS4 family protein	ADD67614	858657	859976	+	MiaB-like tRNA modifying enzyme	ADD67615	859918	861570	+	FAD-dependent pyridine nucleotide-disulfide oxidoreductase	ADD67616	861689	862567	+	phosphoribosylaminoimidazole-succinocarboxamide synthase
GCA_000025725.1_ASM2572v1	Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67744	1016317	1017660	+	MotA/TolQ/ExbB proton channel	ADD67743	1015574	1016320	+	hypothetical protein	ADD67742	1014327	1015577	+	hypothetical protein	ADD67741	1013662	1014327	+	hypothetical protein	ADD67745	1017653	1018168	+	MotA/TolQ/ExbB proton channel	ADD67746	1018165	1018572	+	Biopolymer transport protein ExbD/TolR	ADD67747	1018575	1019255	+	TonB family protein	ADD67756	1031371	1032126	-	hypothetical protein	ADD67755	1029453	1031315	-	ABC transporter related protein	ADD67754	1028770	1029453	-	heat shock protein DnaJ domain protein	ADD67737	1005215	1006258	-	"transcriptional regulator, AraC family"	ADD67736	1003101	1005131	-	TonB-dependent receptor	ADD67730	995634	996578	-	"transcriptional regulator, AraC family"
GCA_000025725.1_ASM2572v1	Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67874	1155396	1156013	+	MotA/TolQ/ExbB proton channel	ADD67873	1152725	1155379	+	hypothetical protein	ADD67872	1152591	1152719	+	hypothetical protein	ADD67871	1151837	1152604	+	stationary-phase survival protein SurE	ADD67875	1156014	1156418	+	Biopolymer transport protein ExbD/TolR	ADD67876	1156419	1157135	+	hypothetical protein	ADD67877	1157135	1158289	+	protein of unknown function DUF185	ADD67887	1164733	1165662	-	conserved hypothetical protein	ADD67881	1159998	1161323	-	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	ADD67880	1159404	1159997	-	dethiobiotin synthase	ADD67866	1146128	1147222	-	histidine kinase	ADD67864	1144900	1145322	-	CoA-binding domain protein	ADD67863	1144043	1144897	-	ABC-type phosphate/phosphonate transport system periplasmic component-like protein
GCA_000025725.1_ASM2572v1	Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD68377	1680304	1681683	-	MotA/TolQ/ExbB proton channel	ADD68380	1683756	1684517	-	conserved hypothetical protein	ADD68379	1682536	1683753	-	hypothetical protein	ADD68378	1681673	1682434	-	conserved hypothetical protein	ADD68376	1679708	1680304	-	MotA/TolQ/ExbB proton channel	ADD68375	1679301	1679711	-	Biopolymer transport protein ExbD/TolR	ADD68374	1678627	1679301	-	TonB family protein	ADD68361	1660280	1661494	+	transposase mutator type	ADD68353	1651708	1652367	+	"two component transcriptional regulator, LuxR family"	ADD68352	1650246	1651694	+	PAS/PAC sensor signal transduction histidine kinase	ADD68382	1687125	1688165	+	"transcriptional regulator, AraC family"	ADD68383	1688346	1689575	+	Phosphoglycerate mutase	ADD68388	1693745	1695163	+	integral membrane sensor signal transduction histidine kinase
GCA_000025945.1_ASM2594v1	Desulfotalea psychrophila LSv54 (d-proteobacteria)	CAG37138	2625435	2626526	-	related to two-component system response regulator (hybrid family)	CAG37023	2630667	2631317	-	conserved hypothetical membrane protein	CAG37022	2630338	2630646	-	hypothetical protein	CAG37021	2626523	2629831	-	related to two-component system sensory/regulatory protein (hybrid family)	CAG37019	2624812	2625024	-	unknown protein	CAG37018	2623169	2624473	-	hypothetical protein	CAG37017	2622115	2622903	-	"related to toluene ABC-transporter, permease protein"	CAG37011	2618194	2618805	+	hypothetical protein	CAG37010	2616145	2618136	+	"probable topoisomerase IV, subunit A"	CAG37009	2614232	2616073	+	"probable topoisomerase IV, subunit B"	CAG37031	2636232	2636531	+	unknown protein	CAG37032	2636528	2637580	+	hypothetical protein	CAG37033	2637564	2638733	+	unknown protein
GCA_000025945.1_ASM2594v1	Desulfotalea psychrophila LSv54 (d-proteobacteria)	CAG37394	2901330	2902499	-	probable 8-amino-7-oxononanoate synthase (BioF)	CAG37279	2904893	2905897	-	related to malonyl CoA-acyl carrier protein transacylase	CAG37278	2903793	2904803	-	related to biotin synthetase (BioB)	CAG37277	2902496	2903803	-	probable Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA)	CAG37275	2900641	2901333	-	hypothetical protein	CAG37274	2899886	2900644	-	related to biotin synthesis protein (BioC)	CAG37273	2899186	2899857	-	probable dethiobiotin synthase (BioD)	CAG37270	2897445	2898665	+	conserved hypothetical protein	CAG37264	2887782	2888006	+	unknown protein	CAG37263	2886661	2887731	+	probable phosphoribosyl-formylglycinamidine cyclo-ligase	CAG37282	2909666	2910367	+	probable cell division ATP-binding protein (FtsE)	CAG37283	2910364	2911251	+	related to cell division protein (FtsX)	CAG37284	2911251	2912528	+	related to lipoprotein NlpD/LppB
GCA_000025945.1_ASM2594v1	Desulfotalea psychrophila LSv54 (d-proteobacteria)	CAG37703	3229469	3229996	+	conserved hypothetical protein	CAG37581	3222663	3225839	+	hypothetical protein	CAG37580	3220198	3222480	+	related to collagenase	CAG37579	3219290	3219964	+	unknown protein	CAG37594	3236283	3236708	+	unknown protein	CAG37595	3236705	3237994	+	hypothetical protein	CAG37596	3238121	3238531	+	probable ferric uptake regulatory protein	CAG37588	3231801	3232688	-	related to tRNA/rRNA methyltransferase	CAG37587	3231442	3231546	-	unknown protein	CAG37586	3230085	3231398	-	related to metal-dependent aminohydrolases	CAG37584	3228892	3229113	-	unknown protein	CAG37583	3227249	3228796	-	unknown protein	CAG37582	3225852	3227252	-	hypothetical protein
GCA_000092245.1_ASM9224v1	Arcobacter nitrofigilis DSM 7299 (e-proteobacteria)	ADG94140	2483058	2483813	-	MotA/TolQ/ExbB proton channel	ADG94143	2485113	2486981	-	TPR repeat-containing protein	ADG94142	2484712	2485029	-	polar flagellin	ADG94141	2483817	2484698	-	surface presentation of antigens (SPOA) protein	ADG94139	2482275	2483045	-	OmpA/MotB domain protein	ADG94138	2481985	2482278	-	conserved hypothetical protein	ADG94137	2481594	2481971	-	conserved hypothetical protein	ADG94120	2463535	2463873	+	conserved hypothetical protein	ADG94115	2459023	2459658	+	dethiobiotin synthase	ADG94108	2451717	2452784	+	protein of unknown function UPF0118	ADG94156	2498597	2499388	+	flagellar basal-body rod protein FlgG	ADG94157	2499402	2499839	+	conserved hypothetical protein	ADG94158	2499842	2501101	+	hypothetical protein
GCA_000092425.1_ASM9242v1	Truepera radiovictrix DSM 17093 (bacteria)	ADI15492	2608026	2608757	-	MotA/TolQ/ExbB proton channel	ADI15495	2612809	2613168	-	arsenate reductase-like protein	ADI15494	2612003	2612779	-	metallophosphoesterase	ADI15493	2609060	2611834	-	Phosphoenolpyruvate carboxylase	ADI15491	2607590	2608000	-	Biopolymer transport protein ExbD/TolR	ADI15490	2605511	2607583	-	hypothetical protein	ADI15489	2604261	2605469	-	peptidase S8 and S53 subtilisin kexin sedolisin	ADI15488	2603556	2604236	+	cell division ATP-binding protein FtsE	ADI15487	2603142	2603447	+	hypothetical protein	ADI15486	2600206	2603145	+	DNA topoisomerase I	ADI15496	2613406	2615511	+	diguanylate cyclase with GAF sensor	ADI15497	2615565	2616035	+	"transcriptional regulator, AsnC family"	ADI15498	2616032	2617195	+	acetyltransferase involved in intracellular survival and related acetyltransferase
GCA_000144605.1_ASM14460v1	Brevundimonas subvibrioides ATCC 15264 (a-proteobacteria)	ADL00174	861493	862260	+	protein TolQ	ADL00173	860966	861400	+	hypothetical protein	ADL00172	860454	860900	+	tol-pal system-associated acyl-CoA thioesterase	ADL00168	855812	858652	+	peptidase M16 domain protein	ADL00175	862262	862723	+	protein TolR	ADL00176	863355	863558	+	hypothetical protein	ADL00177	863701	865101	+	Tol-Pal system beta propeller repeat protein TolB	ADL00207	895416	896000	-	conserved hypothetical protein	ADL00206	892916	895294	-	PAS/PAC sensor signal transduction histidine kinase	ADL00188	875101	875466	-	conserved hypothetical protein	ADL00171	859771	860355	-	peptide deformylase	ADL00170	859553	859771	-	hypothetical protein	ADL00169	858803	859474	-	KDPG and KHG aldolase
GCA_000144605.1_ASM14460v1	Brevundimonas subvibrioides ATCC 15264 (a-proteobacteria)	ADL01024	1690743	1691624	+	MotA/TolQ/ExbB proton channel	ADL01023	1690033	1690200	+	protein of unknown function DUF329	ADL01022	1688999	1690027	+	RNA-binding protein AU-1/Ribonuclease E/G	ADL01021	1688424	1689002	+	maf protein	ADL01025	1691630	1692067	+	Biopolymer transport protein ExbD/TolR	ADL01026	1692082	1692789	+	TonB family protein	ADL01033	1698603	1699637	+	Cyclopropane-fatty-acyl-phospholipid synthase	ADL01029	1694773	1695180	-	Carboxymuconolactone decarboxylase	ADL01028	1694114	1694773	-	"3-oxoacid CoA-transferase, B subunit"	ADL01027	1693034	1694065	-	hypothetical protein	ADL01016	1681635	1682591	-	Hsp33 protein	ADL01015	1680762	1681559	-	conserved hypothetical protein	ADL01008	1671586	1673871	-	integral membrane sensor hybrid histidine kinase
GCA_000144605.1_ASM14460v1	Brevundimonas subvibrioides ATCC 15264 (a-proteobacteria)	ADL02462	3243987	3244856	+	MotA/TolQ/ExbB proton channel	ADL02461	3242127	3243923	+	AMP-dependent synthetase and ligase	ADL02459	3239846	3241174	+	conserved hypothetical protein	ADL02458	3239277	3239828	+	Lipocalin family protein	ADL02463	3244976	3245266	+	hypothetical protein	ADL02464	3245454	3245744	+	conserved hypothetical protein	ADL02465	3245852	3247630	+	tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC	ADL02469	3251929	3253239	-	major facilitator superfamily MFS_1	ADL02468	3250210	3251613	-	Methylmalonyl-CoA mutase	ADL02467	3248069	3250213	-	"methylmalonyl-CoA mutase, large subunit"	ADL02460	3241235	3241756	-	hypothetical protein	ADL02456	3237180	3238160	-	ABC transporter related protein	ADL02455	3236416	3237183	-	ABC-2 type transporter
GCA_000145215.1_ASM14521v1	Caldicellulosiruptor obsidiansis OB47 (firmicutes)	ADL42743	1567446	1568243	-	MotA/TolQ/ExbB proton channel	ADL42746	1570257	1571198	-	protein of unknown function DUF1385	ADL42745	1569401	1570267	-	"protein-(glutamine-N5) methyltransferase, release factor-specific"	ADL42744	1568309	1569376	-	peptide chain release factor 1	ADL42742	1566665	1567438	-	OmpA/MotB domain protein	ADL42741	1565833	1566600	-	zinc/iron permease	ADL42740	1564790	1565836	-	Sua5/YciO/YrdC/YwlC family protein	ADL42737	1562920	1563801	+	acetylglutamate kinase	ADL42736	1561860	1562891	+	N-acetyl-gamma-glutamyl-phosphate reductase	ADL42734	1558681	1559535	+	Cof-like hydrolase	ADL42755	1581365	1582117	+	protein of unknown function DUF1212	ADL42756	1582136	1582591	+	hypothetical protein	ADL42782	1607252	1608892	+	Hydantoinase/oxoprolinase
GCA_000147355.1_ASM14735v1	Sulfurimonas autotrophica DSM 16294 (e-proteobacteria)	ADN09321	1246739	1247503	-	MotA/TolQ/ExbB proton channel	ADN09331	1259921	1260373	-	Rhodanese domain protein	ADN09323	1248385	1249980	-	sulfatase	ADN09322	1247715	1248395	-	phosphoesterase PA-phosphatase related protein	ADN09320	1245947	1246726	-	OmpA/MotB domain protein	ADN09319	1245213	1245950	-	flagellar biosynthetic protein FliP	ADN09318	1244079	1245191	-	tRNA (uracil-5-)-methyltransferase	ADN09307	1232620	1233396	+	exodeoxyribonuclease III	ADN09306	1231661	1232542	+	succinate dehydrogenase subunit C	ADN09305	1230668	1231648	+	succinate dehydrogenase subunit B	ADN09324	1250091	1251395	+	UDP-N-acetylglucosamine pyrophosphorylase	ADN09325	1251466	1252803	+	protein of unknown function DUF463 YcjX family protein	ADN09326	1252800	1253843	+	conserved hypothetical protein
GCA_000164905.1_ASM16490v1	Hydrogenobacter thermophilus TK-6 (aquificales)	ADO44512	106141	106755	-	MotA/TolQ/ExbB proton channel	ADO44515	109901	111022	-	aminotransferase class V	ADO44514	109272	109907	-	Phosphoglycerate mutase	ADO44513	106757	109297	-	TPR repeat-containing protein	ADO44511	105752	106144	-	Biopolymer transport protein ExbD/TolR	ADO44510	105030	105752	-	protein of unknown function DUF218	ADO44508	101863	103209	-	adenosylmethionine-8-amino-7-oxononanoateaminotr ansferase	ADO44509	103388	105055	+	dihydroxy-acid dehydratase	ADO44506	99484	101181	+	Cytochrome-c3 hydrogenase	ADO44505	98177	99487	+	heterodisulfide reductase	ADO44516	111042	111872	+	protein of unknown function DUF6 transmembrane	ADO44524	118427	119239	+	4-diphosphocytidyl-2C-methyl-D-erythritolkinase	ADO44525	119327	120256	+	ribose-phosphate pyrophosphokinase
GCA_000165485.1_ASM16548v1	Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO68798	1200377	1201117	+	MotA/TolQ/ExbB proton channel family protein	ADO68795	1196535	1198454	+	Sensor protein	ADO68794	1194650	1196545	+	sensor protein	ADO68793	1192868	1194526	+	Pectin lyase	ADO68799	1201238	1201720	+	"Biopolymer transport protein, ExbD/TolR family"	ADO68800	1201760	1202347	+	Adventurous gliding motility protein AglS	ADO68801	1202425	1203090	+	Phosphoglycolate phosphatase	ADO68808	1210520	1211806	-	CBS/transporter associated domain protein	ADO68804	1205916	1206494	-	DedA family protein	ADO68802	1203087	1203305	-	conserved uncharacterized protein	ADO68797	1199190	1200071	-	General secretion protein E	ADO68796	1198461	1199180	-	uncharacterized protein	ADO68792	1192247	1192636	-	Putative 6-pyruvoyl tetrahydrobiopterin synthase
GCA_000165485.1_ASM16548v1	Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO70054	2769928	2770614	-	TolQ protein	ADO70062	2778872	2779435	-	conserved uncharacterized protein	ADO70061	2778272	2778868	-	conserved uncharacterized protein	ADO70055	2770688	2771359	-	TonB protein	ADO70053	2769433	2769846	-	"Biopolymer transport protein, ExbD/TolR family"	ADO70052	2768915	2769430	-	"Biopolymer transport protein, ExbD/TolR family"	ADO70050	2765929	2767530	-	Mg-chelatase	ADO70051	2767691	2768341	+	conserved uncharacterized protein	ADO70049	2764587	2765918	+	NADH dehydrogenase	ADO70046	2761884	2762387	+	conserved uncharacterized protein	ADO70056	2771360	2771614	+	uncharacterized protein	ADO70057	2771686	2774919	+	Oar protein	ADO70058	2774952	2775659	+	lipoprotein MlpA
GCA_000165485.1_ASM16548v1	Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO72879	6292394	6293128	-	MotA/TolQ/ExbB proton channel family protein	ADO72882	6297056	6298243	-	LysM domain protein	ADO72881	6295821	6296942	-	SMF family protein	ADO72880	6293283	6295811	-	topoisomerase	ADO72878	6291854	6292372	-	conserved uncharacterized protein	ADO72877	6291249	6291776	-	conserved uncharacterized protein	ADO72875	6289202	6290554	-	"Methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase, TrmFO"	ADO72876	6290820	6291206	+	conserved uncharacterized protein	ADO72870	6279330	6280112	+	transposase	ADO72869	6278969	6279307	+	"Transposase, OrfA"	ADO72885	6300023	6301993	+	conserved uncharacterized protein	ADO72890	6307510	6309927	+	"Glycosyl transferase, group 1"	ADO72891	6310036	6314367	+	Adventurous-gliding motility protein Z
GCA_000165485.1_ASM16548v1	Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO73220	6750131	6750838	+	MotA/TolQ/ExbB proton channel family protein	ADO73190	6719079	6720458	+	Monooxygenase family protein	ADO73186	6712096	6713706	+	conserved uncharacterized protein	ADO73185	6710095	6712056	+	OmpA domain protein	ADO73221	6750854	6751306	+	"Biopolymer transport protein, ExbD/TolR family"	ADO73223	6752852	6754378	+	Sensor protein	ADO73224	6754375	6755841	+	RNA polymerase sigma factor 54	ADO73228	6758210	6759154	-	Alpha/beta hydrolase	ADO73227	6757229	6758125	-	Transmembrane Gly-Cys-Arg domain protein	ADO73222	6751303	6752625	-	Magnesium transporter	ADO73219	6749260	6750087	-	conserved uncharacterized protein	ADO73218	6748417	6749166	-	"General secretion pathway protein E, N-terminal domain protein"	ADO73217	6747457	6748407	-	"General secretion pathway protein E, N-terminal domain protein"
GCA_000165485.1_ASM16548v1	Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO74176	7860221	7860925	+	Adventurous gliding motility protein X	ADO74173	7857315	7858139	+	Carotenoid synthesis regulator CarF	ADO74161	7845148	7845705	+	conserved uncharacterized protein	ADO74158	7842118	7843302	+	conserved uncharacterized protein	ADO74177	7860940	7861425	+	Transport energizing protein TolR	ADO74178	7861429	7862205	+	TonB-like protein	ADO74179	7862202	7863476	+	Protein TolB	ADO74187	7875795	7877123	-	Acyltransferase domain protein	ADO74184	7867421	7873177	-	Peptidase S8 and S53 subtilisin kexin sedolisin	ADO74183	7866891	7867265	-	uncharacterized protein	ADO74175	7859071	7860069	-	conserved uncharacterized protein	ADO74174	7858155	7858967	-	Glutamate racemase	ADO74172	7856520	7857173	-	conserved uncharacterized protein
GCA_000165485.1_ASM16548v1	Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO75002	8880668	8881369	+	MotA/TolQ/ExbB proton channel family protein	ADO74994	8869605	8871200	+	Serine/threonine-protein kinase	ADO74989	8862815	8863546	+	conserved uncharacterized protein	ADO74987	8856869	8861551	+	conserved uncharacterized protein	ADO75003	8881373	8881813	+	"Transport energizing protein, ExbD/TolR family"	ADO75004	8881830	8882627	+	"Ferric siderophore transporter, periplasmic energy transduction protein TonB"	ADO75006	8883308	8884201	+	conserved uncharacterized protein	ADO75008	8885331	8886569	-	Inner-membrane translocator	ADO75007	8884214	8885296	-	"Oxidoreductase, Gfo/Idh/MocA family"	ADO75005	8882624	8883139	-	"Transcriptional regulator, MarR family"	ADO75001	8879070	8880521	-	conserved uncharacterized protein	ADO75000	8878056	8879051	-	"ATPase, AAA family"	ADO74999	8876234	8878063	-	conserved uncharacterized protein
GCA_000165485.1_ASM16548v1	Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO76074	10173486	10174160	-	MotA/TolQ/ExbB proton channel family protein	ADO76077	10177391	10178110	-	"ABC transporter, permease protein"	ADO76076	10175754	10177382	-	"ABC transporter, inner membrane protein"	ADO76075	10174242	10175735	-	conserved uncharacterized protein	ADO76073	10173055	10173483	-	"Transport energizing protein, ExbD/TolR family"	ADO76072	10172244	10173044	-	"Ferric siderophore transporter, periplasmic energy transduction protein TonB"	ADO76071	10169496	10172213	-	TonB family protein	ADO76069	10168077	10168424	+	uncharacterized protein	ADO76068	10167327	10167947	+	uncharacterized protein	ADO76067	10166776	10167018	+	uncharacterized protein	ADO76081	10182760	10183089	+	Conserved uncharacterized protein	ADO76082	10183070	10183234	+	Conserved uncharacterized protein	ADO76083	10183476	10183721	+	Conserved uncharacterized protein
