#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3AEAAA4FF4D93608-2C25B46CC2CA0C9B
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-08-16T00:44:06	Run time	0:00:01:00
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#205 - AFE08685.1	superfamily	223881	22	207	2.47868e-36	127.043	cl42820	TolQ superfamily	 - 	 - 
Q#206 - ADO76074.1	superfamily	223881	25	220	1.43245e-34	122.421	cl42820	TolQ superfamily	 - 	 - 
Q#207 - ADO75002.1	superfamily	223881	26	221	8.7514e-35	123.191	cl42820	TolQ superfamily	 - 	 - 
Q#208 - ACL64950.1	superfamily	223881	6	204	7.18949e-26	99.6942	cl42820	TolQ superfamily	 - 	 - 
Q#209 - AWV89332.1	superfamily	223881	11	206	1.48482e-41	140.525	cl42820	TolQ superfamily	 - 	 - 
Q#210 - UPT74212.1	superfamily	223881	1	179	3.27509e-31	112.406	cl42820	TolQ superfamily	 - 	 - 
Q#211 - AUX23532.1	superfamily	223881	10	215	1.69458e-34	123.191	cl42820	TolQ superfamily	 - 	 - 
Q#212 - UPT75425.1	superfamily	223881	1	215	3.09004e-36	126.658	cl42820	TolQ superfamily	 - 	 - 
Q#213 - UPT76060.1	superfamily	444982	9	105	5.14228e-32	109.119	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#214 - ABF91342.1	superfamily	223881	6	214	3.96866e-35	124.347	cl42820	TolQ superfamily	 - 	 - 
Q#215 - UEO07578.1	superfamily	223881	6	214	3.96866e-35	124.347	cl42820	TolQ superfamily	 - 	 - 
Q#216 - AFE10516.1	superfamily	223881	7	213	4.74705e-40	137.059	cl42820	TolQ superfamily	 - 	 - 
Q#217 - ADO73220.1	superfamily	223881	7	212	3.20494e-33	119.339	cl42820	TolQ superfamily	 - 	 - 
Q#218 - ACL67494.1	superfamily	223881	8	216	8.01221e-41	138.985	cl42820	TolQ superfamily	 - 	 - 
Q#219 - UPT72845.1	superfamily	223881	9	180	7.34196e-27	102.005	cl42820	TolQ superfamily	 - 	 - 
Q#220 - UPT72618.1	superfamily	223881	115	307	2.22847e-40	140.14	cl42820	TolQ superfamily	 - 	 - 
Q#221 - BAC89082.1	superfamily	223881	16	192	1.76353e-27	103.931	cl42820	TolQ superfamily	 - 	 - 
Q#222 - QAT17178.1	superfamily	223881	27	231	1.23687e-12	64.641	cl42820	TolQ superfamily	 - 	 - 
Q#223 - ADG92738.1	superfamily	223881	45	164	6.21201e-27	100.85	cl42820	TolQ superfamily	N	 - 
Q#224 - ADG92304.1	superfamily	444982	59	148	2.21839e-24	91.0148	cl00568	MotA_ExbB superfamily	N	 - 
Q#225 - ACX75330.1	superfamily	444982	59	159	2.82171e-28	102.186	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#226 - AAG04849.1	superfamily	444982	1	246	1.77239e-166	459.408	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#227 - AOP58989.1	superfamily	444982	1	246	1.77239e-166	459.408	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#228 - AAY38464.1	superfamily	444982	1	246	5.26005e-163	450.549	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#229 - ABY99795.1	superfamily	444982	1	246	2.02013e-167	461.72	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#230 - ABD81419.1	superfamily	444982	1	246	1.08537e-161	447.082	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#231 - MBU2985819.1	superfamily	444982	1	246	3.87321e-161	445.927	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#232 - QEI19744.1	superfamily	444982	1	246	6.09899e-159	440.534	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#233 - ABM19051.1	superfamily	444982	1	246	3.75351e-156	433.215	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#234 - CCG94812.1	superfamily	444982	1	246	3.75351e-156	433.215	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#235 - EHJ04494.1	superfamily	444982	1	246	2.19363e-153	426.281	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#236 - ADP98060.1	superfamily	444982	3	248	4.29618e-153	425.511	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#237 - AGH77405.1	superfamily	444982	1	246	4.62297e-152	422.815	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#238 - AAM41180.1	superfamily	444982	1	246	7.09077e-154	427.437	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#239 - ACL72428.1	superfamily	444982	1	245	7.30046e-144	402.014	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#240 - EGW21349.1	superfamily	444982	1	246	4.34032e-132	372.739	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#241 - ABK36904.1	superfamily	444982	1	242	9.12808e-93	272.972	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#242 - EKB18759.1	superfamily	444982	1	235	7.58124e-93	273.357	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#243 - QCG47006.1	superfamily	444982	1	242	3.7274e-93	274.127	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#244 - AAN57256.1	superfamily	444982	1	243	1.37977e-95	279.905	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#245 - AVQ86535.1	superfamily	444982	1	241	5.36384e-100	291.076	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#246 - WP_010861725.1	superfamily	444982	1	241	5.36384e-100	291.076	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#247 - ATP10434.1	superfamily	444982	3	242	1.23525e-102	297.625	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#248 - ABK38289.1	superfamily	444982	1	240	2.95849e-100	291.847	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#249 - EKB20016.1	superfamily	444982	17	242	2.2295e-102	297.239	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#250 - QCG47681.1	superfamily	444982	6	243	1.87787e-100	292.232	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#251 - AAZ25503.1	superfamily	444982	1	244	6.53475e-120	341.537	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#252 - EAR29516.1	superfamily	444982	1	244	1.47041e-112	323.433	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#253 - EHR42267.1	superfamily	444982	1	245	7.34813e-110	316.114	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#254 - AOU49318.1	superfamily	444982	1	246	1.51056e-150	419.733	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#255 - ACT48178.1	superfamily	444982	1	246	2.96066e-124	352.708	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#256 - ABE50216.1	superfamily	444982	1	245	3.28912e-130	367.731	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#257 - AAZ97203.1	superfamily	444982	1	245	9.36189e-153	424.741	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#258 - QKS28544.1	superfamily	444982	1	245	4.37636e-152	422.815	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#259 - AAQ58696.1	superfamily	444982	1	246	3.79386e-154	428.207	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#260 - ADE10800.1	superfamily	444982	1	245	1.35297e-126	358.486	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#261 - CAL34488.1	superfamily	444982	1	257	1.52684e-176	485.77	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#262 - AFV42026.1	superfamily	444982	1	257	2.066e-172	475.37	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#263 - AOO65115.1	superfamily	444982	1	257	1.00953e-140	395.248	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#264 - AHE95900.1	superfamily	444982	1	245	6.73524e-67	207.656	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#265 - ADC89566.1	superfamily	224210	1	248	1.543e-62	196.66	cl42821	MotA superfamily	 - 	 - 
Q#266 - AHZ85791.1	superfamily	444982	1	246	6.09046e-94	276.053	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#267 - ACL65905.1	superfamily	444982	1	244	1.06893e-101	296.084	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#268 - BAM06016.1	superfamily	444982	22	248	1.10086e-86	257.949	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#269 - ALA58549.1	superfamily	444982	1	245	7.11036e-111	319.196	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#270 - AFL88814.1	superfamily	444982	1	242	6.43832e-89	263.727	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#271 - AFL88473.1	superfamily	444982	1	242	6.43832e-89	263.727	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#272 - ACO33277.1	superfamily	444982	23	245	1.1547e-86	258.334	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#273 - QOY88866.1	superfamily	444982	16	259	4.7868e-92	272.972	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#274 - QOY85398.1	superfamily	444982	49	272	8.9429e-78	236.378	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#275 - AAR36419.1	superfamily	444982	1	246	8.47295e-107	308.795	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#276 - ACH40744.1	superfamily	444982	1	246	2.79633e-115	330.367	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#277 - BCB96091.1	superfamily	444982	1	245	1.23391e-86	257.564	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#278 - ACI21187.1	superfamily	444982	1	245	1.84776e-91	269.89	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#279 - GAK41226.1	superfamily	444982	1	245	7.89813e-93	273.742	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#280 - ADL42743.1	superfamily	444982	1	245	4.70083e-92	271.816	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#281 - APC07539.1	superfamily	224210	13	266	4.23389e-82	247.507	cl42821	MotA superfamily	 - 	 - 
Q#282 - ALU36624.1	superfamily	224210	1	251	6.46151e-93	274.471	cl42821	MotA superfamily	 - 	 - 
Q#283 - ACL22206.1	superfamily	224210	1	251	2.55245e-82	247.507	cl42821	MotA superfamily	 - 	 - 
Q#284 - BAD41956.1	superfamily	444982	1	245	8.26478e-80	240.615	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#285 - ADZ92428.1	superfamily	444982	1	244	1.6913e-75	229.059	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#286 - APC08935.1	superfamily	444982	1	237	2.36521e-63	198.243	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#287 - CCW35905.1	superfamily	224210	1	250	2.3777e-94	277.938	cl42821	MotA superfamily	 - 	 - 
Q#288 - BAI84979.1	superfamily	444982	1	263	3.44305e-171	472.907	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#289 - UUH67684.1	superfamily	444982	1	263	3.44305e-171	472.907	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#290 - CAB13242.1	superfamily	444982	1	263	6.76935e-171	472.136	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#291 - AAU40425.3	superfamily	444982	1	263	7.31281e-167	461.736	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#292 - BAD76815.1	superfamily	444982	1	263	6.01708e-175	482.151	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#293 - AJH79515.1	superfamily	444982	1	257	6.32666e-160	444.402	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#294 - BAC14501.1	superfamily	444982	1	261	9.04829e-152	423.601	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#295 - BAD64518.1	superfamily	444982	1	262	7.24057e-147	411.275	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#296 - ATO49967.1	superfamily	444982	1	262	2.27977e-158	440.55	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#297 - GAK43333.1	superfamily	444982	2	265	4.95788e-133	376.221	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#298 - EGO64297.1	superfamily	444982	1	259	4.22386e-129	366.206	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#299 - AAS43541.1	superfamily	444982	1	264	6.29767e-135	380.844	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#300 - ALU34477.1	superfamily	444982	1	263	3.07162e-154	429.764	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#301 - UPH48256.1	superfamily	444982	1	264	1.5895e-152	426.297	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#302 - QFG02534.1	superfamily	224210	26	253	5.32166e-81	244.425	cl42821	MotA superfamily	 - 	 - 
Q#303 - EKT88755.1	superfamily	444982	12	251	1.19972e-67	209.029	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#304 - AAS71482.1	superfamily	444982	12	252	2.43629e-66	205.947	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#305 - ABZ98915.1	superfamily	224210	4	239	2.57328e-71	219.002	cl42821	MotA superfamily	 - 	 - 
Q#306 - ABY95376.1	superfamily	224210	1	272	4.34506e-73	224.395	cl42821	MotA superfamily	 - 	 - 
Q#307 - ATO49114.1	superfamily	444982	17	254	2.55651e-35	127.522	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#308 - QDU26963.1	superfamily	444982	15	246	2.09438e-67	209.569	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#309 - ADB18997.1	superfamily	224210	1	251	6.36672e-80	241.344	cl42821	MotA superfamily	 - 	 - 
Q#310 - QDU97593.1	superfamily	224210	1	252	5.23749e-83	249.048	cl42821	MotA superfamily	 - 	 - 
Q#311 - CAD76169.1	superfamily	444982	1	252	4.34674e-73	223.377	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#312 - ADY60068.1	superfamily	224210	25	257	4.54639e-81	244.425	cl42821	MotA superfamily	 - 	 - 
Q#313 - KGA96618.1	superfamily	444982	1	267	4.87869e-140	394.465	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#314 - WP_045481010.1	superfamily	444982	1	257	9.84936e-144	403.71	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#315 - BAB06959.1	superfamily	444982	1	269	1.44306e-168	466.498	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#316 - ADC48830.1	superfamily	444982	1	266	4.00332e-170	470.35	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#317 - BAC14181.1	superfamily	444982	1	275	7.44486e-154	429.904	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#318 - CAB14951.1	superfamily	444982	1	272	2.38919e-170	471.12	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#319 - BAI86480.1	superfamily	444982	9	280	5.15435e-170	470.735	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#320 - UUH68385.1	superfamily	444982	1	272	2.38919e-170	471.12	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#321 - AAU41985.1	superfamily	444982	1	272	1.66306e-178	491.921	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#322 - UOY13875.1	superfamily	224210	1	259	1.15584e-103	301.82	cl42821	MotA superfamily	 - 	 - 
Q#323 - AAC65690.1	superfamily	224210	1	259	1.15584e-103	301.82	cl42821	MotA superfamily	 - 	 - 
Q#324 - AWG41586.1	superfamily	224210	1	259	1.15584e-103	301.82	cl42821	MotA superfamily	 - 	 - 
Q#325 - AAS13283.1	superfamily	224210	1	252	1.4471e-95	281.019	cl42821	MotA superfamily	 - 	 - 
Q#326 - ACK74719.1	superfamily	224210	1	260	2.08199e-105	306.057	cl42821	MotA superfamily	 - 	 - 
Q#327 - AAO36203.1	superfamily	444982	1	274	8.98845e-89	264.653	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#328 - EKT86693.1	superfamily	224210	1	260	1.49318e-85	255.596	cl42821	MotA superfamily	 - 	 - 
Q#329 - AAS69243.1	superfamily	224210	1	260	4.02658e-85	254.826	cl42821	MotA superfamily	 - 	 - 
Q#330 - ABZ96341.1	superfamily	444982	20	258	2.10622e-78	237.689	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#331 - CCG57546.1	superfamily	224210	1	258	5.18883e-78	236.721	cl42821	MotA superfamily	 - 	 - 
Q#332 - AEM21069.1	superfamily	224210	1	258	4.91801e-70	216.306	cl42821	MotA superfamily	 - 	 - 
Q#333 - ACZ19557.1	superfamily	224210	1	251	9.06215e-97	284.486	cl42821	MotA superfamily	 - 	 - 
Q#334 - AAC07083.1	superfamily	224210	1	246	1.81164e-76	232.484	cl42821	MotA superfamily	 - 	 - 
Q#335 - AAD35759.1	superfamily	224210	1	261	7.34197e-99	289.494	cl42821	MotA superfamily	 - 	 - 
Q#336 - ACM24086.1	superfamily	224210	1	256	5.41731e-90	266.767	cl42821	MotA superfamily	 - 	 - 
Q#337 - APC07901.1	superfamily	224210	2	259	2.5211e-82	247.892	cl42821	MotA superfamily	 - 	 - 
Q#338 - ACL70428.1	superfamily	224210	1	252	8.10642e-89	264.456	cl42821	MotA superfamily	 - 	 - 
Q#339 - BAS27507.1	superfamily	224210	1	263	5.47108e-91	269.848	cl42821	MotA superfamily	 - 	 - 
Q#340 - QAT61614.1	superfamily	224210	1	258	1.28891e-90	268.693	cl42821	MotA superfamily	 - 	 - 
Q#341 - WP_010167663.1	superfamily	444982	6	243	2.2673e-84	252.712	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#342 - QAT63225.1	superfamily	224210	6	250	8.12044e-65	203.209	cl42821	MotA superfamily	 - 	 - 
Q#343 - CDK98228.1	superfamily	224210	1	254	4.67561e-45	152.363	cl42821	MotA superfamily	 - 	 - 
Q#344 - AEO48324.1	superfamily	224210	10	233	4.5282e-38	134.643	cl42821	MotA superfamily	 - 	 - 
Q#345 - QQS07318.1	superfamily	224210	29	258	2.98327e-39	137.34	cl42821	MotA superfamily	 - 	 - 
Q#346 - AAW87256.1	superfamily	224210	5	237	4.62032e-39	136.569	cl42821	MotA superfamily	 - 	 - 
Q#347 - BAH75114.1	superfamily	224210	1	258	4.7113e-54	175.475	cl42821	MotA superfamily	 - 	 - 
Q#348 - UBQ06690.1	superfamily	224210	1	251	4.08063e-43	148.125	cl42821	MotA superfamily	 - 	 - 
Q#349 - ACL73103.1	superfamily	224210	1	247	7.1983e-49	162.763	cl42821	MotA superfamily	 - 	 - 
Q#350 - EGW21193.1	superfamily	224210	47	272	9.85479e-43	146.585	cl42821	MotA superfamily	 - 	 - 
Q#351 - ATX82928.1	superfamily	224210	1	259	1.83541e-57	184.719	cl42821	MotA superfamily	 - 	 - 
Q#352 - ATX78592.1	superfamily	224210	1	257	3.40352e-58	186.645	cl42821	MotA superfamily	 - 	 - 
Q#353 - AHZ83417.1	superfamily	224210	1	255	5.89786e-47	157.37	cl42821	MotA superfamily	 - 	 - 
Q#354 - ACN16726.1	superfamily	224210	17	261	2.58486e-47	159.296	cl42821	MotA superfamily	 - 	 - 
Q#355 - QBZ82337.1	superfamily	224210	4	269	1.55272e-42	146.199	cl42821	MotA superfamily	 - 	 - 
Q#356 - UPT73159.1	superfamily	224210	1	253	2.00621e-69	216.691	cl42821	MotA superfamily	 - 	 - 
Q#357 - ABC44529.1	superfamily	224210	1	261	5.38102e-64	201.283	cl42821	MotA superfamily	 - 	 - 
Q#358 - AAS40674.1	superfamily	444982	24	277	3.95474e-159	442.492	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#359 - ACN14746.1	superfamily	444982	1	247	1.53899e-84	252.652	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#360 - ALF47869.1	superfamily	224210	1	252	6.34891e-83	249.048	cl42821	MotA superfamily	 - 	 - 
Q#361 - CAE11089.1	superfamily	224210	1	251	1.96476e-82	247.507	cl42821	MotA superfamily	 - 	 - 
Q#362 - ADN09321.1	superfamily	224210	1	251	5.68268e-78	236.336	cl42821	MotA superfamily	 - 	 - 
Q#363 - ACM93313.1	superfamily	224210	1	252	1.58588e-82	247.892	cl42821	MotA superfamily	 - 	 - 
Q#364 - ADG94140.1	superfamily	444982	1	215	2.85478e-52	170.219	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#365 - SCA58681.1	superfamily	224210	4	267	4.85635e-79	239.418	cl42821	MotA superfamily	 - 	 - 
Q#366 - USF23676.1	superfamily	444982	1	250	1.96796e-86	257.274	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#367 - ADD67090.1	superfamily	444982	1	250	6.39703e-90	266.134	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#368 - QAR32385.1	superfamily	444982	1	250	2.06391e-95	280.001	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#369 - QTD53836.1	superfamily	444982	1	254	1.35918e-77	234.933	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#370 - ATX82900.1	superfamily	224210	1	252	3.51125e-83	249.433	cl42821	MotA superfamily	 - 	 - 
Q#371 - ATX78565.1	superfamily	224210	1	252	4.34937e-79	239.032	cl42821	MotA superfamily	 - 	 - 
Q#372 - CAG37394.1	superfamily	444982	1	249	1.45577e-86	257.66	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#373 - ACV67875.1	superfamily	444982	1	260	1.52824e-87	261.186	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#374 - ABA88421.1	superfamily	444982	1	250	2.4743e-85	254.578	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#375 - RLG45601.1	superfamily	224210	1	254	2.03331e-92	272.93	cl42821	MotA superfamily	 - 	 - 
Q#376 - SHJ21761.1	superfamily	444982	1	253	2.23366e-90	267.29	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#377 - AAS94534.1	superfamily	224210	1	249	1.82945e-77	234.795	cl42821	MotA superfamily	 - 	 - 
Q#378 - WP_011369264.1	superfamily	444982	1	254	4.76417e-90	266.519	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#379 - RMG20999.1	superfamily	224210	6	261	4.70034e-92	272.16	cl42821	MotA superfamily	 - 	 - 
Q#380 - AAS96702.1	superfamily	224210	1	249	1.16831e-76	232.869	cl42821	MotA superfamily	 - 	 - 
Q#381 - AGC49899.1	superfamily	224210	1	247	1.22694e-68	212.454	cl42821	MotA superfamily	 - 	 - 
Q#382 - WP_011367497.1	superfamily	224210	1	249	3.25931e-74	226.706	cl42821	MotA superfamily	 - 	 - 
Q#383 - BAH74758.1	superfamily	224210	1	248	2.82731e-72	221.698	cl42821	MotA superfamily	 - 	 - 
Q#384 - ADZ91331.1	superfamily	224210	1	249	6.62485e-63	197.816	cl42821	MotA superfamily	 - 	 - 
Q#385 - ACN15951.1	superfamily	224210	1	252	1.72063e-65	204.364	cl42821	MotA superfamily	 - 	 - 
Q#386 - AAS95121.1	superfamily	444982	1	247	1.45787e-86	257.66	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#387 - GAC24033.1	superfamily	444982	1	254	2.08767e-164	454.882	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#388 - GAC39796.1	superfamily	444982	1	252	1.81136e-159	442.17	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#389 - AFS37991.1	superfamily	444982	1	253	1.45981e-162	450.259	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#390 - AEP29247.1	superfamily	444982	1	253	6.8468e-155	430.614	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#391 - AAV82967.1	superfamily	444982	1	254	7.84085e-158	438.318	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#392 - CCQ09345.1	superfamily	444982	1	254	9.22572e-153	425.221	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#393 - AAZ25713.1	superfamily	444982	1	254	9.479e-165	455.652	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#394 - EAR29227.1	superfamily	444982	1	252	4.61475e-164	453.726	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#395 - EHR39921.1	superfamily	444982	1	237	4.54933e-137	385.161	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#396 - UXK07481.1	superfamily	444982	1	254	2.4324e-177	487.624	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#397 - AAN54589.1	superfamily	444982	1	254	6.61714e-174	478.764	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#398 - ABV37930.1	superfamily	444982	1	254	1.21056e-172	475.683	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#399 - BAJ01094.1	superfamily	444982	1	254	5.74217e-173	476.453	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#400 - EKB20878.1	superfamily	444982	1	248	3.82997e-139	390.939	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#401 - ABK38943.1	superfamily	444982	1	252	1.01719e-139	392.479	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#402 - QCG47067.1	superfamily	444982	1	249	4.48479e-142	398.257	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#403 - ATP10768.1	superfamily	444982	1	252	3.10695e-147	411.354	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#404 - QEO41881.1	superfamily	444982	1	254	5.36316e-159	441.015	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#405 - AAF94054.1	superfamily	444982	1	254	5.36316e-159	441.015	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#406 - EEW08145.1	superfamily	444982	1	254	1.72987e-168	465.282	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#407 - EPE37367.1	superfamily	444982	1	255	1.6811e-148	414.821	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#408 - EDL52007.1	superfamily	444982	1	211	2.58968e-132	372.064	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#409 - BAC93635.1	superfamily	444982	1	253	5.30757e-170	468.749	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#410 - BAC58952.1	superfamily	444982	1	253	8.31591e-171	471.06	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#411 - EAS76273.1	superfamily	444982	1	253	1.39333e-169	467.979	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#412 - EAP91937.1	superfamily	444982	1	252	8.75391e-171	471.06	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#413 - AAW85209.1	superfamily	444982	1	254	6.73593e-169	466.053	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#414 - CAG19221.1	superfamily	444982	1	252	1.1189e-169	467.979	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#415 - GAA03428.1	superfamily	444982	1	215	1.10107e-143	400.569	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#416 - AVQ88446.1	superfamily	444982	1	249	6.55073e-145	405.576	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#417 - WP_010864309.1	superfamily	444982	1	249	6.55073e-145	405.576	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#418 - ABD82476.1	superfamily	444982	1	253	4.20949e-148	413.665	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#419 - MBU2985330.1	superfamily	444982	1	253	4.20949e-148	413.665	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#420 - ADZ90279.1	superfamily	444982	1	248	5.13376e-135	380.538	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#421 - EHJ02744.1	superfamily	444982	1	255	1.90394e-108	313.128	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#422 - ADP99774.1	superfamily	444982	1	255	3.1987e-107	310.047	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#423 - ABM17419.1	superfamily	444982	1	252	1.70097e-118	338.937	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#424 - CCG93764.1	superfamily	444982	1	252	4.75844e-118	337.781	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#425 - ABA57346.1	superfamily	444982	1	254	9.77606e-148	412.895	cl00568	MotA_ExbB superfamily	 - 	 - 
