Double-checking the MotB sequences / IDs in the file:  					motB_filtered.fasta										
															
"Notes for fixing on the right. The ones with the biggest issues are at the bottom, these are probably the cases where the MotA neighbor was not actually a MotB homolog, e.g. sometimes there is an insertion or switching from coding on + strand to - strand. "															
															
															
															
															
		names from: motB_filtered.fasta	MotA IDs from: motB_filtered.fasta		MotB IDs from: motB_filtered.fasta			These are hits in Nick's Excel file of gene neighbors to the MotA/TolQ/ExbB homologs; this contains clear MotB/TolR/ExbD homologs for most proteins (exceptions at the bottom)							
84	95	ADL02462_ADL02463_hypothetical protein_Brevundimonas subvibrioides ATCC 15264 (a-proteobacteria)	ADL02462	ADL02463_hypothetical protein_Brevundimonas subvibrioides ATCC 15264 (a-proteobacteria)	ADL02463	1126	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
85	96	ADL42743_ADL42742_OmpA/MotB domain protein_Caldicellulosiruptor obsidiansis OB47 (firmicutes)	ADL42743	ADL42742_OmpA/MotB domain protein_Caldicellulosiruptor obsidiansis OB47 (firmicutes)	ADL42742	880	1	ADL42742	ADL42742.1	OmpA/MotB domain protein		y			
86	97	ADN09321_ADN09320_OmpA/MotB domain protein_Sulfurimonas autotrophica DSM 16294 (e-proteobacteria)	ADN09321	ADN09320_OmpA/MotB domain protein_Sulfurimonas autotrophica DSM 16294 (e-proteobacteria)	ADN09320	962	1	ADN09320	ADN09320.1	OmpA/MotB domain protein		y			
87	98	ADO44512_ADO44511_Biopolymer transport protein ExbD/TolR_Hydrogenobacter thermophilus TK-6 (aquificales)	ADO44512	ADO44511_Biopolymer transport protein ExbD/TolR_Hydrogenobacter thermophilus TK-6 (aquificales)	ADO44511	205	1	ADO44511	ADO44511.1	Biopolymer transport protein ExbD/TolR		y			
88	99	"ADO68798_ADO68799_Biopolymer transport protein, ExbD/TolR family_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)"	ADO68798	"ADO68799_Biopolymer transport protein, ExbD/TolR family_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)"	ADO68799	176	1	ADO68799	ADO68799.1	"Biopolymer transport protein, ExbD/TolR family"		y			
89	100	"ADO70054_ADO70053_Biopolymer transport protein, ExbD/TolR family_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)"	ADO70054	"ADO70053_Biopolymer transport protein, ExbD/TolR family_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)"	ADO70053	749	1	ADO70053	ADO70053.1	"Biopolymer transport protein, ExbD/TolR family"		y			
90	102	"ADO73220_ADO73221_Biopolymer transport protein, ExbD/TolR family_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)"	ADO73220	"ADO73221_Biopolymer transport protein, ExbD/TolR family_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)"	ADO73221	817	1	ADO73221	ADO73221.1	"Biopolymer transport protein, ExbD/TolR family"		y			
91	103	ADO74176_ADO74177_Transport energizing protein TolR_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO74176	ADO74177_Transport energizing protein TolR_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)	ADO74177	633	1	ADO74177	ADO74177.1	Transport energizing protein TolR		y			
92	104	"ADO75002_ADO75003_Transport energizing protein, ExbD/TolR family_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)"	ADO75002	"ADO75003_Transport energizing protein, ExbD/TolR family_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)"	ADO75003	807	1	ADO75003	ADO75003.1	"Transport energizing protein, ExbD/TolR family"		y			
93	105	"ADO76074_ADO76073_Transport energizing protein, ExbD/TolR family_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)"	ADO76074	"ADO76073_Transport energizing protein, ExbD/TolR family_Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)"	ADO76073	806	1	ADO76073	ADO76073.1	"Transport energizing protein, ExbD/TolR family"		y			
94	107	ADV62354_ADV62319_hypothetical protein_Isosphaera pallida ATCC 43644 (bacteria)	ADV62354	ADV62319_hypothetical protein_Isosphaera pallida ATCC 43644 (bacteria)	ADV62319	284	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
95	111	ADV67905_ADV67906_Biopolymer transport protein ExbD/TolR_Deinococcus maricopensis DSM 21211 (bacteria)	ADV67905	ADV67906_Biopolymer transport protein ExbD/TolR_Deinococcus maricopensis DSM 21211 (bacteria)	ADV67906	199	1	ADV67906	ADV67906.1	Biopolymer transport protein ExbD/TolR		y			
96	112	ADY58078_ADY58079_hypothetical protein_Rubinisphaera brasiliensis DSM 5305 (planctomycetes)	ADY58078	ADY58079_hypothetical protein_Rubinisphaera brasiliensis DSM 5305 (planctomycetes)	ADY58079	1278	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
97	113	ADY58081_ADY58082_outer membrane transport energization protein ExbD_Rubinisphaera brasiliensis DSM 5305 (planctomycetes)	ADY58081	ADY58082_outer membrane transport energization protein ExbD_Rubinisphaera brasiliensis DSM 5305 (planctomycetes)	ADY58082	290	1	ADY58082	ADY58082.1	outer membrane transport energization protein ExbD		y			
98	115	ADY60068_ADY60069_OmpA/MotB domain protein_Rubinisphaera brasiliensis DSM 5305 (planctomycetes)	ADY60068	ADY60069_OmpA/MotB domain protein_Rubinisphaera brasiliensis DSM 5305 (planctomycetes)	ADY60069	912	1	ADY60069	ADY60069.1	OmpA/MotB domain protein		y			
99	116	ADY61978_ADY61979_Biopolymer transport protein ExbD/TolR_Rubinisphaera brasiliensis DSM 5305 (planctomycetes)	ADY61978	ADY61979_Biopolymer transport protein ExbD/TolR_Rubinisphaera brasiliensis DSM 5305 (planctomycetes)	ADY61979	298	1	ADY61979	ADY61979.1	Biopolymer transport protein ExbD/TolR		y			
100	117	ADY81529_ADY81530_possible biopolymer transport protein ExbD/TolR_Acinetobacter pittii PHEA-2 (g-proteobacteria)	ADY81529	ADY81530_possible biopolymer transport protein ExbD/TolR_Acinetobacter pittii PHEA-2 (g-proteobacteria)	ADY81530	312	1	ADY81530	ADY81530.1	possible biopolymer transport protein ExbD/TolR		y			
101	118	ADY81763_ADY81764_putative biopolymer transport protein (ExbD-like)_Acinetobacter pittii PHEA-2 (g-proteobacteria)	ADY81763	ADY81764_putative biopolymer transport protein (ExbD-like)_Acinetobacter pittii PHEA-2 (g-proteobacteria)	ADY81764	705	1	ADY81764	ADY81764.1	putative biopolymer transport protein (ExbD-like)		y			
102	119	ADY81773_ADY81774_putative biopolymer transport protein (ExbD-like)_Acinetobacter pittii PHEA-2 (g-proteobacteria)	ADY81773	ADY81774_putative biopolymer transport protein (ExbD-like)_Acinetobacter pittii PHEA-2 (g-proteobacteria)	ADY81774	704	1	ADY81774	ADY81774.1	putative biopolymer transport protein (ExbD-like)		y			
103	120	AEB12216_AEB12215_Biopolymer transport protein ExbD/TolR_Marinithermus hydrothermalis DSM 14884 (bacteria)	AEB12216	AEB12215_Biopolymer transport protein ExbD/TolR_Marinithermus hydrothermalis DSM 14884 (bacteria)	AEB12215	201	1	AEB12215	AEB12215.1	Biopolymer transport protein ExbD/TolR		y			
104	121	AEI15149_AEI15148_Biopolymer transport protein ExbD/TolR_Flexistipes sinusarabici DSM 4947 (bacteria)	AEI15149	AEI15148_Biopolymer transport protein ExbD/TolR_Flexistipes sinusarabici DSM 4947 (bacteria)	AEI15148	243	1	AEI15148	AEI15148.1	Biopolymer transport protein ExbD/TolR		y			
105	122	AEI88772_AEI88773_hypothetical protein_Candidatus Midichloria mitochondrii IricVA (a-proteobacteria)	AEI88772	AEI88773_hypothetical protein_Candidatus Midichloria mitochondrii IricVA (a-proteobacteria)	AEI88773	1131	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
106	123	AEI88825_AEI88826_TolR biopolymer transport protein_Candidatus Midichloria mitochondrii IricVA (a-proteobacteria)	AEI88825	AEI88826_TolR biopolymer transport protein_Candidatus Midichloria mitochondrii IricVA (a-proteobacteria)	AEI88826	598	1	AEI88826	AEI88826.1	TolR biopolymer transport protein		y			
107	124	AEI89251_AEI89250_flagellar motor protein MotB_Candidatus Midichloria mitochondrii IricVA (a-proteobacteria)	AEI89251	AEI89250_flagellar motor protein MotB_Candidatus Midichloria mitochondrii IricVA (a-proteobacteria)	AEI89250	1143	1	AEI89250	AEI89250.1	flagellar motor protein MotB		y			
108	128	AEO47594_AEO47595_biopolymer transport protein ExbD/TolR_Rhodospirillum rubrum F11 (a-proteobacteria)	AEO47594	AEO47595_biopolymer transport protein ExbD/TolR_Rhodospirillum rubrum F11 (a-proteobacteria)	AEO47595	602	1	AEO47595	AEO47595.1	biopolymer transport protein ExbD/TolR		y			
109	129	AEO48324_AEO48325_OmpA/MotB_Rhodospirillum rubrum F11 (a-proteobacteria)	AEO48324	AEO48325_OmpA/MotB_Rhodospirillum rubrum F11 (a-proteobacteria)	AEO48325	944	1	AEO48325	AEO48325.1	OmpA/MotB		y			
110	130	AEO48360_AEO48361_OmpA/MotB_Rhodospirillum rubrum F11 (a-proteobacteria)	AEO48360	AEO48361_OmpA/MotB_Rhodospirillum rubrum F11 (a-proteobacteria)	AEO48361	1142	1	AEO48361	AEO48361.1	OmpA/MotB		y			
111	131	AEO48685_AEO48684_biopolymer transport protein ExbD/TolR_Rhodospirillum rubrum F11 (a-proteobacteria)	AEO48685	AEO48684_biopolymer transport protein ExbD/TolR_Rhodospirillum rubrum F11 (a-proteobacteria)	AEO48684	609	1	AEO48684	AEO48684.1	biopolymer transport protein ExbD/TolR		y			
112	132	AEW00830_AEW00829_outer membrane transport energization protein ExbD_Niastella koreensis GR20-10 (CFB group bacteria)	AEW00830	AEW00829_outer membrane transport energization protein ExbD_Niastella koreensis GR20-10 (CFB group bacteria)	AEW00829	397	1	AEW00829	AEW00829.1	outer membrane transport energization protein ExbD		y			
113	133	AEW03299_AEW03300_outer membrane transport energization protein ExbD_Niastella koreensis GR20-10 (CFB group bacteria)	AEW03299	AEW03300_outer membrane transport energization protein ExbD_Niastella koreensis GR20-10 (CFB group bacteria)	AEW03300	405	1	AEW03300	AEW03300.1	outer membrane transport energization protein ExbD		y			
114	134	AFE07994_AFE06168_hypothetical protein_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE07994	AFE06168_hypothetical protein_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE06168	185	1	AFE06168	AFE06168.1	hypothetical protein		y			
115	135	AFE07995_AFE07538_biopolymer ExbD/TolR family transporter_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE07995	AFE07538_biopolymer ExbD/TolR family transporter_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE07538	175	1	AFE07538	AFE07538.1	biopolymer ExbD/TolR family transporter		y			
116	136	AFE07999_AFE10517_transport energizing protein TolR_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE07999	AFE10517_transport energizing protein TolR_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE10517	632	1	AFE10517	AFE10517.1	transport energizing protein TolR		y			
117	137	AFE08685_AFE08687_ExbD/TolR family transport energizing protein_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE08685	AFE08687_ExbD/TolR family transport energizing protein_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE08687	805	1	AFE08687	AFE08687.1	ExbD/TolR family transport energizing protein		y			
118	138	AFE08686_AFE10518_biopolymer ExbD/TolR family transporter_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE08686	AFE10518_biopolymer ExbD/TolR family transporter_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE10518	754	1	AFE10518	AFE10518.1	biopolymer ExbD/TolR family transporter		y			
119	139	AFE10515_AFE08688_biopolymer ExbD/TolR family transporter_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE10515	AFE08688_biopolymer ExbD/TolR family transporter_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE08688	748	1	AFE08688	AFE08688.1	biopolymer ExbD/TolR family transporter		y			
120	140	AFE10516_AFE08690_biopolymer ExbD/TolR family transporter_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE10516	AFE08690_biopolymer ExbD/TolR family transporter_Corallococcus coralloides DSM 2259 (d-proteobacteria)	AFE08690	816	1	AFE08690	AFE08690.1	biopolymer ExbD/TolR family transporter		y			
121	146	AGR80198_AGR80825_hypothetical protein_Anaplasma phagocytophilum str. JM (agent of human granulocytic ehrlichiosis)	AGR80198	AGR80825_hypothetical protein_Anaplasma phagocytophilum str. JM (agent of human granulocytic ehrlichiosis)	AGR80825	524	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
122	147	AHE95900_AHE95899_flagellar motor protein MotB_Thermocrinis ruber (aquificales)	AHE95900	AHE95899_flagellar motor protein MotB_Thermocrinis ruber (aquificales)	AHE95899	864	1	AHE95899	AHE95899.1	flagellar motor protein MotB		y			
123	148	AHE96346_AHE96345_biopolymer transporter ExbD_Thermocrinis ruber (aquificales)	AHE96346	AHE96345_biopolymer transporter ExbD_Thermocrinis ruber (aquificales)	AHE96345	204	1	AHE96345	AHE96345.1	biopolymer transporter ExbD		y			
124	149	AIE86461_AIE86462_Biopolymer transport protein ExbD/TolR_Fimbriimonas ginsengisoli Gsoil 348 (bacteria)	AIE86461	AIE86462_Biopolymer transport protein ExbD/TolR_Fimbriimonas ginsengisoli Gsoil 348 (bacteria)	AIE86462	348	1	AIE86462	AIE86462.1	Biopolymer transport protein ExbD/TolR		y			
125	151	AIK95837_AIK95820_hypothetical protein_Candidatus Paracaedibacter acanthamoebae (a-proteobacteria)	AIK95837	AIK95820_hypothetical protein_Candidatus Paracaedibacter acanthamoebae (a-proteobacteria)	AIK95820	1140	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
126	152	AIQ91305_AIQ91306_TolR protein_Methylobacterium oryzae CBMB20 (a-proteobacteria)	AIQ91305	AIQ91306_TolR protein_Methylobacterium oryzae CBMB20 (a-proteobacteria)	AIQ91306	608	1	AIQ91306	AIQ91306.1	TolR protein		y			
127	153	AIQ92722_AIQ92723_OmpA/MotB domain-containing protein_Methylobacterium oryzae CBMB20 (a-proteobacteria)	AIQ92722	AIQ92723_OmpA/MotB domain-containing protein_Methylobacterium oryzae CBMB20 (a-proteobacteria)	AIQ92723	1138	1	AIQ92723	AIQ92723.1	OmpA/MotB domain-containing protein		y			
128	154	AIQ92767_AIQ92766_OmpA/MotB domain-containing protein_Methylobacterium oryzae CBMB20 (a-proteobacteria)	AIQ92767	AIQ92766_OmpA/MotB domain-containing protein_Methylobacterium oryzae CBMB20 (a-proteobacteria)	AIQ92766	1033	1	AIQ92766	AIQ92766.1	OmpA/MotB domain-containing protein		y			
129	155	AJH79515_AJH78804_membrane MotB of proton-channel complex MotA/MotB family protein_Weizmannia coagulans DSM 1 = ATCC 7050 (firmicutes)	AJH79515	AJH78804_membrane MotB of proton-channel complex MotA/MotB family protein_Weizmannia coagulans DSM 1 = ATCC 7050 (firmicutes)	AJH78804	893	1	AJH78804	AJH78804.1	membrane MotB of proton-channel complex MotA/MotB family protein		y			
130	164	AKD02510_AKD02511_biopolymer transporter ExbD_Pontibacter korlensis (CFB group bacteria)	AKD02510	AKD02511_biopolymer transporter ExbD_Pontibacter korlensis (CFB group bacteria)	AKD02511	407	1	AKD02511	AKD02511.1	biopolymer transporter ExbD		y			
131	166	AKJ63346_AKJ63347_Biopolymer transport protein ExbD_Kiritimatiella glycovorans (bacteria)	AKJ63346	AKJ63347_Biopolymer transport protein ExbD_Kiritimatiella glycovorans (bacteria)	AKJ63347	728	1	AKJ63347	AKJ63347.1	Biopolymer transport protein ExbD		y			
132	167	AKJ63368_AKJ63367_protein TolR_Kiritimatiella glycovorans (bacteria)	AKJ63368	AKJ63367_protein TolR_Kiritimatiella glycovorans (bacteria)	AKJ63367	305	1	AKJ63367	AKJ63367.1	protein TolR		y			
133	168	AKJ64099_AKJ64100_Biopolymer transport protein ExbD_Kiritimatiella glycovorans (bacteria)	AKJ64099	AKJ64100_Biopolymer transport protein ExbD_Kiritimatiella glycovorans (bacteria)	AKJ64100	310	1	AKJ64100	AKJ64100.1	Biopolymer transport protein ExbD		y			
134	169	AKJ64362_AKJ64363_colicin uptake protein TolR_Kiritimatiella glycovorans (bacteria)	AKJ64362	AKJ64363_colicin uptake protein TolR_Kiritimatiella glycovorans (bacteria)	AKJ64363	339	1	AKJ64363	AKJ64363.1	colicin uptake protein TolR		y			
135	171	AKJ65464_AKJ65463_hypothetical protein_Kiritimatiella glycovorans (bacteria)	AKJ65464	AKJ65463_hypothetical protein_Kiritimatiella glycovorans (bacteria)	AKJ65463	144	1	AKJ65462	AKJ65462.1	biopolymer transport protein ExbD					probably the xls ExbD is better than the motB_filtered hypothetical protein; fix if so
136	172	AKJ65465_AKJ65464_colicin uptake protein TolQ_Kiritimatiella glycovorans (bacteria)	AKJ65465	AKJ65464_colicin uptake protein TolQ_Kiritimatiella glycovorans (bacteria)	AKJ65464	63	1	AKJ65462	AKJ65462.1	biopolymer transport protein ExbD					probably the xls ExbD is better than the motB_filtered hypothetical protein; fix if so
137	173	AKJ65567_AKJ65566_protein TolR_Kiritimatiella glycovorans (bacteria)	AKJ65567	AKJ65566_protein TolR_Kiritimatiella glycovorans (bacteria)	AKJ65566	370	1	AKJ65566	AKJ65566.1	protein TolR		y			
138	174	AKL98121_AKL98120_putative Protein TolR_Endomicrobium proavitum (bacteria)	AKL98121	AKL98120_putative Protein TolR_Endomicrobium proavitum (bacteria)	AKL98120	763	1	AKL98120	AKL98120.1	putative Protein TolR		y			
139	175	ALA58549_ALA58548_Flagellar motor protein MotB_Nitrospira moscoviensis (bacteria)	ALA58549	ALA58548_Flagellar motor protein MotB_Nitrospira moscoviensis (bacteria)	ALA58548	869	1	ALA58548	ALA58548.1	Flagellar motor protein MotB		y			
140	176	ALA60092_ALA60091_Biopolymer transport protein ExbD_Nitrospira moscoviensis (bacteria)	ALA60092	ALA60091_Biopolymer transport protein ExbD_Nitrospira moscoviensis (bacteria)	ALA60091	646	1	ALA60091	ALA60091.1	Biopolymer transport protein ExbD		y			
141	177	ALA61164_ALA61163_hypothetical protein_Nitrospira moscoviensis (bacteria)	ALA61164	ALA61163_hypothetical protein_Nitrospira moscoviensis (bacteria)	ALA61163	732	1	ALA61161	ALA61161.1	hypothetical protein					
142	179	ALJ56692_ALJ56691_hypothetical protein_Candidatus Xiphinematobacter sp. Idaho Grape (verrucomicrobia)	ALJ56692	ALJ56691_hypothetical protein_Candidatus Xiphinematobacter sp. Idaho Grape (verrucomicrobia)	ALJ56691	362	1	ALJ56691	ALJ56691.1	hypothetical protein		y			
143	180	ALU34477_ALU34476_Motility protein B N-terminal domain-containing protein_Clostridium autoethanogenum DSM 10061 (firmicutes)	ALU34477	ALU34476_Motility protein B N-terminal domain-containing protein_Clostridium autoethanogenum DSM 10061 (firmicutes)	ALU34476	900	1	ALU34476	ALU34476.1	Motility protein B N-terminal domain-containing protein		y			
144	181	ALU36624_ALU36625_Motility protein B_Clostridium autoethanogenum DSM 10061 (firmicutes)	ALU36624	ALU36625_Motility protein B_Clostridium autoethanogenum DSM 10061 (firmicutes)	ALU36625	882	1	ALU36625	ALU36625.1	Motility protein B		y			
145	183	AMW06484_AMW03967_hypothetical protein_Gemmatimonas phototrophica (bacteria)	AMW06484	AMW03967_hypothetical protein_Gemmatimonas phototrophica (bacteria)	AMW03967	1200	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
146	184	AMW06740_AMW05084_hypothetical protein_Gemmatimonas phototrophica (bacteria)	AMW06740	AMW05084_hypothetical protein_Gemmatimonas phototrophica (bacteria)	AMW05084	745	1	AMW05084	AMW05084.1	hypothetical protein		y			
147	185	AOO65115_AOO65114_flagellar motor rotation protein MotB_Sulfurospirillum halorespirans DSM 13726 (e-proteobacteria)	AOO65115	AOO65114_flagellar motor rotation protein MotB_Sulfurospirillum halorespirans DSM 13726 (e-proteobacteria)	AOO65114	863	1	AOO65114	AOO65114.1	flagellar motor rotation protein MotB		y			
148	186	APC07539_APC07538_motility protein B_Moorella thermoacetica (firmicutes)	APC07539	APC07538_motility protein B_Moorella thermoacetica (firmicutes)	APC07538	881	1	APC07538	APC07538.1	motility protein B		y			
149	187	APC07901_APC07902_motility protein B_Moorella thermoacetica (firmicutes)	APC07901	APC07902_motility protein B_Moorella thermoacetica (firmicutes)	APC07902	937	1	APC07902	APC07902.1	motility protein B		y			
150	188	APC08935_APC08936_motility protein B_Moorella thermoacetica (firmicutes)	APC08935	APC08936_motility protein B_Moorella thermoacetica (firmicutes)	APC08936	886	1	APC08936	APC08936.1	motility protein B		y			
151	189	APW42522_APW42521_biopolymer transporter ExbD_Rhodoferax saidenbachensis (b-proteobacteria)	APW42522	APW42521_biopolymer transporter ExbD_Rhodoferax saidenbachensis (b-proteobacteria)	APW42521	210	1	APW42521	APW42521.1	biopolymer transporter ExbD		y			
152	190	APW42557_APW42556_biopolymer transporter ExbD_Rhodoferax saidenbachensis (b-proteobacteria)	APW42557	APW42556_biopolymer transporter ExbD_Rhodoferax saidenbachensis (b-proteobacteria)	APW42556	653	1	APW42556	APW42556.1	biopolymer transporter ExbD		y			
153	193	APW43236_APW43237_protein TolR_Rhodoferax saidenbachensis (b-proteobacteria)	APW43236	APW43237_protein TolR_Rhodoferax saidenbachensis (b-proteobacteria)	APW43237	508	1	APW43237	APW43237.1	protein TolR		y			
154	194	APW44370_APW44369_biopolymer transporter ExbD_Rhodoferax saidenbachensis (b-proteobacteria)	APW44370	APW44369_biopolymer transporter ExbD_Rhodoferax saidenbachensis (b-proteobacteria)	APW44369	673	1	APW44369	APW44369.1	biopolymer transporter ExbD		y			
155	195	AQU99646_AQU99647_MotA_Desulfococcus multivorans (d-proteobacteria)	AQU99647	AQU99647_MotA_Desulfococcus multivorans (d-proteobacteria)	AQU99647	141	1	AQU99648	AQU99648.1	biopolymer transporter ExbD			not sure what happened here; perhaps 2 ExbBs and then a ExbD; check NM excel file		
156	198	ARN57520_ARN57521_Biopolymer transport protein ExbD/TolR_Sedimentisphaera salicampi (bacteria)	ARN57520	ARN57521_Biopolymer transport protein ExbD/TolR_Sedimentisphaera salicampi (bacteria)	ARN57521	299	1	ARN57521	ARN57521.1	Biopolymer transport protein ExbD/TolR		y			
157	199	ARU42506_ARU39646_hypothetical protein_Armatimonadetes bacterium Uphvl-Ar1 (bacteria)	ARU42506	ARU39646_hypothetical protein_Armatimonadetes bacterium Uphvl-Ar1 (bacteria)	ARU39646	1204	1	ARU39646	ARU39646.1	hypothetical protein		y			
158	200	ATC62712_ATC62713_biopolymer transporter ExbD_Nibricoccus aquaticus (verrucomicrobia)	ATC62712	ATC62713_biopolymer transporter ExbD_Nibricoccus aquaticus (verrucomicrobia)	ATC62713	333	1	ATC62713	ATC62713.1	biopolymer transporter ExbD		y			
159	201	ATC63405_ATC63404_hypothetical protein_Nibricoccus aquaticus (verrucomicrobia)	ATC63405	ATC63404_hypothetical protein_Nibricoccus aquaticus (verrucomicrobia)	ATC63404	367	1	ATC63404	ATC63404.1	hypothetical protein		y			
160	202	ATC63650_ATC63649_flagellar motor protein MotB_Nibricoccus aquaticus (verrucomicrobia)	ATC63650	ATC63649_flagellar motor protein MotB_Nibricoccus aquaticus (verrucomicrobia)	ATC63649	1206	1	ATC63649	ATC63649.1	flagellar motor protein MotB		y			
161	203	ATC64798_ATC64797_biopolymer transporter ExbD_Nibricoccus aquaticus (verrucomicrobia)	ATC64798	ATC64797_biopolymer transporter ExbD_Nibricoccus aquaticus (verrucomicrobia)	ATC64797	332	1	ATC64797	ATC64797.1	biopolymer transporter ExbD		y			
162	205	ATO49967_ATO49968_flagellar motor protein MotB_Brevibacillus laterosporus DSM 25 (firmicutes)	ATO49967	ATO49968_flagellar motor protein MotB_Brevibacillus laterosporus DSM 25 (firmicutes)	ATO49968	896	1	ATO49968	ATO49968.1	flagellar motor protein MotB		y			
163	206	ATU63282_ATU63283_biopolymer transporter ExbD_Rhizobacter gummiphilus (b-proteobacteria)	ATU63282	ATU63283_biopolymer transporter ExbD_Rhizobacter gummiphilus (b-proteobacteria)	ATU63283	687	1	ATU63283	ATU63283.1	biopolymer transporter ExbD		y			
164	207	ATU64277_ATU64276_biopolymer transporter ExbD_Rhizobacter gummiphilus (b-proteobacteria)	ATU64277	ATU64276_biopolymer transporter ExbD_Rhizobacter gummiphilus (b-proteobacteria)	ATU64276	662	1	ATU64276	ATU64276.1	biopolymer transporter ExbD		y			
165	208	ATU65616_ATU68567_biopolymer transporter ExbD_Rhizobacter gummiphilus (b-proteobacteria)	ATU65616	ATU68567_biopolymer transporter ExbD_Rhizobacter gummiphilus (b-proteobacteria)	ATU68567	207	1	ATU68567	ATU68567.1	biopolymer transporter ExbD		y			
166	210	ATU66302_ATU66303_motility protein MotB_Rhizobacter gummiphilus (b-proteobacteria)	ATU66302	ATU66303_motility protein MotB_Rhizobacter gummiphilus (b-proteobacteria)	ATU66303	1118	1	ATU66303	ATU66303.1	motility protein MotB		y			
167	211	ATU66653_ATU66654_protein TolR_Rhizobacter gummiphilus (b-proteobacteria)	ATU66653	ATU66654_protein TolR_Rhizobacter gummiphilus (b-proteobacteria)	ATU66654	506	1	ATU66654	ATU66654.1	protein TolR		y			
168	212	ATX78565_ATX78566_Flagellar motor protein MotB_Mariprofundus aestuarium (proteobacteria)	ATX78565	ATX78566_Flagellar motor protein MotB_Mariprofundus aestuarium (proteobacteria)	ATX78566	971	1	ATX78566	ATX78566.1	Flagellar motor protein MotB		y			
169	213	ATX78592_ATX78593_chemotaxis protein MotB_Mariprofundus aestuarium (proteobacteria)	ATX78592	ATX78593_chemotaxis protein MotB_Mariprofundus aestuarium (proteobacteria)	ATX78593	952	1	ATX78593	ATX78593.1	chemotaxis protein MotB		y			
170	214	ATX79248_ATX79249_outer membrane transport energization protein ExbD_Mariprofundus aestuarium (proteobacteria)	ATX79248	ATX79249_outer membrane transport energization protein ExbD_Mariprofundus aestuarium (proteobacteria)	ATX79249	376	1	ATX79249	ATX79249.1	outer membrane transport energization protein ExbD		y			
171	215	ATX79746_ATX79747_Cell division and transport-associated protein TolR_Mariprofundus aestuarium (proteobacteria)	ATX79746	ATX79747_Cell division and transport-associated protein TolR_Mariprofundus aestuarium (proteobacteria)	ATX79747	615	1	ATX79747	ATX79747.1	Cell division and transport-associated protein TolR		y			
172	216	ATX80498_ATX80497_biopolymer transport protein ExbD/biopolymer transport protein TolR_Mariprofundus aestuarium (proteobacteria)	ATX80498	ATX80497_biopolymer transport protein ExbD/biopolymer transport protein TolR_Mariprofundus aestuarium (proteobacteria)	ATX80497	241	1	ATX80497	ATX80497.1	biopolymer transport protein ExbD/biopolymer transport protein TolR		y			
173	217	ATX81215_ATX81216_biopolymer transport protein ExbD/biopolymer transport protein TolR_Mariprofundus ferrinatatus (proteobacteria)	ATX81215	ATX81216_biopolymer transport protein ExbD/biopolymer transport protein TolR_Mariprofundus ferrinatatus (proteobacteria)	ATX81216	240	1	ATX81216	ATX81216.1	biopolymer transport protein ExbD/biopolymer transport protein TolR		y			
174	218	ATX81939_ATX81938_Cell division and transport-associated protein TolR_Mariprofundus ferrinatatus (proteobacteria)	ATX81939	ATX81938_Cell division and transport-associated protein TolR_Mariprofundus ferrinatatus (proteobacteria)	ATX81938	614	1	ATX81938	ATX81938.1	Cell division and transport-associated protein TolR		y			
